DEG	LO	NLO	N2LO	N3LO	N4LO
0	2.887	5.314	5.009	5.068	5.06
1	2.889	5.315	5.01	5.069	5.061
2	2.894	5.318	5.013	5.072	5.064
3	2.902	5.322	5.018	5.078	5.07
4	2.913	5.327	5.025	5.087	5.078
5	2.927	5.334	5.034	5.097	5.089
6	2.945	5.343	5.044	5.11	5.101
7	2.965	5.353	5.057	5.126	5.116
8	2.988	5.364	5.071	5.143	5.133
9	3.015	5.377	5.087	5.163	5.152
10	3.044	5.391	5.105	5.184	5.172
11	3.075	5.406	5.124	5.208	5.195
12	3.11	5.422	5.145	5.233	5.22
13	3.147	5.44	5.167	5.26	5.246
14	3.186	5.458	5.191	5.289	5.274
15	3.228	5.478	5.215	5.32	5.303
16	3.271	5.498	5.241	5.351	5.334
17	3.317	5.518	5.268	5.385	5.366
18	3.365	5.54	5.296	5.419	5.399
19	3.414	5.562	5.325	5.455	5.433
20	3.465	5.584	5.354	5.491	5.468
21	3.517	5.607	5.384	5.528	5.504
22	3.571	5.629	5.415	5.566	5.541
23	3.626	5.652	5.446	5.605	5.578
24	3.681	5.675	5.477	5.644	5.615
25	3.738	5.697	5.508	5.683	5.653
26	3.795	5.72	5.539	5.722	5.69
27	3.853	5.742	5.57	5.761	5.728
28	3.911	5.763	5.601	5.801	5.765
29	3.969	5.784	5.632	5.839	5.803
30	4.027	5.804	5.662	5.878	5.839
31	4.085	5.823	5.691	5.916	5.876
32	4.143	5.841	5.72	5.953	5.911
33	4.2	5.859	5.748	5.99	5.946
34	4.257	5.875	5.775	6.025	5.979
35	4.313	5.89	5.801	6.059	6.012
36	4.368	5.904	5.826	6.093	6.044
37	4.422	5.916	5.85	6.125	6.074
38	4.475	5.927	5.872	6.155	6.103
39	4.526	5.937	5.893	6.185	6.13
40	4.577	5.945	5.913	6.212	6.156
41	4.625	5.951	5.931	6.238	6.18
42	4.672	5.956	5.948	6.262	6.203
43	4.718	5.959	5.963	6.285	6.224
44	4.761	5.96	5.976	6.306	6.243
45	4.803	5.96	5.988	6.324	6.26
46	4.843	5.957	5.997	6.341	6.275
47	4.88	5.953	6.005	6.355	6.288
48	4.916	5.947	6.011	6.368	6.299
49	4.949	5.939	6.016	6.378	6.308
50	4.98	5.93	6.018	6.387	6.315
51	5.009	5.918	6.019	6.393	6.319
52	5.036	5.905	6.017	6.397	6.322
53	5.06	5.889	6.014	6.399	6.322
54	5.082	5.872	6.009	6.398	6.321
55	5.101	5.854	6.002	6.396	6.317
56	5.118	5.833	5.993	6.391	6.311
57	5.132	5.811	5.982	6.384	6.303
58	5.144	5.787	5.969	6.375	6.293
59	5.154	5.761	5.954	6.364	6.28
60	5.161	5.733	5.938	6.35	6.266
61	5.166	5.705	5.92	6.335	6.25
62	5.168	5.674	5.9	6.318	6.232
