DEG	LO	NLO	N2LO	N3LO	N4LO
0	0	0	0	0	0
1	-0.0006685	-0.000235	-0.0002826	-0.000341	-0.0003283
2	-0.002668	-0.0009388000000000001	-0.001129	-0.001362	-0.001311
3	-0.005979	-0.002108	-0.002534	-0.003057	-0.002944
4	-0.01057	-0.003736	-0.004491	-0.005417	-0.005215
5	-0.0164	-0.005815	-0.006989	-0.008427	-0.008114
6	-0.02341	-0.008333999999999999	-0.01001	-0.01207	-0.01162
7	-0.03155	-0.01128	-0.01355	-0.01633	-0.01572
8	-0.04073	-0.01464	-0.01758	-0.02117	-0.02039
9	-0.05089	-0.0184	-0.02208	-0.02658	-0.0256
10	-0.06195	-0.02253	-0.02703	-0.03253	-0.03133
11	-0.0738	-0.02703	-0.03241	-0.03897	-0.03754
12	-0.08638	-0.03186	-0.03818	-0.04589	-0.04421
13	-0.09958	-0.03701	-0.04433	-0.05324	-0.0513
14	-0.1133	-0.04246	-0.05082	-0.061	-0.05878
15	-0.1275	-0.04818	-0.05762	-0.06912	-0.06661
16	-0.1421	-0.05414	-0.06472	-0.07757	-0.07475999999999999
17	-0.1569	-0.06033	-0.07206	-0.08631999999999999	-0.0832
18	-0.172	-0.06672	-0.07964	-0.09532	-0.09189
19	-0.1872	-0.07328	-0.08741	-0.1046	-0.1008
20	-0.2024	-0.08	-0.09536	-0.114	-0.1099
21	-0.2177	-0.08684	-0.1034	-0.1235	-0.1191
22	-0.2329	-0.09379	-0.1116	-0.1332	-0.1285
23	-0.248	-0.1008	-0.1199	-0.143	-0.1379
24	-0.263	-0.1079	-0.1283	-0.1528	-0.1474
25	-0.2778	-0.1151	-0.1367	-0.1627	-0.157
26	-0.2923	-0.1222	-0.1451	-0.1726	-0.1665
27	-0.3066	-0.1294	-0.1535	-0.1825	-0.1761
28	-0.3207	-0.1365	-0.1619	-0.1923	-0.1856
29	-0.3344	-0.1436	-0.1702	-0.202	-0.195
30	-0.3478	-0.1507	-0.1784	-0.2117	-0.2043
31	-0.3608	-0.1577	-0.1866	-0.2213	-0.2136
32	-0.3735	-0.1646	-0.1947	-0.2307	-0.2227
33	-0.3858	-0.1714	-0.2027	-0.2401	-0.2317
34	-0.3978	-0.1781	-0.2105	-0.2492	-0.2406
35	-0.4094	-0.1847	-0.2183	-0.2582	-0.2493
36	-0.4206	-0.1912	-0.2258	-0.2671	-0.2578
