DEG	LO	NLO	N2LO	N3LO	N4LO
107	-0.8613	-0.8107	-0.8169999999999999	-0.8245	-0.8237
108	-0.8597	-0.8086	-0.8149999999999999	-0.8225	-0.8218
109	-0.858	-0.8064	-0.8129	-0.8205	-0.8197
110	-0.8561	-0.8041	-0.8107	-0.8183	-0.8175
111	-0.8542	-0.8017	-0.8083	-0.8161	-0.8153
112	-0.8522	-0.7991	-0.8058999999999999	-0.8137	-0.8129
113	-0.85	-0.7964	-0.8033	-0.8112	-0.8103
114	-0.8478	-0.7936	-0.8006	-0.8085	-0.8077
115	-0.8454	-0.7906	-0.7977	-0.8058	-0.8048999999999999
116	-0.8429	-0.7875	-0.7947	-0.8028999999999999	-0.802
117	-0.8403	-0.7842	-0.7916	-0.7998	-0.7989000000000001
118	-0.8375	-0.7808	-0.7883	-0.7966	-0.7957
119	-0.8346	-0.7772	-0.7848000000000001	-0.7933	-0.7923
120	-0.8315	-0.7735	-0.7812	-0.7897999999999999	-0.7887999999999999
121	-0.8283	-0.7695	-0.7774	-0.7861	-0.7851
122	-0.825	-0.7654	-0.7734	-0.7822	-0.7812
123	-0.8214	-0.7611	-0.7693	-0.7782	-0.7772
124	-0.8177	-0.7566000000000001	-0.7649	-0.7739	-0.7729
125	-0.8138	-0.7519	-0.7603	-0.7695	-0.7684
126	-0.8097	-0.7469	-0.7556	-0.7648	-0.7637
127	-0.8054	-0.7417	-0.7504999999999999	-0.7599	-0.7588
128	-0.8008999999999999	-0.7363	-0.7453	-0.7548	-0.7537
129	-0.7961	-0.7306	-0.7398	-0.7494	-0.7483
130	-0.7911	-0.7246	-0.734	-0.7438	-0.7426
131	-0.7859	-0.7184	-0.728	-0.7378	-0.7366
132	-0.7803	-0.7119	-0.7216	-0.7316	-0.7304
133	-0.7745	-0.705	-0.715	-0.7251	-0.7239
134	-0.7683	-0.6978	-0.708	-0.7183	-0.717
135	-0.7619	-0.6903	-0.7007	-0.7111	-0.7098
136	-0.7551	-0.6825	-0.6931	-0.7036	-0.7023
137	-0.7479	-0.6742	-0.6851	-0.6957	-0.6944
138	-0.7403999999999999	-0.6656	-0.6767	-0.6875	-0.6861
139	-0.7324000000000001	-0.6565	-0.6677999999999999	-0.6788	-0.6774
140	-0.724	-0.6471	-0.6586	-0.6697	-0.6682
141	-0.7151999999999999	-0.6371	-0.6489	-0.6601	-0.6586
142	-0.7059	-0.6267	-0.6387	-0.6501	-0.6486
143	-0.6961000000000001	-0.6159	-0.628	-0.6395	-0.638
144	-0.6857	-0.6045	-0.6168	-0.6284	-0.6269
145	-0.6747	-0.5925	-0.6051	-0.6168	-0.6152
146	-0.6632	-0.58	-0.5928	-0.6046	-0.603
147	-0.651	-0.5669999999999999	-0.58	-0.5919	-0.5901999999999999
148	-0.6382	-0.5533	-0.5665	-0.5785	-0.5768
149	-0.6247	-0.5391	-0.5524	-0.5644	-0.5627
150	-0.6104000000000001	-0.5242	-0.5376	-0.5497	-0.548
151	-0.5953000000000001	-0.5086000000000001	-0.5222	-0.5343	-0.5326
152	-0.5795	-0.4924	-0.5061	-0.5182	-0.5165
153	-0.5628	-0.4756	-0.4892	-0.5014	-0.4996
154	-0.5453	-0.458	-0.4717	-0.4838	-0.482
155	-0.5268	-0.4398	-0.4535	-0.4655	-0.4637
156	-0.5074	-0.4209	-0.4345	-0.4464	-0.4447
157	-0.4871	-0.4014	-0.4149	-0.4266	-0.4249
158	-0.4659	-0.3812	-0.3945	-0.4061	-0.4044
159	-0.4437	-0.3605	-0.3736	-0.3849	-0.3832
160	-0.4206	-0.3392	-0.352	-0.363	-0.3613
161	-0.3966	-0.3174	-0.3298	-0.3404	-0.3388
162	-0.3717	-0.2951	-0.3071	-0.3174	-0.3158
163	-0.3461	-0.2726	-0.2841	-0.2939	-0.2923
164	-0.3197	-0.2498	-0.2607	-0.27	-0.2685
165	-0.2929	-0.2269	-0.2372	-0.2459	-0.2445
166	-0.2656	-0.2041	-0.2136	-0.2217	-0.2204
167	-0.2381	-0.1814	-0.1902	-0.1976	-0.1964
168	-0.2106	-0.1592	-0.1671	-0.1738	-0.1727
169	-0.1834	-0.1375	-0.1445	-0.1505	-0.1495
170	-0.1568	-0.1166	-0.1227	-0.1279	-0.1271
171	-0.1311	-0.09674000000000001	-0.102	-0.1064	-0.1057
172	-0.1066	-0.07814	-0.08246000000000001	-0.0861	-0.08551
173	-0.08381	-0.06102	-0.06447	-0.06737	-0.0669
174	-0.06304	-0.04562	-0.04825	-0.05046	-0.0501
175	-0.04467	-0.03216	-0.03404	-0.03563	-0.03537
176	-0.02908	-0.02084	-0.02208	-0.02312	-0.02295
177	-0.01658	-0.01184	-0.01255	-0.01314	-0.01305
178	-0.007439	-0.005299	-0.005619	-0.005888	-0.005844
179	-0.001871	-0.00133	-0.001411	-0.001479	-0.001468
180	0	0	0	0	0
