DEG	LO	NLO	N2LO	N3LO	N4LO
0	-0	-0	-0	-0	-0
1	-0.00308	0.005982	0.005284	0.00559	0.005526
2	-0.006112	0.01187	0.01048	0.01109	0.01096
3	-0.009049	0.01759	0.01552	0.01641	0.01622
4	-0.01185	0.02305	0.02031	0.02147	0.02122
5	-0.01449	0.02818	0.02481	0.0262	0.02591
6	-0.01693	0.03294	0.02895	0.03056	0.03022
7	-0.01917	0.03727	0.0327	0.0345	0.03411
8	-0.02119	0.04116	0.03603	0.03799	0.03757
9	-0.023	0.04458	0.03895	0.04102	0.04058
10	-0.0246	0.04753	0.04143	0.04361	0.04314
11	-0.026	0.05002	0.0435	0.04575	0.04526
12	-0.02722	0.05207	0.04516	0.04746	0.04696
13	-0.02827	0.05369	0.04644	0.04878	0.04826
14	-0.02918	0.05492	0.04737	0.04972	0.0492
15	-0.02995	0.05578	0.04798	0.05033	0.0498
16	-0.03061	0.0563	0.04828	0.05062	0.0501
17	-0.03117	0.05652	0.04832	0.05064	0.05012
18	-0.03164	0.05646	0.04812	0.05041	0.04989
19	-0.03204	0.05616	0.04771	0.04996	0.04945
20	-0.03238	0.05564	0.04711	0.04933	0.04881
21	-0.03267	0.05493	0.04634	0.04852	0.04801
22	-0.03292	0.05404	0.04543	0.04757	0.04707
23	-0.03314	0.05301	0.0444	0.04649	0.046
24	-0.03334	0.05186	0.04325	0.04531	0.04482
25	-0.03352	0.05059	0.04202	0.04404	0.04355
26	-0.03368	0.04923	0.04071	0.04268	0.04221
27	-0.03383	0.04778	0.03933	0.04126	0.04079
28	-0.03398	0.04627	0.03789	0.03979	0.03933
29	-0.03413	0.0447	0.0364	0.03827	0.03781
30	-0.03427	0.04307	0.03488	0.03671	0.03626
31	-0.03442	0.04141	0.03332	0.03512	0.03467
32	-0.03458	0.03971	0.03173	0.0335	0.03306
33	-0.03474	0.03798	0.03012	0.03186	0.03142
34	-0.03491	0.03623	0.02849	0.03021	0.02977
35	-0.03509	0.03445	0.02684	0.02854	0.02811
36	-0.03528	0.03266	0.02518	0.02686	0.02643
37	-0.03548	0.03086	0.02351	0.02517	0.02474
38	-0.03569	0.02904	0.02183	0.02347	0.02305
39	-0.03591	0.02721	0.02015	0.02177	0.02135
40	-0.03615	0.02538	0.01845	0.02006	0.01964
41	-0.0364	0.02354	0.01676	0.01835	0.01793
42	-0.03666	0.0217	0.01506	0.01664	0.01622
43	-0.03694	0.01985	0.01335	0.01493	0.01451
44	-0.03723	0.01799	0.01164	0.01321	0.01279
45	-0.03754	0.01614	0.009929	0.01149	0.01107
46	-0.03786	0.01427	0.008213	0.009769	0.009353999999999999
47	-0.0382	0.01241	0.006494	0.008045999999999999	0.007631
48	-0.03855	0.01054	0.004771	0.00632	0.005905
49	-0.03891	0.008671999999999999	0.003045	0.004593	0.004177
50	-0.03929	0.006797	0.001314	0.002862	0.002445
51	-0.03969	0.004917	-0.0004209	0.001127	0.0007101
52	-0.0401	0.003033	-0.002161	-0.000611	-0.001029
53	-0.04053	0.001143	-0.003907	-0.002354	-0.002774
54	-0.04097	-0.0007517	-0.005659	-0.004102	-0.004523
55	-0.04143	-0.002653	-0.007418	-0.005855	-0.006278
56	-0.04191	-0.004561	-0.009183999999999999	-0.007615	-0.00804
57	-0.0424	-0.006477	-0.01096	-0.009382	-0.009809
58	-0.0429	-0.008401	-0.01274	-0.01116	-0.01159
59	-0.04343	-0.01033	-0.01453	-0.01294	-0.01337
60	-0.04397	-0.01228	-0.01634	-0.01473	-0.01517
61	-0.04452	-0.01423	-0.01815	-0.01653	-0.01697
62	-0.0451	-0.01619	-0.01997	-0.01835	-0.01879
63	-0.04569	-0.01817	-0.02181	-0.02017	-0.02061
64	-0.04629	-0.02016	-0.02366	-0.022	-0.02245
65	-0.04692	-0.02216	-0.02552	-0.02385	-0.0243
66	-0.04756	-0.02417	-0.0274	-0.02571	-0.02617
67	-0.04822	-0.0262	-0.02929	-0.02759	-0.02805
68	-0.0489	-0.02825	-0.0312	-0.02948	-0.02994
69	-0.04959	-0.03031	-0.03312	-0.03139	-0.03185
70	-0.05031	-0.03239	-0.03506	-0.03331	-0.03378
71	-0.05104	-0.03449	-0.03702	-0.03525	-0.03573
72	-0.05179	-0.03661	-0.039	-0.03721	-0.03769
73	-0.05256	-0.03874	-0.041	-0.03919	-0.03967
74	-0.05335	-0.0409	-0.04302	-0.04118	-0.04167
75	-0.05416	-0.04308	-0.04506	-0.0432	-0.0437
76	-0.05499	-0.04528	-0.04712	-0.04524	-0.04574
77	-0.05584	-0.0475	-0.0492	-0.0473	-0.0478
78	-0.05671	-0.04974	-0.05131	-0.04938	-0.04989
79	-0.0576	-0.05201	-0.05344	-0.05149	-0.05201
80	-0.05851	-0.05431	-0.0556	-0.05362	-0.05414
81	-0.05944	-0.05663	-0.05778	-0.05577	-0.0563
82	-0.0604	-0.05898	-0.05999	-0.05796	-0.05849
83	-0.06137	-0.06136	-0.06223	-0.06016	-0.06071
84	-0.06237	-0.06376	-0.0645	-0.0624	-0.06295000000000001
85	-0.0634	-0.06619999999999999	-0.06679	-0.06466	-0.06522
86	-0.06444	-0.06866	-0.06911	-0.06696000000000001	-0.06752
87	-0.06551	-0.07116	-0.07147000000000001	-0.06927999999999999	-0.06985
88	-0.06660000000000001	-0.07369000000000001	-0.07386	-0.07164	-0.07221
89	-0.06772	-0.07625	-0.07627	-0.07402	-0.0746
90	-0.06886	-0.07883999999999999	-0.07872999999999999	-0.07643999999999999	-0.07703
91	-0.07003	-0.08147	-0.08121	-0.07889	-0.07949000000000001
92	-0.07123	-0.08413	-0.08373	-0.08137999999999999	-0.08198
93	-0.07245	-0.08683	-0.08629000000000001	-0.0839	-0.08451
94	-0.0737	-0.08957	-0.08888	-0.08645	-0.08706999999999999
95	-0.07496999999999999	-0.09234000000000001	-0.09150999999999999	-0.08903999999999999	-0.08967
96	-0.07627	-0.09515999999999999	-0.09418	-0.09167	-0.09231
97	-0.0776	-0.09801	-0.09687999999999999	-0.09433999999999999	-0.09499
98	-0.07896	-0.1009	-0.09963	-0.09705	-0.0977
99	-0.08035	-0.1038	-0.1024	-0.0998	-0.1005
100	-0.08177	-0.1068	-0.1052	-0.1026	-0.1033
101	-0.08322	-0.1098	-0.1081	-0.1054	-0.1061
102	-0.08470999999999999	-0.1129	-0.111	-0.1083	-0.109
103	-0.08622	-0.116	-0.114	-0.1112	-0.1119
104	-0.08776	-0.1191	-0.117	-0.1142	-0.1149
105	-0.08934	-0.1223	-0.12	-0.1172	-0.1179
106	-0.09096	-0.1256	-0.1231	-0.1202	-0.1209
107	-0.0926	-0.1289	-0.1263	-0.1233	-0.1241
108	-0.09428	-0.1322	-0.1295	-0.1265	-0.1272
109	-0.096	-0.1356	-0.1327	-0.1297	-0.1304
110	-0.09775	-0.139	-0.136	-0.1329	-0.1337
111	-0.09954	-0.1425	-0.1393	-0.1362	-0.137
112	-0.1014	-0.146	-0.1427	-0.1395	-0.1403
113	-0.1032	-0.1496	-0.1461	-0.1429	-0.1437
114	-0.1051	-0.1533	-0.1496	-0.1464	-0.1472
115	-0.1071	-0.157	-0.1532	-0.1499	-0.1507
116	-0.1091	-0.1607	-0.1568	-0.1534	-0.1542
117	-0.1111	-0.1645	-0.1604	-0.157	-0.1579
118	-0.1132	-0.1683	-0.1641	-0.1607	-0.1615
119	-0.1153	-0.1722	-0.1679	-0.1644	-0.1652
120	-0.1174	-0.1762	-0.1717	-0.1682	-0.169
121	-0.1196	-0.1801	-0.1755	-0.172	-0.1728
122	-0.1218	-0.1842	-0.1794	-0.1759	-0.1767
123	-0.1241	-0.1883	-0.1834	-0.1798	-0.1807
124	-0.1264	-0.1924	-0.1874	-0.1838	-0.1846
125	-0.1288	-0.1966	-0.1914	-0.1878	-0.1887
126	-0.1312	-0.2008	-0.1956	-0.1919	-0.1928
127	-0.1337	-0.2051	-0.1997	-0.196	-0.1969
128	-0.1362	-0.2094	-0.2039	-0.2002	-0.2011
129	-0.1387	-0.2138	-0.2082	-0.2044	-0.2053
130	-0.1413	-0.2182	-0.2124	-0.2087	-0.2096
131	-0.1439	-0.2226	-0.2168	-0.213	-0.2139
132	-0.1466	-0.227	-0.2211	-0.2174	-0.2183
133	-0.1493	-0.2315	-0.2255	-0.2218	-0.2227
134	-0.152	-0.236	-0.2299	-0.2262	-0.2271
135	-0.1548	-0.2405	-0.2343	-0.2306	-0.2315
136	-0.1576	-0.245	-0.2388	-0.2351	-0.236
137	-0.1604	-0.2495	-0.2432	-0.2395	-0.2404
138	-0.1633	-0.2539	-0.2476	-0.244	-0.2449
139	-0.1662	-0.2584	-0.2521	-0.2485	-0.2493
140	-0.1691	-0.2628	-0.2565	-0.2529	-0.2538
141	-0.172	-0.2671	-0.2608	-0.2573	-0.2582
142	-0.1749	-0.2714	-0.2651	-0.2617	-0.2625
143	-0.1778	-0.2756	-0.2693	-0.266	-0.2668
144	-0.1807	-0.2797	-0.2735	-0.2702	-0.271
145	-0.1836	-0.2837	-0.2775	-0.2744	-0.2752
146	-0.1864	-0.2875	-0.2814	-0.2784	-0.2792
147	-0.1892	-0.2911	-0.2852	-0.2823	-0.283
