DEG	LO	NLO	N2LO	N3LO	N4LO
155	-0.1243	-0.1865	-0.2387	-0.2295	-0.231
156	-0.1211	-0.1803	-0.2313	-0.2224	-0.2238
157	-0.1177	-0.1739	-0.2236	-0.2151	-0.2164
158	-0.1141	-0.1674	-0.2157	-0.2075	-0.2087
159	-0.1104	-0.1607	-0.2076	-0.1997	-0.2008
160	-0.1064	-0.154	-0.1992	-0.1917	-0.1927
161	-0.1023	-0.147	-0.1906	-0.1835	-0.1844
162	-0.09796000000000001	-0.14	-0.1818	-0.175	-0.1759
163	-0.09347999999999999	-0.1328	-0.1728	-0.1664	-0.1672
164	-0.08885	-0.1256	-0.1636	-0.1575	-0.1583
165	-0.08406	-0.1182	-0.1543	-0.1485	-0.1492
166	-0.07913000000000001	-0.1107	-0.1447	-0.1394	-0.14
167	-0.07407	-0.1032	-0.1351	-0.1301	-0.1306
168	-0.06887	-0.09556000000000001	-0.1252	-0.1206	-0.1211
169	-0.06356000000000001	-0.08785	-0.1153	-0.111	-0.1115
170	-0.05814	-0.08008	-0.1052	-0.1013	-0.1017
171	-0.05262	-0.07224999999999999	-0.09499	-0.09149	-0.09185
172	-0.04701	-0.06436	-0.08469	-0.08157	-0.08189
173	-0.04131	-0.05642	-0.0743	-0.07156999999999999	-0.07184
174	-0.03554	-0.04844	-0.06383999999999999	-0.06149	-0.06172
175	-0.02971	-0.04042	-0.0533	-0.05134	-0.05153
176	-0.02383	-0.03237	-0.04271	-0.04114	-0.04129
177	-0.01791	-0.0243	-0.03207	-0.03089	-0.03101
178	-0.01196	-0.01621	-0.0214	-0.02061	-0.02069
179	-0.005984	-0.008108000000000001	-0.01071	-0.01031	-0.01035
180	-0	-0	-0	-0	-0
