THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
1.0472,3.169,3.612,352.79,352.79,0.0,60.0,450,N4LO+,SIEGERT,-0.0,0.2038,0.6374,-0.4703,-0.08608,-0.01715,0.6995,-0.4195,-0.4107,0.0,2.474e-17,-0.2567,0.0,0.0,-0.0,0.02908,0.648,0.7387,-0.0,-0.02908,140
1.0647,3.159,3.584,352.79,352.79,0.0,61.0,450,N4LO+,SIEGERT,-0.0,0.2388,0.6199,-0.4839,-0.08656,0.01751,0.6883,-0.4322,-0.4133,0.0,0.0,-0.2591,-1.641e-17,4.376e-17,-0.0,0.02546,0.6459,0.7329,-0.0,-0.02546,140
1.0821,3.147,3.555,352.79,352.79,0.0,62.0,450,N4LO+,SIEGERT,0.0,0.2728,0.6012,-0.4971,-0.08698,0.05163,0.6759,-0.4447,-0.4156,0.0,1.246e-17,-0.2613,0.0,1.103e-17,-0.0,0.0217,0.6436,0.727,0.0,-0.0217,140
1.0996,3.135,3.526,352.79,352.79,0.0,63.0,450,N4LO+,SIEGERT,0.0,0.3058,0.5813,-0.5099,-0.08733,0.08513,0.6624,-0.4569,-0.4177,0.0,-1.876e-17,-0.2633,5.56e-18,-1.112e-17,-0.0,0.0178,0.641,0.721,-0.0,-0.0178,140
1.117,3.121,3.496,352.79,352.79,0.0,64.0,450,N4LO+,SIEGERT,-0.0,0.3376,0.5603,-0.5223,-0.08761,0.1179,0.6478,-0.4689,-0.4195,0.0,0.0,-0.2651,-5.607e-18,0.0,-0.0,0.01377,0.6382,0.7149,-0.0,-0.01377,140
1.1345,3.106,3.466,352.79,352.79,0.0,65.0,450,N4LO+,SIEGERT,-0.0,0.3682,0.5383,-0.5342,-0.08782,0.15,0.6321,-0.4806,-0.4212,0.0,6.311e-18,-0.2668,0.0,0.0,-0.0,0.009611,0.6352,0.7087,-0.0,-0.009611,140
1.1519,3.091,3.435,352.79,352.79,0.0,66.0,450,N4LO+,SIEGERT,-0.0,0.3975,0.5152,-0.5457,-0.08795,0.1813,0.6154,-0.492,-0.4227,0.0,-6.342e-18,-0.2683,5.706e-18,0.0,-0.0,0.005317,0.632,0.7025,0.0,-0.005317,140
1.1694,3.074,3.405,352.79,352.79,0.0,67.0,450,N4LO+,SIEGERT,0.0,0.4256,0.4911,-0.5567,-0.08799,0.2117,0.5976,-0.5031,-0.4239,0.0,-3.188e-17,-0.2696,5.758e-18,-2.303e-17,-0.0,0.0008928,0.6286,0.6962,0.0,-0.0008928,140
1.1868,3.057,3.373,352.79,352.79,0.0,68.0,450,N4LO+,SIEGERT,0.0,0.4522,0.4661,-0.5671,-0.08796,0.2412,0.5789,-0.5138,-0.425,0.0,6.413e-18,-0.2708,0.0,2.324e-17,-0.0,-0.00366,0.625,0.6898,0.0,0.00366,140
1.2043,3.038,3.342,352.79,352.79,0.0,69.0,450,N4LO+,SIEGERT,-0.0,0.4775,0.4402,-0.577,-0.08783,0.2697,0.5591,-0.5241,-0.4258,0.0,-6.453e-18,-0.2717,5.866e-18,0.0,-0.0,-0.00834,0.6212,0.6834,-0.0,0.00834,140
1.2217,3.019,3.31,352.79,352.79,0.0,70.0,450,N4LO+,SIEGERT,-0.0,0.5013,0.4135,-0.5864,-0.08762,0.2972,0.5384,-0.534,-0.4265,0.0,0.0,-0.2725,0.0,-1.184e-17,-0.0,-0.01315,0.6173,0.677,-0.0,0.01315,140
1.2392,2.999,3.279,352.79,352.79,0.0,71.0,450,N4LO+,SIEGERT,-0.0,0.5236,0.3861,-0.5951,-0.08731,0.3236,0.5169,-0.5435,-0.427,0.0,0.0,-0.2731,0.0,0.0,-0.0,-0.01807,0.6132,0.6705,-0.0,0.01807,140
1.2566,2.978,3.247,352.79,352.79,0.0,72.0,450,N4LO+,SIEGERT,-0.0,0.5444,0.3579,-0.6033,-0.08691,0.3488,0.4945,-0.5526,-0.4272,0.0,1.317e-17,-0.2735,6.037e-18,0.0,-0.0,-0.02312,0.6089,0.664,-0.0,0.02312,140
1.2741,2.956,3.215,352.79,352.79,0.0,73.0,450,N4LO+,SIEGERT,0.0,0.5636,0.3291,-0.6108,-0.08641,0.3729,0.4712,-0.5612,-0.4273,0.0,0.0,-0.2738,0.0,0.0,-0.0,-0.02829,0.6044,0.6575,-0.0,0.02829,140
1.2915,2.933,3.183,352.79,352.79,0.0,74.0,450,N4LO+,SIEGERT,-0.0,0.5812,0.2997,-0.6178,-0.0858,0.3958,0.4472,-0.5694,-0.4272,0.0,-6.683e-18,-0.2738,0.0,0.0,-0.0,-0.03357,0.5999,0.651,0.0,0.03357,140
1.309,2.91,3.152,352.79,352.79,0.0,75.0,450,N4LO+,SIEGERT,-0.0,0.5972,0.2698,-0.624,-0.08509,0.4174,0.4225,-0.577,-0.427,0.0,3.368e-17,-0.2737,0.0,0.0,-0.0,-0.03897,0.5951,0.6445,-0.0,0.03897,140
1.3265,2.887,3.12,352.79,352.79,0.0,76.0,450,N4LO+,SIEGERT,0.0,0.6115,0.2394,-0.6297,-0.08428,0.4378,0.3971,-0.5842,-0.4265,0.0,0.0,-0.2734,0.0,-1.257e-17,-0.0,-0.04447,0.5903,0.638,0.0,0.04447,140
1.3439,2.862,3.089,352.79,352.79,0.0,77.0,450,N4LO+,SIEGERT,-0.0,0.6242,0.2086,-0.6347,-0.08335,0.4568,0.3711,-0.5908,-0.4258,0.0,1.37e-17,-0.2729,0.0,0.0,-0.0,-0.05008,0.5853,0.6316,0.0,0.05008,140
1.3614,2.838,3.057,352.79,352.79,0.0,78.0,450,N4LO+,SIEGERT,-0.0,0.6353,0.1775,-0.639,-0.08231,0.4744,0.3445,-0.5969,-0.425,0.0,2.763e-17,-0.2722,-1.282e-17,1.282e-17,-0.0,-0.05579,0.5803,0.6252,-0.0,0.05579,140
1.3788,2.812,3.026,352.79,352.79,0.0,79.0,450,N4LO+,SIEGERT,0.0,0.6446,0.1461,-0.6426,-0.08116,0.4906,0.3173,-0.6025,-0.424,0.0,1.394e-17,-0.2714,0.0,1.296e-17,-0.0,-0.0616,0.5751,0.6188,-0.0,0.0616,140
1.3963,2.787,2.995,352.79,352.79,0.0,80.0,450,N4LO+,SIEGERT,-0.0,0.6522,0.1145,-0.6456,-0.07988,0.5055,0.2897,-0.6076,-0.4229,0.0,1.407e-17,-0.2703,0.0,0.0,-0.0,-0.0675,0.5698,0.6125,-0.0,0.0675,140
