T21,,toperr,
X,Y,X,Y
26.541436464088395,0.18171021377672192,26.629834254143645,0.3741092636579566
30.165745856353592,0.19121140142517667,30.34254143646409,0.2814726840855095
33.87845303867404,0.2719714964370543,34.05524861878453,0.34085510688836074
37.85635359116023,0.30760095011876487,37.67955801104972,0.37648456057006996
41.48066298342542,0.2553444180522568,41.56906077348066,0.33847980997624605
45.01657458563537,0.1959619952494065,45.19337016574586,0.3978622327790964
80.64088397790054,0.036817102137765456,80.72928176795583,0.1175771971496431
84.26519337016576,0.10332541567695941,84.26519337016575,0.14608076009501092
87.97790055248619,0.09144893111638952,87.97790055248619,0.12945368171021387
91.95580110497237,-0.03444180522565343,91.86740331491714,0.005938242280285166
95.84530386740332,-0.13420427553444103,95.93370165745854,-0.08669833729216192
99.64640883977901,-0.22209026128266096,99.73480662983424,-0.16270783847981063
