I,SLANGE,CROSS,E1,E2,E3,Energy,FORCE,CUTOFF
1,0.5,3.562e-08,60.368,0.009,31.905,100.0,N3LO,450
1,0.5,3.416e-08,60.368,0.009,31.905,100.0,N3LO,400
1,0.5,2.725e-08,60.368,0.009,31.905,100.0,NLO,400
1,0.5,3.58e-08,60.368,0.009,31.905,100.0,N4LO+,500
1,0.5,2.912e-07,12.845,0.03,9.407,30.0,N4LO,400
1,0.5,2.633e-07,12.845,0.03,9.407,30.0,NLO,400
1,0.5,1.529e-07,12.845,0.03,9.407,30.0,LO,450
1,0.5,2.93e-07,12.845,0.03,9.407,30.0,N4LO+,400
1,0.5,3.404e-08,60.368,0.009,31.905,100.0,N2LO,450
1,0.5,3.573e-08,60.368,0.009,31.905,100.0,N4LO,500
1,0.5,2.98e-07,12.845,0.03,9.407,30.0,N3LO,400
1,0.5,3.45e-08,60.368,0.009,31.905,100.0,N4LO+,450
1,0.5,3.17e-07,12.845,0.03,9.407,30.0,N4LO,550
1,0.5,2.996e-07,12.845,0.03,9.407,30.0,N2LO,450
1,0.5,3.688e-08,60.368,0.009,31.905,100.0,N4LO+,550
1,0.5,3.674e-08,60.368,0.009,31.905,100.0,N4LO,550
1,0.5,2.723e-07,12.845,0.03,9.407,30.0,NLO,450
1,0.5,3.313e-08,60.368,0.009,31.905,100.0,N4LO+,400
1,0.5,3.442e-08,60.368,0.009,31.905,100.0,N4LO,450
1,0.5,3.031e-07,12.845,0.03,9.407,30.0,N4LO+,450
1,0.5,3.1e-07,12.845,0.03,9.407,30.0,N4LO,500
1,0.5,9.961e-09,60.368,0.009,31.905,100.0,LO,400
1,0.5,3.128e-07,12.845,0.03,9.407,30.0,N4LO+,500
1,0.5,3.072e-08,60.368,0.009,31.905,100.0,N2LO,400
1,0.5,3.01e-07,12.845,0.03,9.407,30.0,N4LO,450
1,0.5,3.211e-07,12.845,0.03,9.407,30.0,N4LO+,550
1,0.5,3.083e-07,12.845,0.03,9.407,30.0,N3LO,450
1,0.5,1.058e-08,60.368,0.009,31.905,100.0,LO,450
1,0.5,1.644e-07,12.845,0.03,9.407,30.0,LO,400
1,0.5,3.302e-08,60.368,0.009,31.905,100.0,N4LO,400
1,0.5,2.803e-07,12.845,0.03,9.407,30.0,N2LO,400
1,0.5,2.928e-08,60.368,0.009,31.905,100.0,NLO,450
1,0.501,1.527e-07,19.169,0.022,13.091,40.0,N2LO,400
1,0.501,1.619e-07,19.169,0.022,13.091,40.0,N4LO+,400
1,0.501,1.688e-07,19.169,0.022,13.091,40.0,N4LO+,450
1,0.501,1.619e-07,19.169,0.022,13.091,40.0,N4LO+,400
1,0.501,1.394e-07,19.169,0.022,13.091,40.0,NLO,400
1,0.501,1.608e-07,19.169,0.022,13.091,40.0,N4LO,450
1,0.501,1.813e-07,19.169,0.022,13.091,40.0,N4LO+,550
1,0.501,1.608e-07,19.169,0.022,13.091,40.0,N4LO,400
1,0.501,1.728e-07,19.169,0.022,13.091,40.0,N3LO,450
1,0.501,1.459e-07,19.169,0.022,13.091,40.0,NLO,450
1,0.501,1.659e-07,19.169,0.022,13.091,40.0,N3LO,400
1,0.501,1.756e-07,19.169,0.022,13.091,40.0,N4LO+,500
1,0.501,1.607e-07,19.169,0.022,13.091,40.0,N4LO,500
1,0.501,1.664e-07,19.169,0.022,13.091,40.0,N2LO,450
1,0.501,6.759e-08,19.169,0.022,13.091,40.0,LO,450
1,0.501,1.606e-07,19.169,0.022,13.091,40.0,N4LO,550
1,0.501,7.095e-08,19.169,0.022,13.091,40.0,LO,400
1,0.507,2.639e-08,75.05,0.008,37.225,120.0,N4LO+,550
1,0.507,7.683e-09,75.05,0.008,37.225,120.0,LO,450
1,0.507,1.914e-08,75.05,0.008,37.225,120.0,NLO,400
1,0.507,2.367e-08,75.05,0.008,37.225,120.0,N4LO,400
1,0.507,2.56e-08,75.05,0.008,37.225,120.0,N3LO,450
1,0.507,2.561e-08,75.05,0.008,37.225,120.0,N4LO+,500
1,0.507,2.374e-08,75.05,0.008,37.225,120.0,N4LO+,400
1,0.507,2.564e-08,75.05,0.008,37.225,120.0,N4LO,500
1,0.507,2.067e-08,75.05,0.008,37.225,120.0,NLO,450
1,0.507,7.027e-09,75.05,0.008,37.225,120.0,LO,400
1,0.507,2.432e-08,75.05,0.008,37.225,120.0,N2LO,450
1,0.507,2.638e-08,75.05,0.008,37.225,120.0,N4LO,550
1,0.507,2.47e-08,75.05,0.008,37.225,120.0,N4LO+,450
1,0.507,2.468e-08,75.05,0.008,37.225,120.0,N4LO,450
1,0.507,2.184e-08,75.05,0.008,37.225,120.0,N2LO,400
1,0.507,2.449e-08,75.05,0.008,37.225,120.0,N3LO,400
2,1.001,2.395e-07,18.672,0.081,13.528,40.0,LO,400
2,1.001,5.996e-07,18.672,0.081,13.528,40.0,N3LO,450
2,1.001,6.091e-07,18.672,0.081,13.528,40.0,N4LO+,500
2,1.001,9.109e-07,12.351,0.111,9.82,30.0,N4LO+,400
2,1.001,5.055e-07,18.672,0.081,13.528,40.0,NLO,450
2,1.001,9.848e-07,12.351,0.111,9.82,30.0,N4LO,550
2,1.001,8.156e-07,12.351,0.111,9.82,30.0,NLO,400
2,1.001,5.569e-07,18.672,0.081,13.528,40.0,N4LO,550
2,1.001,9.973e-07,12.351,0.111,9.82,30.0,N4LO+,550
2,1.001,5.289e-07,18.672,0.081,13.528,40.0,N2LO,400
2,1.001,9.302e-07,12.351,0.111,9.82,30.0,N2LO,450
2,1.001,8.699e-07,12.351,0.111,9.82,30.0,N2LO,400
2,1.001,5.769e-07,18.672,0.081,13.528,40.0,N2LO,450
2,1.001,9.354e-07,12.351,0.111,9.82,30.0,N4LO,450
2,1.001,5.857e-07,18.672,0.081,13.528,40.0,N4LO+,450
2,1.001,9.633e-07,12.351,0.111,9.82,30.0,N4LO,500
2,1.001,5.576e-07,18.672,0.081,13.528,40.0,N4LO,450
2,1.001,5.615e-07,18.672,0.081,13.528,40.0,N4LO+,400
2,1.001,9.42e-07,12.351,0.111,9.82,30.0,N4LO+,450
2,1.001,5.576e-07,18.672,0.081,13.528,40.0,N4LO,400
2,1.001,2.273e-07,18.672,0.081,13.528,40.0,LO,450
2,1.001,6.29e-07,18.672,0.081,13.528,40.0,N4LO+,550
2,1.001,5.615e-07,18.672,0.081,13.528,40.0,N4LO+,400
2,1.001,9.718e-07,12.351,0.111,9.82,30.0,N4LO+,500
2,1.001,8.438e-07,12.351,0.111,9.82,30.0,NLO,450
2,1.001,4.663e-07,12.351,0.111,9.82,30.0,LO,450
2,1.001,9.582e-07,12.351,0.111,9.82,30.0,N3LO,450
2,1.001,9.268e-07,12.351,0.111,9.82,30.0,N3LO,400
2,1.001,5.756e-07,18.672,0.081,13.528,40.0,N3LO,400
2,1.001,5.573e-07,18.672,0.081,13.528,40.0,N4LO,500
2,1.001,5.018e-07,12.351,0.111,9.82,30.0,LO,400
2,1.001,9.057e-07,12.351,0.111,9.82,30.0,N4LO,400
2,1.001,4.824e-07,18.672,0.081,13.528,40.0,NLO,400
2,1.003,1.091e-07,59.866,0.034,32.382,100.0,NLO,450
2,1.003,1.284e-07,59.866,0.034,32.382,100.0,N4LO+,450
2,1.003,1.271e-07,59.866,0.034,32.382,100.0,N3LO,400
2,1.003,3.694e-08,59.866,0.034,32.382,100.0,LO,400
2,1.003,1.014e-07,59.866,0.034,32.382,100.0,NLO,400
2,1.003,1.366e-07,59.866,0.034,32.382,100.0,N4LO,550
2,1.003,3.93e-08,59.866,0.034,32.382,100.0,LO,450
2,1.003,1.229e-07,59.866,0.034,32.382,100.0,N4LO,400
2,1.003,1.267e-07,59.866,0.034,32.382,100.0,N2LO,450
2,1.003,1.281e-07,59.866,0.034,32.382,100.0,N4LO,450
2,1.003,1.329e-07,59.866,0.034,32.382,100.0,N4LO,500
2,1.003,1.233e-07,59.866,0.034,32.382,100.0,N4LO+,400
2,1.003,1.325e-07,59.866,0.034,32.382,100.0,N3LO,450
2,1.003,1.143e-07,59.866,0.034,32.382,100.0,N2LO,400
2,1.003,1.332e-07,59.866,0.034,32.382,100.0,N4LO+,500
2,1.003,1.371e-07,59.866,0.034,32.382,100.0,N4LO+,550
2,1.004,2.574e-08,74.553,0.029,37.7,120.0,LO,400
2,1.004,9.407e-08,74.553,0.029,37.7,120.0,N4LO+,500
2,1.004,8.722e-08,74.553,0.029,37.7,120.0,N4LO+,400
2,1.004,8.696e-08,74.553,0.029,37.7,120.0,N4LO,400
2,1.004,8.994e-08,74.553,0.029,37.7,120.0,N3LO,400
2,1.004,8.934e-08,74.553,0.029,37.7,120.0,N2LO,450
2,1.004,7.602e-08,74.553,0.029,37.7,120.0,NLO,450
2,1.004,2.818e-08,74.553,0.029,37.7,120.0,LO,450
2,1.004,9.688e-08,74.553,0.029,37.7,120.0,N4LO+,550
2,1.004,9.066e-08,74.553,0.029,37.7,120.0,N4LO,450
2,1.004,7.034e-08,74.553,0.029,37.7,120.0,NLO,400
2,1.004,9.399e-08,74.553,0.029,37.7,120.0,N3LO,450
2,1.004,8.019e-08,74.553,0.029,37.7,120.0,N2LO,400
2,1.004,9.685e-08,74.553,0.029,37.7,120.0,N4LO,550
2,1.004,9.073e-08,74.553,0.029,37.7,120.0,N4LO+,450
2,1.004,9.414e-08,74.553,0.029,37.7,120.0,N4LO,500
3,1.5,8.147e-08,59.37,0.074,32.838,100.0,LO,450
3,1.5,2.263e-07,59.37,0.074,32.838,100.0,NLO,450
3,1.5,1.116e-06,18.182,0.172,13.928,40.0,N3LO,450
3,1.5,7.652e-08,59.37,0.074,32.838,100.0,LO,400
3,1.5,2.841e-07,59.37,0.074,32.838,100.0,N4LO+,550
3,1.5,2.104e-07,59.37,0.074,32.838,100.0,NLO,400
3,1.5,2.654e-07,59.37,0.074,32.838,100.0,N4LO,450
3,1.5,8.991e-07,18.182,0.172,13.928,40.0,NLO,400
3,1.5,1.038e-06,18.182,0.172,13.928,40.0,N4LO,550
3,1.5,2.634e-07,59.37,0.074,32.838,100.0,N3LO,400
3,1.5,2.369e-07,59.37,0.074,32.838,100.0,N2LO,400
3,1.5,1.073e-06,18.182,0.172,13.928,40.0,N3LO,400
3,1.5,4.465e-07,18.182,0.172,13.928,40.0,LO,400
3,1.5,9.853e-07,18.182,0.172,13.928,40.0,N2LO,400
3,1.5,1.039e-06,18.182,0.172,13.928,40.0,N4LO,500
3,1.5,2.745e-07,59.37,0.074,32.838,100.0,N3LO,450
3,1.5,1.074e-06,18.182,0.172,13.928,40.0,N2LO,450
3,1.5,1.169e-06,18.182,0.172,13.928,40.0,N4LO+,550
3,1.5,2.626e-07,59.37,0.074,32.838,100.0,N2LO,450
3,1.5,2.759e-07,59.37,0.074,32.838,100.0,N4LO+,500
3,1.5,1.133e-06,18.182,0.172,13.928,40.0,N4LO+,500
3,1.5,1.047e-06,18.182,0.172,13.928,40.0,N4LO+,400
3,1.5,1.04e-06,18.182,0.172,13.928,40.0,N4LO,450
3,1.5,4.248e-07,18.182,0.172,13.928,40.0,LO,450
3,1.5,2.829e-07,59.37,0.074,32.838,100.0,N4LO,550
3,1.5,1.091e-06,18.182,0.172,13.928,40.0,N4LO+,450
3,1.5,2.556e-07,59.37,0.074,32.838,100.0,N4LO+,400
3,1.5,9.417e-07,18.182,0.172,13.928,40.0,NLO,450
3,1.5,1.047e-06,18.182,0.172,13.928,40.0,N4LO+,400
3,1.5,2.548e-07,59.37,0.074,32.838,100.0,N4LO,400
3,1.5,2.754e-07,59.37,0.074,32.838,100.0,N4LO,500
3,1.5,1.04e-06,18.182,0.172,13.928,40.0,N4LO,400
3,1.5,2.661e-07,59.37,0.074,32.838,100.0,N4LO+,450
3,1.501,1.459e-06,11.865,0.23,10.187,30.0,N3LO,400
3,1.501,1.429e-06,11.865,0.23,10.187,30.0,N4LO,400
3,1.501,8.369e-07,11.865,0.23,10.187,30.0,LO,400
3,1.501,1.477e-06,11.865,0.23,10.187,30.0,N4LO+,450
3,1.501,1.499e-06,11.865,0.23,10.187,30.0,N3LO,450
3,1.501,1.334e-06,11.865,0.23,10.187,30.0,NLO,450
3,1.501,1.517e-06,11.865,0.23,10.187,30.0,N4LO+,500
3,1.501,1.374e-06,11.865,0.23,10.187,30.0,N2LO,400
3,1.501,1.534e-06,11.865,0.23,10.187,30.0,N4LO,550
3,1.501,1.505e-06,11.865,0.23,10.187,30.0,N4LO,500
3,1.501,1.551e-06,11.865,0.23,10.187,30.0,N4LO+,550
3,1.501,7.836e-07,11.865,0.23,10.187,30.0,LO,450
3,1.501,1.468e-06,11.865,0.23,10.187,30.0,N4LO,450
3,1.501,1.459e-06,11.865,0.23,10.187,30.0,N2LO,450
3,1.501,1.295e-06,11.865,0.23,10.187,30.0,NLO,400
3,1.501,1.436e-06,11.865,0.23,10.187,30.0,N4LO+,400
3,1.507,1.904e-07,74.051,0.064,38.167,120.0,N4LO,450
3,1.507,1.832e-07,74.051,0.064,38.167,120.0,N4LO+,400
3,1.507,2.033e-07,74.051,0.064,38.167,120.0,N4LO,550
3,1.507,1.827e-07,74.051,0.064,38.167,120.0,N4LO,400
3,1.507,1.975e-07,74.051,0.064,38.167,120.0,N4LO+,500
3,1.507,1.684e-07,74.051,0.064,38.167,120.0,N2LO,400
3,1.507,1.973e-07,74.051,0.064,38.167,120.0,N3LO,450
3,1.507,1.889e-07,74.051,0.064,38.167,120.0,N3LO,400
3,1.507,1.906e-07,74.051,0.064,38.167,120.0,N4LO+,450
3,1.507,1.976e-07,74.051,0.064,38.167,120.0,N4LO,500
3,1.507,5.402e-08,74.051,0.064,38.167,120.0,LO,400
3,1.507,5.922e-08,74.051,0.064,38.167,120.0,LO,450
3,1.507,1.479e-07,74.051,0.064,38.167,120.0,NLO,400
3,1.507,2.034e-07,74.051,0.064,38.167,120.0,N4LO+,550
3,1.507,1.877e-07,74.051,0.064,38.167,120.0,N2LO,450
3,1.507,1.599e-07,74.051,0.064,38.167,120.0,NLO,450
4,2.0,1.809e-06,11.389,0.38,10.513,30.0,N3LO,400
4,2.0,1.051e-06,11.389,0.38,10.513,30.0,LO,450
4,2.0,1.814e-06,11.389,0.38,10.513,30.0,N4LO,450
4,2.0,1.824e-06,11.389,0.38,10.513,30.0,N4LO+,450
4,2.0,1.851e-06,11.389,0.38,10.513,30.0,N4LO,500
4,2.0,1.664e-06,11.389,0.38,10.513,30.0,NLO,450
4,2.0,1.879e-06,11.389,0.38,10.513,30.0,N4LO,550
4,2.0,1.802e-06,11.389,0.38,10.513,30.0,N2LO,450
4,2.0,1.784e-06,11.389,0.38,10.513,30.0,N4LO+,400
4,2.0,1.624e-06,11.389,0.38,10.513,30.0,NLO,400
4,2.0,1.896e-06,11.389,0.38,10.513,30.0,N4LO+,550
4,2.0,1.712e-06,11.389,0.38,10.513,30.0,N2LO,400
4,2.0,1.115e-06,11.389,0.38,10.513,30.0,LO,400
4,2.0,1.844e-06,11.389,0.38,10.513,30.0,N3LO,450
4,2.0,1.863e-06,11.389,0.38,10.513,30.0,N4LO+,500
4,2.0,1.777e-06,11.389,0.38,10.513,30.0,N4LO,400
4,2.001,1.613e-06,17.694,0.29,14.298,40.0,N4LO+,550
4,2.001,1.252e-06,17.694,0.29,14.298,40.0,NLO,400
4,2.001,6.368e-07,17.694,0.29,14.298,40.0,LO,400
4,2.001,1.442e-06,17.694,0.29,14.298,40.0,N4LO,550
4,2.001,1.454e-06,17.694,0.29,14.298,40.0,N4LO+,400
4,2.001,1.308e-06,17.694,0.29,14.298,40.0,NLO,450
4,2.001,1.445e-06,17.694,0.29,14.298,40.0,N4LO,400
4,2.001,1.487e-06,17.694,0.29,14.298,40.0,N2LO,450
4,2.001,1.443e-06,17.694,0.29,14.298,40.0,N4LO,500
4,2.001,1.444e-06,17.694,0.29,14.298,40.0,N4LO,450
4,2.001,6.11e-07,17.694,0.29,14.298,40.0,LO,450
4,2.001,1.369e-06,17.694,0.29,14.298,40.0,N2LO,400
4,2.001,1.567e-06,17.694,0.29,14.298,40.0,N4LO+,500
4,2.001,1.49e-06,17.694,0.29,14.298,40.0,N3LO,400
4,2.001,1.544e-06,17.694,0.29,14.298,40.0,N3LO,450
4,2.001,1.511e-06,17.694,0.29,14.298,40.0,N4LO+,450
4,2.001,1.454e-06,17.694,0.29,14.298,40.0,N4LO+,400
4,2.005,1.267e-07,58.868,0.129,33.285,100.0,LO,400
4,2.005,3.482e-07,58.868,0.129,33.285,100.0,NLO,400
4,2.005,4.561e-07,58.868,0.129,33.285,100.0,N4LO+,500
4,2.005,4.389e-07,58.868,0.129,33.285,100.0,N4LO,450
4,2.005,3.748e-07,58.868,0.129,33.285,100.0,NLO,450
4,2.005,4.537e-07,58.868,0.129,33.285,100.0,N3LO,450
4,2.005,4.356e-07,58.868,0.129,33.285,100.0,N3LO,400
4,2.005,4.343e-07,58.868,0.129,33.285,100.0,N2LO,450
4,2.005,4.551e-07,58.868,0.129,33.285,100.0,N4LO,500
4,2.005,4.214e-07,58.868,0.129,33.285,100.0,N4LO,400
4,2.005,4.694e-07,58.868,0.129,33.285,100.0,N4LO+,550
4,2.005,1.35e-07,58.868,0.129,33.285,100.0,LO,450
4,2.005,4.675e-07,58.868,0.129,33.285,100.0,N4LO,550
4,2.005,3.918e-07,58.868,0.129,33.285,100.0,N2LO,400
4,2.005,4.228e-07,58.868,0.129,33.285,100.0,N4LO+,400
4,2.005,4.399e-07,58.868,0.129,33.285,100.0,N4LO+,450
4,2.006,3.021e-07,73.555,0.111,38.617,120.0,N4LO,400
4,2.006,2.785e-07,73.555,0.111,38.617,120.0,N2LO,400
4,2.006,8.939e-08,73.555,0.111,38.617,120.0,LO,400
4,2.006,9.806e-08,73.555,0.111,38.617,120.0,LO,450
4,2.006,3.148e-07,73.555,0.111,38.617,120.0,N4LO,450
4,2.006,3.26e-07,73.555,0.111,38.617,120.0,N3LO,450
4,2.006,3.03e-07,73.555,0.111,38.617,120.0,N4LO+,400
4,2.006,3.357e-07,73.555,0.111,38.617,120.0,N4LO,550
4,2.006,3.266e-07,73.555,0.111,38.617,120.0,N4LO,500
4,2.006,3.265e-07,73.555,0.111,38.617,120.0,N4LO+,500
4,2.006,2.447e-07,73.555,0.111,38.617,120.0,NLO,400
4,2.006,3.151e-07,73.555,0.111,38.617,120.0,N4LO+,450
4,2.006,3.122e-07,73.555,0.111,38.617,120.0,N3LO,400
4,2.006,3.36e-07,73.555,0.111,38.617,120.0,N4LO+,550
4,2.006,3.103e-07,73.555,0.111,38.617,120.0,N2LO,450
4,2.006,2.649e-07,73.555,0.111,38.617,120.0,NLO,450
5,2.501,1.76e-06,17.215,0.429,14.638,40.0,N2LO,450
5,2.501,1.626e-06,17.215,0.429,14.638,40.0,N2LO,400
5,2.501,1.49e-06,17.215,0.429,14.638,40.0,NLO,400
5,2.501,1.554e-06,17.215,0.429,14.638,40.0,NLO,450
5,2.501,7.872e-07,17.215,0.429,14.638,40.0,LO,400
5,2.501,1.899e-06,17.215,0.429,14.638,40.0,N4LO+,550
5,2.501,1.823e-06,17.215,0.429,14.638,40.0,N3LO,450
5,2.501,1.714e-06,17.215,0.429,14.638,40.0,N4LO,450
5,2.501,1.787e-06,17.215,0.429,14.638,40.0,N4LO+,450
5,2.501,1.716e-06,17.215,0.429,14.638,40.0,N4LO,400
5,2.501,1.725e-06,17.215,0.429,14.638,40.0,N4LO+,400
5,2.501,1.712e-06,17.215,0.429,14.638,40.0,N4LO,500
5,2.501,7.629e-07,17.215,0.429,14.638,40.0,LO,450
5,2.501,1.848e-06,17.215,0.429,14.638,40.0,N4LO+,500
5,2.501,1.71e-06,17.215,0.429,14.638,40.0,N4LO,550
5,2.501,1.725e-06,17.215,0.429,14.638,40.0,N4LO+,400
5,2.501,1.766e-06,17.215,0.429,14.638,40.0,N3LO,400
5,2.502,1.836e-07,58.375,0.195,33.712,100.0,LO,400
5,2.502,6.344e-07,58.375,0.195,33.712,100.0,N4LO,450
5,2.502,5.039e-07,58.375,0.195,33.712,100.0,NLO,400
5,2.502,1.957e-07,58.375,0.195,33.712,100.0,LO,450
5,2.502,6.591e-07,58.375,0.195,33.712,100.0,N4LO+,500
5,2.502,6.113e-07,58.375,0.195,33.712,100.0,N4LO+,400
5,2.502,2.161e-06,10.92,0.556,10.806,30.0,N4LO,500
5,2.502,2.134e-06,10.92,0.556,10.806,30.0,N4LO+,450
5,2.502,6.36e-07,58.375,0.195,33.712,100.0,N4LO+,450
5,2.502,2.122e-06,10.92,0.556,10.806,30.0,N3LO,400
5,2.502,6.753e-07,58.375,0.195,33.712,100.0,N4LO,550
5,2.502,6.093e-07,58.375,0.195,33.712,100.0,N4LO,400
5,2.502,6.577e-07,58.375,0.195,33.712,100.0,N4LO,500
5,2.502,1.961e-06,10.92,0.556,10.806,30.0,NLO,450
5,2.502,6.556e-07,58.375,0.195,33.712,100.0,N3LO,450
5,2.502,1.359e-06,10.92,0.556,10.806,30.0,LO,400
5,2.502,2.016e-06,10.92,0.556,10.806,30.0,N2LO,400
5,2.502,2.189e-06,10.92,0.556,10.806,30.0,N4LO,550
5,2.502,2.206e-06,10.92,0.556,10.806,30.0,N4LO+,550
5,2.502,6.279e-07,58.375,0.195,33.712,100.0,N2LO,450
5,2.502,2.173e-06,10.92,0.556,10.806,30.0,N4LO+,500
5,2.502,1.92e-06,10.92,0.556,10.806,30.0,NLO,400
5,2.502,6.296e-07,58.375,0.195,33.712,100.0,N3LO,400
5,2.502,2.095e-06,10.92,0.556,10.806,30.0,N4LO+,400
5,2.502,2.111e-06,10.92,0.556,10.806,30.0,N2LO,450
5,2.502,5.665e-07,58.375,0.195,33.712,100.0,N2LO,400
5,2.502,2.089e-06,10.92,0.556,10.806,30.0,N4LO,400
5,2.502,2.154e-06,10.92,0.556,10.806,30.0,N3LO,450
5,2.502,5.425e-07,58.375,0.195,33.712,100.0,NLO,450
5,2.502,1.284e-06,10.92,0.556,10.806,30.0,LO,450
5,2.502,2.125e-06,10.92,0.556,10.806,30.0,N4LO,450
5,2.502,6.782e-07,58.375,0.195,33.712,100.0,N4LO+,550
5,2.508,4.063e-07,73.055,0.169,39.057,120.0,N2LO,400
5,2.508,1.307e-07,73.055,0.169,39.057,120.0,LO,400
5,2.508,4.554e-07,73.055,0.169,39.057,120.0,N3LO,400
5,2.508,4.898e-07,73.055,0.169,39.057,120.0,N4LO+,550
5,2.508,4.761e-07,73.055,0.169,39.057,120.0,N4LO+,500
5,2.508,4.591e-07,73.055,0.169,39.057,120.0,N4LO,450
5,2.508,4.596e-07,73.055,0.169,39.057,120.0,N4LO+,450
5,2.508,3.574e-07,73.055,0.169,39.057,120.0,NLO,400
5,2.508,4.893e-07,73.055,0.169,39.057,120.0,N4LO,550
5,2.508,4.408e-07,73.055,0.169,39.057,120.0,N4LO,400
5,2.508,4.762e-07,73.055,0.169,39.057,120.0,N4LO,500
5,2.508,4.421e-07,73.055,0.169,39.057,120.0,N4LO+,400
5,2.508,4.753e-07,73.055,0.169,39.057,120.0,N3LO,450
5,2.508,3.871e-07,73.055,0.169,39.057,120.0,NLO,450
5,2.508,4.528e-07,73.055,0.169,39.057,120.0,N2LO,450
5,2.508,1.434e-07,73.055,0.169,39.057,120.0,LO,450
6,3.001,2.438e-06,10.461,0.753,11.068,30.0,N4LO+,450
6,3.001,1.895e-06,16.741,0.588,14.953,40.0,N4LO,550
6,3.001,2.428e-06,10.461,0.753,11.068,30.0,N4LO,450
6,3.001,1.913e-06,16.741,0.588,14.953,40.0,N4LO+,400
6,3.001,2.09e-06,16.741,0.588,14.953,40.0,N4LO+,550
6,3.001,1.977e-06,16.741,0.588,14.953,40.0,N4LO+,450
6,3.001,1.484e-06,10.461,0.753,11.068,30.0,LO,450
6,3.001,2.413e-06,10.461,0.753,11.068,30.0,N2LO,450
6,3.001,2.397e-06,10.461,0.753,11.068,30.0,N4LO+,400
6,3.001,2.425e-06,10.461,0.753,11.068,30.0,N3LO,400
6,3.001,1.902e-06,16.741,0.588,14.953,40.0,N4LO,450
6,3.001,1.947e-06,16.741,0.588,14.953,40.0,N2LO,450
6,3.001,1.904e-06,16.741,0.588,14.953,40.0,N4LO,400
6,3.001,9.102e-07,16.741,0.588,14.953,40.0,LO,400
6,3.001,1.661e-06,16.741,0.588,14.953,40.0,NLO,400
6,3.001,2.391e-06,10.461,0.753,11.068,30.0,N4LO,400
6,3.001,1.573e-06,10.461,0.753,11.068,30.0,LO,400
6,3.001,2.039e-06,16.741,0.588,14.953,40.0,N4LO+,500
6,3.001,1.913e-06,16.741,0.588,14.953,40.0,N4LO+,400
6,3.001,8.89e-07,16.741,0.588,14.953,40.0,LO,450
6,3.001,2.311e-06,10.461,0.753,11.068,30.0,N2LO,400
6,3.001,2.208e-06,10.461,0.753,11.068,30.0,NLO,400
6,3.001,2.478e-06,10.461,0.753,11.068,30.0,N4LO+,500
6,3.001,1.806e-06,16.741,0.588,14.953,40.0,N2LO,400
6,3.001,1.958e-06,16.741,0.588,14.953,40.0,N3LO,400
6,3.001,2.512e-06,10.461,0.753,11.068,30.0,N4LO+,550
6,3.001,2.494e-06,10.461,0.753,11.068,30.0,N4LO,550
6,3.001,2.465e-06,10.461,0.753,11.068,30.0,N4LO,500
6,3.001,2.457e-06,10.461,0.753,11.068,30.0,N3LO,450
6,3.001,1.728e-06,16.741,0.588,14.953,40.0,NLO,450
6,3.001,2.013e-06,16.741,0.588,14.953,40.0,N3LO,450
6,3.001,1.898e-06,16.741,0.588,14.953,40.0,N4LO,500
6,3.001,2.251e-06,10.461,0.753,11.068,30.0,NLO,450
6,3.005,7.589e-07,57.879,0.274,34.129,100.0,N2LO,400
6,3.005,2.467e-07,57.879,0.274,34.129,100.0,LO,400
6,3.005,5.451e-07,72.563,0.237,39.482,120.0,N2LO,400
6,3.005,8.495e-07,57.879,0.274,34.129,100.0,N4LO,450
6,3.005,6.757e-07,57.879,0.274,34.129,100.0,NLO,400
6,3.005,9.038e-07,57.879,0.274,34.129,100.0,N4LO,550
6,3.005,6.164e-07,72.563,0.237,39.482,120.0,N4LO+,450
6,3.005,5.2e-07,72.563,0.237,39.482,120.0,NLO,450
6,3.005,5.931e-07,72.563,0.237,39.482,120.0,N4LO+,400
6,3.005,8.824e-07,57.879,0.274,34.129,100.0,N4LO+,500
6,3.005,9.076e-07,57.879,0.274,34.129,100.0,N4LO+,550
6,3.005,8.162e-07,57.879,0.274,34.129,100.0,N4LO,400
6,3.005,8.804e-07,57.879,0.274,34.129,100.0,N4LO,500
6,3.005,8.188e-07,57.879,0.274,34.129,100.0,N4LO+,400
6,3.005,7.275e-07,57.879,0.274,34.129,100.0,NLO,450
6,3.005,6.157e-07,72.563,0.237,39.482,120.0,N4LO,450
6,3.005,6.383e-07,72.563,0.237,39.482,120.0,N4LO+,500
6,3.005,8.432e-07,57.879,0.274,34.129,100.0,N3LO,400
6,3.005,8.776e-07,57.879,0.274,34.129,100.0,N3LO,450
6,3.005,8.41e-07,57.879,0.274,34.129,100.0,N2LO,450
6,3.005,6.106e-07,72.563,0.237,39.482,120.0,N3LO,400
6,3.005,6.557e-07,72.563,0.237,39.482,120.0,N4LO,550
6,3.005,1.93e-07,72.563,0.237,39.482,120.0,LO,450
6,3.005,4.8e-07,72.563,0.237,39.482,120.0,NLO,400
6,3.005,8.516e-07,57.879,0.274,34.129,100.0,N4LO+,450
6,3.005,6.383e-07,72.563,0.237,39.482,120.0,N4LO,500
6,3.005,6.565e-07,72.563,0.237,39.482,120.0,N4LO+,550
6,3.005,2.632e-07,57.879,0.274,34.129,100.0,LO,450
6,3.005,6.074e-07,72.563,0.237,39.482,120.0,N2LO,450
6,3.005,5.912e-07,72.563,0.237,39.482,120.0,N4LO,400
