 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.8873930E-09  0.8203605E-06
  0.2505679E-04  0.7967109E-08  0.2455095E-05
  0.6960220E-04  0.2202313E-07  0.4071907E-05
  0.1364203E-03  0.4284964E-07  0.5658977E-05
  0.2255111E-03  0.7014053E-07  0.7204690E-05
  0.3368746E-03  0.1034927E-06  0.8697731E-05
  0.4705109E-03  0.1424112E-06  0.1012720E-04
  0.6264198E-03  0.1863153E-06  0.1148275E-04
  0.8046014E-03  0.2345479E-06  0.1275474E-04
  0.1005056E-02  0.2863865E-06  0.1393438E-04
  0.1227783E-02  0.3410573E-06  0.1501401E-04
  0.1472783E-02  0.3977525E-06  0.1598725E-04
  0.1740055E-02  0.4556513E-06  0.1684928E-04
  0.2029600E-02  0.5139437E-06  0.1759708E-04
  0.2341418E-02  0.5718585E-06  0.1822969E-04
  0.2675509E-02  0.6286942E-06  0.1874850E-04
  0.3031872E-02  0.6838534E-06  0.1915746E-04
  0.3410508E-02  0.7368767E-06  0.1946326E-04
  0.3811416E-02  0.7873887E-06  0.1967326E-04
  0.4234598E-02  0.8350384E-06  0.1979387E-04
  0.4680052E-02  0.8795554E-06  0.1983207E-04
  0.5147779E-02  0.9207520E-06  0.1979534E-04
  0.5637778E-02  0.9585186E-06  0.1969141E-04
  0.6150050E-02  0.9928164E-06  0.1952809E-04
  0.6684595E-02  0.1023668E-05  0.1931308E-04
  0.7241413E-02  0.1051143E-05  0.1905375E-04
  0.7820503E-02  0.1075350E-05  0.1875697E-04
  0.8421866E-02  0.1096413E-05  0.1842894E-04
  0.9045502E-02  0.1114461E-05  0.1807502E-04
  0.9691410E-02  0.1129605E-05  0.1769960E-04
  0.1035959E-01  0.1141920E-05  0.1730592E-04
  0.1105005E-01  0.1151425E-05  0.1689599E-04
  0.1176277E-01  0.1158060E-05  0.1647049E-04
  0.1249777E-01  0.1161669E-05  0.1602863E-04
  0.1325504E-01  0.1161980E-05  0.1556820E-04
  0.1403459E-01  0.1158870E-05  0.1508916E-04
  0.1483640E-01  0.1152530E-05  0.1459547E-04
  0.1566049E-01  0.1143196E-05  0.1409120E-04
  0.1650686E-01  0.1131117E-05  0.1358018E-04
  0.1737549E-01  0.1116554E-05  0.1306597E-04
  0.1826640E-01  0.1099774E-05  0.1255184E-04
  0.1917958E-01  0.1081044E-05  0.1204076E-04
  0.2011504E-01  0.1060625E-05  0.1153537E-04
  0.2107276E-01  0.1038769E-05  0.1103795E-04
  0.2205276E-01  0.1015716E-05  0.1055045E-04
  0.2305503E-01  0.9916860E-06  0.1007445E-04
  0.2407958E-01  0.9668784E-06  0.9611202E-05
  0.2512639E-01  0.9414674E-06  0.9161582E-05
  0.2619548E-01  0.9155993E-06  0.8726146E-05
  0.2728685E-01  0.8893906E-06  0.8305123E-05
  0.2840048E-01  0.8629256E-06  0.7898430E-05
  0.2953639E-01  0.8362572E-06  0.7505704E-05
  0.3069457E-01  0.8094795E-06  0.7126977E-05
  0.3187502E-01  0.7827734E-06  0.6763026E-05
  0.3307775E-01  0.7563122E-06  0.6414508E-05
  0.3430275E-01  0.7302516E-06  0.6081887E-05
  0.3555002E-01  0.7047288E-06  0.5765438E-05
  0.3681956E-01  0.6798614E-06  0.5465266E-05
  0.3811138E-01  0.6557473E-06  0.5181308E-05
  0.3942547E-01  0.6324643E-06  0.4913352E-05
  0.4076183E-01  0.6100706E-06  0.4661047E-05
  0.4212047E-01  0.5886045E-06  0.4423920E-05
  0.4350137E-01  0.5680854E-06  0.4201384E-05
  0.4490456E-01  0.5485142E-06  0.3992757E-05
  0.4633001E-01  0.5298746E-06  0.3797276E-05
  0.4777773E-01  0.5121346E-06  0.3614112E-05
  0.4924773E-01  0.4952484E-06  0.3442391E-05
  0.5074000E-01  0.4791582E-06  0.3281209E-05
  0.5225455E-01  0.4637977E-06  0.3129657E-05
  0.5379136E-01  0.4491450E-06  0.2987174E-05
  0.5535045E-01  0.4352581E-06  0.2853754E-05
  0.5693182E-01  0.4221949E-06  0.2729391E-05
  0.5853545E-01  0.4100051E-06  0.2614027E-05
  0.6016136E-01  0.3987303E-06  0.2507556E-05
  0.6180954E-01  0.3884044E-06  0.2409831E-05
  0.6347999E-01  0.3790535E-06  0.2320664E-05
  0.6517272E-01  0.3706966E-06  0.2239835E-05
  0.6688771E-01  0.3633461E-06  0.2167093E-05
  0.6862498E-01  0.3570083E-06  0.2102168E-05
  0.7038453E-01  0.3516845E-06  0.2044772E-05
  0.7216634E-01  0.3473719E-06  0.1994608E-05
  0.7397043E-01  0.3440642E-06  0.1951375E-05
  0.7579680E-01  0.3417529E-06  0.1914772E-05
  0.7764543E-01  0.3404281E-06  0.1884507E-05
  0.7951634E-01  0.3400797E-06  0.1860299E-05
  0.8140952E-01  0.3406984E-06  0.1841886E-05
  0.8332497E-01  0.3422785E-06  0.1829036E-05
  0.8526269E-01  0.3448178E-06  0.1821547E-05
  0.8722269E-01  0.3483109E-06  0.1819209E-05
  0.8920496E-01  0.3527495E-06  0.1821806E-05
  0.9120951E-01  0.3581217E-06  0.1829114E-05
  0.9323632E-01  0.3644112E-06  0.1840897E-05
  0.9528541E-01  0.3715946E-06  0.1856891E-05
  0.9735677E-01  0.3796364E-06  0.1876787E-05
  0.9945041E-01  0.3884756E-06  0.1900163E-05
  0.1015663E+00  0.3979976E-06  0.1926353E-05
  0.1037045E+00  0.4079870E-06  0.1954239E-05
  0.1058649E+00  0.4180628E-06  0.1981964E-05
  0.1080477E+00  0.4276314E-06  0.2006745E-05
  0.1102527E+00  0.4359454E-06  0.2025200E-05
  0.1124799E+00  0.4423526E-06  0.2034517E-05
  0.1147295E+00  0.4467183E-06  0.2034354E-05
  0.1170013E+00  0.4494649E-06  0.2026892E-05
  0.1192954E+00  0.4511814E-06  0.2014975E-05
  0.1216117E+00  0.4523583E-06  0.2000898E-05
  0.1239504E+00  0.4533099E-06  0.1986102E-05
  0.1263113E+00  0.4542043E-06  0.1971335E-05
  0.1286945E+00  0.4551145E-06  0.1956910E-05
  0.1310999E+00  0.4560578E-06  0.1942893E-05
  0.1335276E+00  0.4570212E-06  0.1929217E-05
  0.1359776E+00  0.4579792E-06  0.1915765E-05
  0.1384499E+00  0.4589059E-06  0.1902425E-05
  0.1409445E+00  0.4597808E-06  0.1889109E-05
  0.1434613E+00  0.4605892E-06  0.1875757E-05
  0.1460004E+00  0.4613195E-06  0.1862323E-05
  0.1485617E+00  0.4619644E-06  0.1848780E-05
  0.1511454E+00  0.4625197E-06  0.1835114E-05
  0.1537513E+00  0.4629833E-06  0.1821320E-05
  0.1563794E+00  0.4633563E-06  0.1807405E-05
  0.1590299E+00  0.4636449E-06  0.1793397E-05
  0.1617026E+00  0.4638536E-06  0.1779314E-05
  0.1643976E+00  0.4639714E-06  0.1765118E-05
  0.1671149E+00  0.4639876E-06  0.1750770E-05
  0.1698544E+00  0.4638942E-06  0.1736244E-05
  0.1726162E+00  0.4636858E-06  0.1721524E-05
  0.1754003E+00  0.4633580E-06  0.1706600E-05
  0.1782067E+00  0.4629079E-06  0.1691464E-05
  0.1810353E+00  0.4623349E-06  0.1676121E-05
  0.1838862E+00  0.4616394E-06  0.1660575E-05
  0.1867594E+00  0.4608202E-06  0.1644828E-05
  0.1896549E+00  0.4598750E-06  0.1628876E-05
  0.1925726E+00  0.4587984E-06  0.1612705E-05
  0.1955126E+00  0.4575811E-06  0.1596287E-05
  0.1984748E+00  0.4562093E-06  0.1579580E-05
  0.2014594E+00  0.4546648E-06  0.1562528E-05
  0.2044662E+00  0.4529245E-06  0.1545060E-05
  0.2074953E+00  0.4509619E-06  0.1527095E-05
  0.2105467E+00  0.4487505E-06  0.1508555E-05
  0.2136203E+00  0.4462707E-06  0.1489386E-05
  0.2167162E+00  0.4435064E-06  0.1469550E-05
  0.2198344E+00  0.4404421E-06  0.1449010E-05
  0.2229748E+00  0.4370645E-06  0.1427736E-05
  0.2261375E+00  0.4333652E-06  0.1405717E-05
  0.2293225E+00  0.4293435E-06  0.1382967E-05
  0.2325298E+00  0.4250066E-06  0.1359523E-05
  0.2357594E+00  0.4203696E-06  0.1335448E-05
  0.2390112E+00  0.4154556E-06  0.1310828E-05
  0.2422853E+00  0.4102954E-06  0.1285770E-05
  0.2455816E+00  0.4049231E-06  0.1260390E-05
  0.2489003E+00  0.3993785E-06  0.1234816E-05
  0.2522412E+00  0.3937037E-06  0.1209182E-05
  0.2556043E+00  0.3879436E-06  0.1183627E-05
