 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.5983265E-06  0.2436695E-05
  0.1460004E+00  0.5984481E-06  0.2415904E-05
  0.1485617E+00  0.5983569E-06  0.2394623E-05
  0.1511454E+00  0.5980485E-06  0.2372845E-05
  0.1537513E+00  0.5975212E-06  0.2350576E-05
  0.1563794E+00  0.5967760E-06  0.2327833E-05
  0.1590299E+00  0.5958213E-06  0.2304660E-05
  0.1617026E+00  0.5946647E-06  0.2281098E-05
  0.1643976E+00  0.5932991E-06  0.2257128E-05
  0.1671149E+00  0.5917185E-06  0.2232738E-05
  0.1698544E+00  0.5899202E-06  0.2207929E-05
  0.1726162E+00  0.5879050E-06  0.2182713E-05
  0.1754003E+00  0.5856742E-06  0.2157104E-05
  0.1782067E+00  0.5832312E-06  0.2131125E-05
  0.1810353E+00  0.5805821E-06  0.2104807E-05
  0.1838862E+00  0.5777344E-06  0.2078183E-05
  0.1867594E+00  0.5746932E-06  0.2051280E-05
  0.1896549E+00  0.5714622E-06  0.2024118E-05
  0.1925726E+00  0.5680426E-06  0.1996705E-05
  0.1955126E+00  0.5644299E-06  0.1969033E-05
  0.1984748E+00  0.5606153E-06  0.1941076E-05
  0.2014594E+00  0.5565844E-06  0.1912791E-05
  0.2044662E+00  0.5523169E-06  0.1884117E-05
  0.2074953E+00  0.5477882E-06  0.1854978E-05
  0.2105467E+00  0.5429735E-06  0.1825302E-05
  0.2136203E+00  0.5378542E-06  0.1795038E-05
  0.2167162E+00  0.5324157E-06  0.1764150E-05
  0.2198344E+00  0.5266440E-06  0.1732605E-05
  0.2229748E+00  0.5205272E-06  0.1700379E-05
  0.2261375E+00  0.5140588E-06  0.1667465E-05
  0.2293225E+00  0.5072405E-06  0.1633882E-05
  0.2325298E+00  0.5000819E-06  0.1599676E-05
  0.2357594E+00  0.4926001E-06  0.1564913E-05
  0.2390112E+00  0.4848198E-06  0.1529683E-05
  0.2422853E+00  0.4767736E-06  0.1494098E-05
  0.2455816E+00  0.4684974E-06  0.1458275E-05
  0.2489003E+00  0.4600323E-06  0.1422348E-05
  0.2522412E+00  0.4514223E-06  0.1386453E-05
  0.2556043E+00  0.4427146E-06  0.1350734E-05
  0.2589898E+00  0.4339629E-06  0.1315351E-05
  0.2623975E+00  0.4252247E-06  0.1280468E-05
  0.2658275E+00  0.4165495E-06  0.1246226E-05
  0.2692798E+00  0.4079500E-06  0.1212649E-05
  0.2727543E+00  0.3994236E-06  0.1179718E-05
  0.2762511E+00  0.3909630E-06  0.1147397E-05
  0.2797702E+00  0.3825597E-06  0.1115652E-05
  0.2833116E+00  0.3742104E-06  0.1084461E-05
  0.2868752E+00  0.3659176E-06  0.1053821E-05
  0.2904611E+00  0.3576928E-06  0.1023756E-05
  0.2940693E+00  0.3495585E-06  0.9943180E-06
  0.2976997E+00  0.3415431E-06  0.9655761E-06
  0.3013525E+00  0.3336761E-06  0.9376008E-06
  0.3050275E+00  0.3259851E-06  0.9104552E-06
  0.3087247E+00  0.3184901E-06  0.8841796E-06
  0.3124443E+00  0.3111988E-06  0.8587798E-06
  0.3161861E+00  0.3041047E-06  0.8342228E-06
  0.3199502E+00  0.2971912E-06  0.8104477E-06
  0.3237365E+00  0.2904344E-06  0.7873765E-06
  0.3275452E+00  0.2838161E-06  0.7649476E-06
  0.3313761E+00  0.2773534E-06  0.7431957E-06
  0.3352293E+00  0.2710802E-06  0.7221994E-06
  0.3391047E+00  0.2650422E-06  0.7020666E-06
  0.3430024E+00  0.2593015E-06  0.6829466E-06
  0.3469224E+00  0.2539375E-06  0.6650295E-06
  0.3508647E+00  0.2490412E-06  0.6485323E-06
  0.3548292E+00  0.2447058E-06  0.6336725E-06
  0.3588160E+00  0.2410139E-06  0.6206351E-06
  0.3628251E+00  0.2380221E-06  0.6095353E-06
  0.3668565E+00  0.2357520E-06  0.6003957E-06
  0.3709101E+00  0.2341946E-06  0.5931612E-06
  0.3749860E+00  0.2333289E-06  0.5877481E-06
  0.3790842E+00  0.2331545E-06  0.5841255E-06
  0.3832047E+00  0.2337230E-06  0.5823933E-06
  0.3873474E+00  0.2351545E-06  0.5828184E-06
  0.3915124E+00  0.2376147E-06  0.5857750E-06
  0.3956996E+00  0.2412332E-06  0.5915405E-06
  0.3999092E+00  0.2460584E-06  0.6001887E-06
  0.4041410E+00  0.2521190E-06  0.6117435E-06
  0.4083951E+00  0.2594632E-06  0.6262761E-06
  0.4126714E+00  0.2682334E-06  0.6440816E-06
  0.4169701E+00  0.2788514E-06  0.6661171E-06
  0.4212910E+00  0.2923815E-06  0.6948468E-06
  0.4256342E+00  0.3109630E-06  0.7352259E-06
  0.4299996E+00  0.3388623E-06  0.7971123E-06
  0.4343873E+00  0.3853790E-06  0.9019443E-06
  0.4387973E+00  0.4765190E-06  0.1109631E-05
  0.4432296E+00  0.7472044E-06  0.1731232E-05
