 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.3357851E-06  0.1367491E-05
  0.1460004E+00  0.3325241E-06  0.1342383E-05
  0.1485617E+00  0.3296546E-06  0.1319277E-05
  0.1511454E+00  0.3271906E-06  0.1298176E-05
  0.1537513E+00  0.3251463E-06  0.1279086E-05
  0.1563794E+00  0.3235371E-06  0.1262015E-05
  0.1590299E+00  0.3223809E-06  0.1246982E-05
  0.1617026E+00  0.3216974E-06  0.1234012E-05
  0.1643976E+00  0.3215067E-06  0.1223130E-05
  0.1671149E+00  0.3218332E-06  0.1214377E-05
  0.1698544E+00  0.3227055E-06  0.1207809E-05
  0.1726162E+00  0.3241570E-06  0.1203496E-05
  0.1754003E+00  0.3262240E-06  0.1201520E-05
  0.1782067E+00  0.3289467E-06  0.1201971E-05
  0.1810353E+00  0.3323696E-06  0.1204952E-05
  0.1838862E+00  0.3365404E-06  0.1210578E-05
  0.1867594E+00  0.3415084E-06  0.1218963E-05
  0.1896549E+00  0.3473265E-06  0.1230230E-05
  0.1925726E+00  0.3540534E-06  0.1244520E-05
  0.1955126E+00  0.3617543E-06  0.1261992E-05
  0.1984748E+00  0.3705020E-06  0.1282827E-05
  0.2014594E+00  0.3803757E-06  0.1307222E-05
  0.2044662E+00  0.3914633E-06  0.1335397E-05
  0.2074953E+00  0.4038592E-06  0.1367591E-05
  0.2105467E+00  0.4176694E-06  0.1404070E-05
  0.2136203E+00  0.4330114E-06  0.1445135E-05
  0.2167162E+00  0.4500093E-06  0.1491098E-05
  0.2198344E+00  0.4687978E-06  0.1542297E-05
  0.2229748E+00  0.4895194E-06  0.1599088E-05
  0.2261375E+00  0.5123200E-06  0.1661825E-05
  0.2293225E+00  0.5373507E-06  0.1730871E-05
  0.2325298E+00  0.5647807E-06  0.1806636E-05
  0.2357594E+00  0.5947950E-06  0.1889571E-05
  0.2390112E+00  0.6275866E-06  0.1980135E-05
  0.2422853E+00  0.6633544E-06  0.2078799E-05
  0.2455816E+00  0.7022934E-06  0.2186004E-05
  0.2489003E+00  0.7446006E-06  0.2302189E-05
  0.2522412E+00  0.7904658E-06  0.2427758E-05
  0.2556043E+00  0.8400533E-06  0.2563026E-05
  0.2589898E+00  0.8935083E-06  0.2708242E-05
  0.2623975E+00  0.9509412E-06  0.2863545E-05
  0.2658275E+00  0.1012408E-05  0.3028906E-05
  0.2692798E+00  0.1077927E-05  0.3204186E-05
  0.2727543E+00  0.1147544E-05  0.3389330E-05
  0.2762511E+00  0.1221303E-05  0.3584277E-05
  0.2797702E+00  0.1299211E-05  0.3788865E-05
  0.2833116E+00  0.1381182E-05  0.4002664E-05
  0.2868752E+00  0.1467034E-05  0.4224973E-05
  0.2904611E+00  0.1556442E-05  0.4454708E-05
  0.2940693E+00  0.1648876E-05  0.4690222E-05
  0.2976997E+00  0.1743609E-05  0.4929356E-05
  0.3013525E+00  0.1839710E-05  0.5169426E-05
  0.3050275E+00  0.1935966E-05  0.5407026E-05
  0.3087247E+00  0.2030857E-05  0.5637985E-05
  0.3124443E+00  0.2122616E-05  0.5857542E-05
  0.3161861E+00  0.2209323E-05  0.6060636E-05
  0.3199502E+00  0.2288989E-05  0.6242129E-05
  0.3237365E+00  0.2359625E-05  0.6397015E-05
  0.3275452E+00  0.2419328E-05  0.6520628E-05
  0.3313761E+00  0.2466391E-05  0.6608936E-05
  0.3352293E+00  0.2499349E-05  0.6658649E-05
  0.3391047E+00  0.2517049E-05  0.6667376E-05
  0.3430024E+00  0.2518724E-05  0.6633797E-05
  0.3469224E+00  0.2504065E-05  0.6557823E-05
  0.3508647E+00  0.2473295E-05  0.6440748E-05
  0.3548292E+00  0.2427234E-05  0.6285389E-05
  0.3588160E+00  0.2367331E-05  0.6096117E-05
  0.3628251E+00  0.2295575E-05  0.5878588E-05
  0.3668565E+00  0.2214289E-05  0.5639187E-05
