 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   3.9006198915752914E-011   3.6164376487729055E-008
   2.4911983732833341E-005   3.5029441316009524E-010   1.0825782731296135E-007
   6.9199954813425955E-005   9.6881689281969324E-010   1.7964661942721850E-007
   1.3563191143431489E-004   1.8864989837829092E-009   2.4986526460501586E-007
   2.2420785359550006E-004   3.0913155483879307E-009   3.1845507877046227E-007
   3.3492778129698159E-004   4.5674050561001573E-009   3.8496761263632096E-007
   4.6779169453875936E-004   6.2952361138323287E-009   4.4896865553146608E-007
   6.2279959332083360E-004   8.2518309738883755E-009   5.1004255793179108E-007
   7.9995147764320388E-004   1.0411065827180726E-008   5.6779769050056743E-007
   9.9924734750587085E-004   1.2744069669042713E-008   6.2187326536770614E-007
   1.2206872029088339E-003   1.5219734877075189E-008   6.7194719159134934E-007
   1.4642710438520930E-003   1.7805353698022388E-008   7.1774490758922331E-007
   1.7299988703356488E-003   2.0467393455635890E-008   7.5904911857809060E-007
   2.0178706823595007E-003   2.3172418055931162E-008   7.9571022992156857E-007
   2.3278864799236489E-003   2.5888163674842335E-008   8.2765739251807537E-007
   2.6600462630280929E-003   2.8584765788996862E-008   8.5490979890688782E-007
   3.0143500316728348E-003   3.1236135892494697E-008   8.7758807716992405E-007
   3.3907977858578715E-003   3.3821374405721736E-008   8.9592273707404833E-007
   3.7893895255832052E-003   3.6322669443232374E-008   9.1017181973834489E-007
   4.2101252508488342E-003   3.8722975734102998E-008   9.2055865944500473E-007
   4.6530049616547598E-003   4.1008287719247480E-008   9.2733175089970588E-007
   5.1180286580009837E-003   4.3167795504650673E-008   9.3076226055539680E-007
   5.6051963398875025E-003   4.5193771320659057E-008   9.3113664914343818E-007
   6.1145080073143170E-003   4.7081351352030168E-008   9.2874911384767634E-007
   6.6459636602814297E-003   4.8828216697187864E-008   9.2389397276678770E-007
   7.1995632987888348E-003   5.0434177978468651E-008   9.1685808971022841E-007
   7.7753069228365399E-003   5.1900669388602933E-008   9.0791342987656785E-007
   8.3731945324245390E-003   5.3230160449118454E-008   8.9730985260336351E-007
   8.9932261275528381E-003   5.4425489200373511E-008   8.8526814346408244E-007
   9.6354017082214312E-003   5.5489123074470314E-008   8.7197332715195283E-007
   1.0299721274430318E-002   5.6422353316139401E-008   8.5756828585186844E-007
   1.0986184826179505E-002   5.7224429069259169E-008   8.4214770524518797E-007
   1.1694792363468985E-002   5.7891638788015487E-008   8.2575238682654636E-007
   1.2425543886298764E-002   5.8416350067353741E-008   8.0836400351738978E-007
   1.3178439394668836E-002   5.8786305310201685E-008   7.8990420499329823E-007
   1.3953478888579209E-002   5.8995079240036857E-008   7.7037962974073759E-007
   1.4750662368029877E-002   5.9049173131382268E-008   7.4996036379035556E-007
   1.5569989833020839E-002   5.8957030424946093E-008   7.2882235957463553E-007
   1.6411461283552097E-002   5.8727970447525277E-008   7.0713383515422172E-007
   1.7275076719623653E-002   5.8371968287849693E-008   6.8505366987429458E-007
   1.8160836141235506E-002   5.7899432361139425E-008   6.6273001124596761E-007
   1.9068739548387656E-002   5.7320972141128625E-008   6.4029897340895843E-007
   1.9998786941080097E-002   5.6647171410928091E-008   6.1788357953788211E-007
   2.0950978319312842E-002   5.5888358551175951E-008   5.9559281855041647E-007
   2.1925313683085874E-002   5.5054379256315071E-008   5.7352085429553693E-007
   2.2921793032399211E-002   5.4154382705180597E-008   5.5174647610250282E-007
   2.3940416367252845E-002   5.3196616646244488E-008   5.3033270909958671E-007
   2.4981183687646766E-002   5.2188202915766444E-008   5.0932628279233154E-007
   2.6044094993580992E-002   5.1134954282004273E-008   4.8875756038699261E-007
   2.7129150285055512E-002   5.0041215175198293E-008   4.6864070037336216E-007
   2.8236349562070325E-002   4.8909667325417779E-008   4.4897347677619911E-007
   2.9365692824625436E-002   4.7741250787415550E-008   4.2973815899300878E-007
   3.0517180072720848E-002   4.6539385731041616E-008   4.1094026660692453E-007
   3.1690811306356551E-002   4.5312827088725753E-008   3.9263113170815979E-007
   3.2886586525532543E-002   4.4070281875158223E-008   3.7485791131002301E-007
   3.4104505730248841E-002   4.2819827299167534E-008   3.5765910317316076E-007
   3.5344568920505443E-002   4.1568828340656274E-008   3.4106463584493171E-007
   3.6606776096302328E-002   4.0323866326202911E-008   3.2509603797598545E-007
   3.7891127257639504E-002   3.9090677241370325E-008   3.0976666742772483E-007
   3.9197622404517005E-002   3.7874074868540572E-008   2.9508179905021495E-007
   4.0526261536934775E-002   3.6677876076227082E-008   2.8103872024021775E-007
   4.1877044654892844E-002   3.5504838338143011E-008   2.6762690936144381E-007
   4.3249971758391223E-002   3.4356623442424172E-008   2.5482839129288843E-007
   4.4645042847429886E-002   3.3233772713843434E-008   2.4261814343090676E-007
   4.6062257922008847E-002   3.2135698170025751E-008   2.3096457844395189E-007
   4.7501616982128098E-002   3.1060663535475804E-008   2.1982991102480570E-007
   4.8963120027787667E-002   3.0005771507877124E-008   2.0917053513703029E-007
   5.0446767058987520E-002   2.8966978423878273E-008   1.9893755590084085E-007
   5.1952558075727663E-002   2.7939164696450427E-008   1.8907765232325708E-007
   5.3480493078008118E-002   2.6919983480145268E-008   1.7955906671778853E-007
   5.5030572065828856E-002   2.5912936647978436E-008   1.7039030145257422E-007
   5.6602795039189878E-002   2.4921817605541734E-008   1.6158127339807717E-007
   5.8197161998091239E-002   2.3950097647627290E-008   1.5313929267877449E-007
