 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   4.0707769886188490E-011   3.7741978379375331E-008
   2.4911983732833341E-005   3.6557101992059315E-010   1.1297903380234420E-007
   6.9199954813425955E-005   1.0110437955088010E-009   1.8747670617859822E-007
   1.3563191143431489E-004   1.9686538069682847E-009   2.6074660448924360E-007
   2.2420785359550006E-004   3.2257843923661654E-009   3.3230752625793822E-007
   3.3492778129698159E-004   4.7657949427568346E-009   4.0168907265559552E-007
   4.6779169453875936E-004   6.5681965420505042E-009   4.6843586442632085E-007
   6.2279959332083360E-004   8.6088877188777903E-009   5.3211210057238475E-007
   7.9995147764320388E-004   1.0860470914547598E-008   5.9230730123032831E-007
   9.9924734750587085E-004   1.3292672284479403E-008   6.4864346583825211E-007
   1.2206872029088339E-003   1.5872878550278299E-008   7.0078330867611868E-007
   1.4642710438520930E-003   1.8566805658457613E-008   7.4843951081055184E-007
   1.7299988703356488E-003   2.1339312505598777E-008   7.9138491100717179E-007
   2.0178706823595007E-003   2.4155367511078334E-008   8.2946341593213436E-007
   2.3278864799236489E-003   2.6981176020890432E-008   8.6260153763715711E-007
   2.6600462630280929E-003   2.9785465371103608E-008   8.9082018018703075E-007
   3.0143500316728348E-003   3.2540925534020001E-008   9.1424651138081375E-007
   3.3907977858578715E-003   3.5225686329065987E-008   9.3312273276243923E-007
   3.7893895255832052E-003   3.7821120070414402E-008   9.4771992826219251E-007
   4.2101252508488342E-003   4.0309415669701885E-008   9.5827298776607836E-007
   4.6530049616547598E-003   4.2675955043396370E-008   9.6504317328848723E-007
   5.1180286580009837E-003   4.4909475358778518E-008   9.6831548418520159E-007
   5.6051963398875025E-003   4.7001949255245325E-008   9.6839091436330322E-007
   6.1145080073143170E-003   4.8948355516595336E-008   9.6557852535765526E-007
   6.6459636602814297E-003   5.0746344273194166E-008   9.6018746506162407E-007
   7.1995632987888348E-003   5.2395801638780515E-008   9.5251903619560088E-007
   7.7753069228365399E-003   5.3898320022359612E-008   9.4285891054097329E-007
   8.3731945324245390E-003   5.5256582963498365E-008   9.3146960099315984E-007
   8.9932261275528381E-003   5.6473668621638592E-008   9.1858319529704292E-007
   9.6354017082214312E-003   5.7552278676191485E-008   9.0439439554855725E-007
   1.0299721274430318E-002   5.8493898991258506E-008   8.8905388985923595E-007
   1.0986184826179505E-002   5.9297898654345538E-008   8.7266207963698445E-007
   1.1694792363468985E-002   5.9960575592476965E-008   8.5526320290023172E-007
   1.2425543886298764E-002   6.0474160536612605E-008   8.3683993375767573E-007
   1.3178439394668836E-002   6.0826089109583151E-008   8.1731252385100701E-007
   1.3953478888579209E-002   6.1009889436613333E-008   7.9668976870878687E-007
   1.4750662368029877E-002   6.1032551794019710E-008   7.7515047746148307E-007
   1.5569989833020839E-002   6.0903084507158939E-008   7.5287933323554252E-007
   1.6411461283552097E-002   6.0631400751256474E-008   7.3005272644859854E-007
   1.7275076719623653E-002   6.0228086647946703E-008   7.0683708289945010E-007
   1.8160836141235506E-002   5.9704167214552347E-008   6.8338741497037944E-007
   1.9068739548387656E-002   5.9070862476198729E-008   6.5984597240899295E-007
   1.9998786941080097E-002   5.8339349937201960E-008   6.3634115295221024E-007
   2.0950978319312842E-002   5.7520523928365461E-008   6.1298652991609498E-007
   2.1925313683085874E-002   5.6624758559608557E-008   5.8988004845518418E-007
   2.2921793032399211E-002   5.5661684958781221E-008   5.6710347336296552E-007
   2.3940416367252845E-002   5.4639977546724107E-008   5.4472199820889348E-007
   2.4981183687646766E-002   5.3567121889712464E-008   5.2278372405363173E-007
   2.6044094993580992E-002   5.2449224856403170E-008   5.0131960700756966E-007
   2.7129150285055512E-002   5.1290849754408843E-008   4.8034364608244756E-007
   2.8236349562070325E-002   5.0094816592816741E-008   4.5985272859246225E-007
   2.9365692824625436E-002   4.8862122159212869E-008   4.3982757206534321E-007
   3.0517180072720848E-002   4.7596338025528567E-008   4.2027309837650160E-007
   3.1690811306356551E-002   4.6306578739806296E-008   4.0124189074635904E-007
   3.2886586525532543E-002   4.5001893631996425E-008   3.8278211833709629E-007
   3.4104505730248841E-002   4.3690661904117381E-008   3.6493288131435774E-007
   3.5344568920505443E-002   4.2380508229088798E-008   3.4772432091717457E-007
   3.6606776096302328E-002   4.1078229770137803E-008   3.3117781011641613E-007
   3.7891127257639504E-002   3.9789733597066912E-008   3.1530620710648818E-007
   3.9197622404517005E-002   3.8519959215668657E-008   3.0011396724945030E-007
   4.0526261536934775E-002   3.7272804104205205E-008   2.8559726695842260E-007
   4.1877044654892844E-002   3.6051062022743665E-008   2.7174421177351102E-007
   4.3249971758391223E-002   3.4856387858568780E-008   2.5853522128463612E-007
   4.4645042847429886E-002   3.3689274173511033E-008   2.4594346311176828E-007
   4.6062257922008847E-002   3.2549044055421898E-008   2.3393536369551088E-007
   4.7501616982128098E-002   3.1433833772585473E-008   2.2247100012862442E-007
   4.8963120027787667E-002   3.0340581852631765E-008   2.1150450141959554E-007
   5.0446767058987520E-002   2.9265046195174022E-008   2.0098460661654501E-007
   5.1952558075727663E-002   2.8201878667770942E-008   1.9085556306144438E-007
   5.3480493078008118E-002   2.7148591374043115E-008   1.8108390495191641E-007
   5.5030572065828856E-002   2.6108717923514674E-008   1.7167765961697553E-007
   5.6602795039189878E-002   2.5086083869967056E-008   1.6264629813272118E-007
   5.8197161998091239E-002   2.4084175022198158E-008   1.5399659667010263E-007
   5.9813672942532863E-002   2.3106140216138727E-008   1.4573283730582714E-007
   6.1452327872514777E-002   2.2154767754505772E-008   1.3785682880826917E-007
   6.3113126788036988E-002   2.1232446122287957E-008   1.3036782922467589E-007
   6.4796069689099525E-002   2.0341176349971812E-008   1.2326278751323537E-007
   6.6501156575702339E-002   1.9482580176996218E-008   1.1653654134689110E-007
   6.8228387447845443E-002   1.8657897760001818E-008   1.1018193805645537E-007
   6.9977762305528865E-002   1.7867974013032336E-008   1.0418988015775603E-007
   7.1749281148752564E-002   1.7113262782504138E-008   9.8549470189830554E-008
   7.3542943977516553E-002   1.6393882327865275E-008   9.3248436717053633E-008
   7.5358750791820847E-002   1.5709647112077308E-008   8.8273396232845631E-008
   7.7196701591665459E-002   1.5060080539269382E-008   8.3609990467177828E-008
   7.9056796377050348E-002   1.4444435523742047E-008   7.9243056907696463E-008
   8.0939035147975513E-002   1.3861730897191289E-008   7.5156873227645867E-008
   8.2843417904441011E-002   1.3311652162958030E-008   7.1340016981514483E-008
   8.4769944646446785E-002   1.2795422280125008E-008   6.7789733283508927E-008
   8.6718615373992863E-002   1.2314374840854994E-008   6.4503971269983474E-008
   8.8689430087079246E-002   1.1869776900767018E-008   6.1480427104830630E-008
   9.0682388785705906E-002   1.1462772352579545E-008   5.8716267896157798E-008
   9.2697491469872870E-002   1.1094319179793209E-008   5.6207842710850357E-008
   9.4734738139580110E-002   1.0765071007347399E-008   5.3950133173350530E-008
   9.6794128794827683E-002   1.0475142058076396E-008   5.1935661247119643E-008
   9.8875663435615532E-002   1.0223703355961874E-008   5.0152638540148824E-008
  0.10097934206194367        1.0008280246809432E-008   4.8581782031802310E-008
  0.10310516467381214        9.8236294607154293E-009   4.7191307964579174E-008
