 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   3.8707514758496356E-011   3.5887453162355150E-008
   2.4911983732833341E-005   3.4760930047373423E-010   1.0742799830457502E-007
   6.9199954813425955E-005   9.6137518458303107E-010   1.7826671189527081E-007
   1.3563191143431489E-004   1.8719631137298366E-009   2.4794000037307231E-007
   2.2420785359550006E-004   3.0673969862310239E-009   3.1599108327193545E-007
   3.3492778129698159E-004   4.5318808053074916E-009   3.8197342100006977E-007
   4.6779169453875936E-004   6.2459651829599576E-009   4.4545471210018695E-007
   6.2279959332083360E-004   8.1867707242578958E-009   5.0602120845841790E-007
   7.9995147764320388E-004   1.0328287949611526E-008   5.6328315870444508E-007
   9.9924734750587085E-004   1.2641775349334762E-008   6.1688160224302311E-007
   1.2206872029088339E-003   1.5096268579576558E-008   6.6649618784322557E-007
   1.4642710438520930E-003   1.7659214832623833E-008   7.1185395882068913E-007
   1.7299988703356488E-003   2.0297245011021164E-008   7.5273903189352175E-007
   2.0178706823595007E-003   2.2977091105485712E-008   7.8900296043101814E-007
   2.3278864799236489E-003   2.5666656444807421E-008   8.2057569685447928E-007
   2.6600462630280929E-003   2.8336235801784330E-008   8.4747679340463593E-007
   3.0143500316728348E-003   3.0959883475004297E-008   8.6982668732601594E-007
   3.3907977858578715E-003   3.3516816379278447E-008   8.8785504421876392E-007
   3.7893895255832052E-003   3.5989326721119055E-008   9.0181893277730853E-007
   4.2101252508488342E-003   3.8360477439899822E-008   9.1194101223591150E-007
   4.6530049616547598E-003   4.0616359731890309E-008   9.1846897493522843E-007
   5.1180286580009837E-003   4.2746247498336052E-008   9.2167305480135848E-007
   5.6051963398875025E-003   4.4742484026198332E-008   9.2183868336439997E-007
   6.1145080073143170E-003   4.6600264730256391E-008   9.1925897049313343E-007
   6.6459636602814297E-003   4.8317319799684435E-008   9.1422713264366979E-007
   7.1995632987888348E-003   4.9893501358548715E-008   9.0702896682648858E-007
   7.7753069228365399E-003   5.1330281014739780E-008   8.9793546097989822E-007
   8.3731945324245390E-003   5.2630166169550362E-008   8.8719564716006534E-007
   8.9932261275528381E-003   5.3796038903538621E-008   8.7502969997245983E-007
   9.6354017082214312E-003   5.4830423782310585E-008   8.6162232173767889E-007
   1.0299721274430318E-002   5.5734690535326109E-008   8.4711643906550808E-007
   1.0986184826179505E-002   5.6508197802344169E-008   8.3160723279893088E-007
   1.1694792363468985E-002   5.7147385664419786E-008   8.1513653959750765E-007
   1.2425543886298764E-002   5.7644828082276793E-008   7.9768770142149711E-007
   1.3178439394668836E-002   5.7988539576529580E-008   7.7918472697368191E-007
   1.3953478888579209E-002   5.8172320352679025E-008   7.5963573897605707E-007
   1.4750662368029877E-002   5.8202763709604633E-008   7.3921045004542315E-007
   1.5569989833020839E-002   5.8088384393675212E-008   7.1808422290827269E-007
   1.6411461283552097E-002   5.7838561329746427E-008   6.9642460621810423E-007
   1.7275076719623653E-002   5.7463317520376585E-008   6.7438974057484145E-007
   1.8160836141235506E-002   5.6973097857010927E-008   6.5212697678943904E-007
   1.9068739548387656E-002   5.6378537438978530E-008   6.2977158788580349E-007
   1.9998786941080097E-002   5.5690235550366291E-008   6.0744572465148571E-007
   2.0950978319312842E-002   5.4918527157821272E-008   5.8525748883129675E-007
   2.1925313683085874E-002   5.4073256911459894E-008   5.6330015735933023E-007
   2.2921793032399211E-002   5.3163566919279662E-008   5.4165164922000059E-007
   2.3940416367252845E-002   5.2197693864872474E-008   5.2037415424732587E-007
   2.4981183687646766E-002   5.1182746467716235E-008   4.9951361696780512E-007
   2.6044094993580992E-002   5.0124524726535907E-008   4.7909968366825988E-007
   2.7129150285055512E-002   4.9027363306837665E-008   4.5914588199215597E-007
   2.8236349562070325E-002   4.7893939638844493E-008   4.3964945525169248E-007
   2.9365692824625436E-002   4.6725197046015227E-008   4.2059225147978482E-007
   3.0517180072720848E-002   4.5524534572166801E-008   4.0197918559471434E-007
   3.1690811306356551E-002   4.4300636108529177E-008   3.8386059772048341E-007
   3.2886586525532543E-002   4.3062127487798488E-008   3.6628263945235123E-007
   3.4104505730248841E-002   4.1816999724697130E-008   3.4928283373105176E-007
   3.5344568920505443E-002   4.0572528126187478E-008   3.3289017475463241E-007
   3.6606776096302328E-002   3.9335202618934591E-008   3.1712530789957102E-007
   3.7891127257639504E-002   3.8110667872283766E-008   3.0200076881114592E-007
   3.9197622404517005E-002   3.6903647844365496E-008   2.8752107702243061E-007
   4.0526261536934775E-002   3.5717872439691198E-008   2.7368283646774188E-007
   4.1877044654892844E-002   3.4556016675157614E-008   2.6047492047526522E-007
   4.3249971758391223E-002   3.3419666557684259E-008   2.4787883712470324E-007
   4.4645042847429886E-002   3.2309296311506422E-008   2.3586914293938989E-007
   4.6062257922008847E-002   3.1224261517749229E-008   2.2441393245961276E-007
   4.7501616982128098E-002   3.0162781749700150E-008   2.1347520862598483E-007
   4.8963120027787667E-002   2.9121929016027238E-008   2.0300926023201564E-007
   5.0446767058987520E-002   2.8097644131203882E-008   1.9296719762201990E-007
   5.1952558075727663E-002   2.7084807362112093E-008   1.8329580877936718E-007
   5.3480493078008118E-002   2.6081029854597054E-008   1.7396315949392090E-007
   5.5030572065828856E-002   2.5089681387253106E-008   1.6497699326782434E-007
   5.6602795039189878E-002   2.4114414326235560E-008   1.5634645256434051E-007
   5.8197161998091239E-002   2.3158560027828382E-008   1.4807812286610551E-007
   5.9813672942532863E-002   2.2225132437167129E-008   1.4017622931691000E-007
   6.1452327872514777E-002   2.1316804717830362E-008   1.3264264971261491E-007
   6.3113126788036988E-002   2.0435869778645165E-008   1.2547682758810846E-007
   6.4796069689099525E-002   1.9584252590437236E-008   1.1867600595596526E-007
   6.6501156575702339E-002   1.8763517775847749E-008   1.1223541467469727E-007
   6.8228387447845443E-002   1.7974866509603871E-008   1.0614838037005273E-007
   6.9977762305528865E-002   1.7219121947853481E-008   1.0040636117223538E-007
   7.1749281148752564E-002   1.6496732553277927E-008   9.4999081919723758E-008
   7.3542943977516553E-002   1.5807827117924178E-008   8.9914953466170257E-008
   7.5358750791820847E-002   1.5152245180475045E-008   8.5141323232208128E-008
