 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.8990988E-09  0.8311821E-06
  0.2505679E-04  0.8072256E-08  0.2487496E-05
  0.6960220E-04  0.2231407E-07  0.4125700E-05
  0.1364203E-03  0.4341656E-07  0.5733848E-05
  0.2255111E-03  0.7107037E-07  0.7300202E-05
  0.3368746E-03  0.1048682E-06  0.8813327E-05
  0.4705109E-03  0.1443097E-06  0.1026221E-04
  0.6264198E-03  0.1888081E-06  0.1163638E-04
  0.8046014E-03  0.2376992E-06  0.1292610E-04
  0.1005056E-02  0.2902527E-06  0.1412249E-04
  0.1227783E-02  0.3456864E-06  0.1521780E-04
  0.1472783E-02  0.4031837E-06  0.1620555E-04
  0.1740055E-02  0.4619145E-06  0.1708088E-04
  0.2029600E-02  0.5210596E-06  0.1784072E-04
  0.2341418E-02  0.5798386E-06  0.1848408E-04
  0.2675509E-02  0.6375415E-06  0.1901234E-04
  0.3031872E-02  0.6935629E-06  0.1942946E-04
  0.3410508E-02  0.7474366E-06  0.1974218E-04
  0.3811416E-02  0.7987811E-06  0.1995790E-04
  0.4234598E-02  0.8472395E-06  0.2008308E-04
  0.4680052E-02  0.8925365E-06  0.2012477E-04
  0.5147779E-02  0.9344800E-06  0.2009048E-04
  0.5637778E-02  0.9729569E-06  0.1998802E-04
  0.6150050E-02  0.1007926E-05  0.1982529E-04
  0.6684595E-02  0.1039407E-05  0.1961004E-04
  0.7241413E-02  0.1067471E-05  0.1934972E-04
  0.7820503E-02  0.1092223E-05  0.1905128E-04
  0.8421866E-02  0.1113789E-05  0.1872099E-04
  0.9045502E-02  0.1132296E-05  0.1836428E-04
  0.9691410E-02  0.1147856E-05  0.1798557E-04
  0.1035959E-01  0.1160545E-05  0.1758819E-04
  0.1105005E-01  0.1170381E-05  0.1717416E-04
  0.1176277E-01  0.1177305E-05  0.1674420E-04
  0.1249777E-01  0.1181157E-05  0.1629752E-04
  0.1325504E-01  0.1181664E-05  0.1583192E-04
  0.1403459E-01  0.1178701E-05  0.1534737E-04
  0.1483640E-01  0.1172463E-05  0.1484790E-04
  0.1566049E-01  0.1163187E-05  0.1433762E-04
  0.1650686E-01  0.1151127E-05  0.1382042E-04
  0.1737549E-01  0.1136547E-05  0.1329992E-04
  0.1826640E-01  0.1119717E-05  0.1277945E-04
  0.1917958E-01  0.1100908E-05  0.1226201E-04
  0.2011504E-01  0.1080384E-05  0.1175028E-04
  0.2107276E-01  0.1058403E-05  0.1124659E-04
  0.2205276E-01  0.1035207E-05  0.1075291E-04
  0.2305503E-01  0.1011020E-05  0.1027087E-04
  0.2407958E-01  0.9860454E-06  0.9801730E-05
  0.2512639E-01  0.9604594E-06  0.9346396E-05
  0.2619548E-01  0.9344117E-06  0.8905438E-05
  0.2728685E-01  0.9080212E-06  0.8479096E-05
  0.2840048E-01  0.8813744E-06  0.8067293E-05
  0.2953639E-01  0.8545257E-06  0.7669670E-05
  0.3069457E-01  0.8275712E-06  0.7286263E-05
  0.3187502E-01  0.8006947E-06  0.6917863E-05
  0.3307775E-01  0.7740722E-06  0.6565137E-05
  0.3430275E-01  0.7478618E-06  0.6228553E-05
  0.3555002E-01  0.7222028E-06  0.5908394E-05
  0.3681956E-01  0.6972146E-06  0.5604765E-05
  0.3811138E-01  0.6729966E-06  0.5317602E-05
