 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.3603903E-06  0.1467696E-05
  0.1460004E+00  0.3571546E-06  0.1441815E-05
  0.1485617E+00  0.3543148E-06  0.1417967E-05
  0.1511454E+00  0.3518876E-06  0.1396165E-05
  0.1537513E+00  0.3498894E-06  0.1376422E-05
  0.1563794E+00  0.3483376E-06  0.1358754E-05
  0.1590299E+00  0.3472517E-06  0.1343183E-05
  0.1617026E+00  0.3466536E-06  0.1329742E-05
  0.1643976E+00  0.3465671E-06  0.1318469E-05
  0.1671149E+00  0.3470200E-06  0.1309415E-05
  0.1698544E+00  0.3480450E-06  0.1302648E-05
  0.1726162E+00  0.3496793E-06  0.1298253E-05
  0.1754003E+00  0.3519650E-06  0.1296327E-05
  0.1782067E+00  0.3549472E-06  0.1296976E-05
  0.1810353E+00  0.3586756E-06  0.1300321E-05
  0.1838862E+00  0.3632027E-06  0.1306486E-05
  0.1867594E+00  0.3685840E-06  0.1315605E-05
  0.1896549E+00  0.3748790E-06  0.1327821E-05
  0.1925726E+00  0.3821531E-06  0.1343292E-05
  0.1955126E+00  0.3904797E-06  0.1362202E-05
  0.1984748E+00  0.3999410E-06  0.1384757E-05
  0.2014594E+00  0.4106278E-06  0.1411188E-05
  0.2044662E+00  0.4226405E-06  0.1441752E-05
  0.2074953E+00  0.4360892E-06  0.1476731E-05
  0.2105467E+00  0.4510958E-06  0.1516439E-05
  0.2136203E+00  0.4677948E-06  0.1561221E-05
  0.2167162E+00  0.4863321E-06  0.1611453E-05
  0.2198344E+00  0.5068626E-06  0.1667526E-05
  0.2229748E+00  0.5295515E-06  0.1729858E-05
  0.2261375E+00  0.5545684E-06  0.1798867E-05
  0.2293225E+00  0.5820929E-06  0.1874991E-05
  0.2325298E+00  0.6123230E-06  0.1958716E-05
  0.2357594E+00  0.6454700E-06  0.2050557E-05
  0.2390112E+00  0.6817594E-06  0.2151059E-05
  0.2422853E+00  0.7214262E-06  0.2260782E-05
  0.2455816E+00  0.7647065E-06  0.2380275E-05
  0.2489003E+00  0.8118294E-06  0.2510050E-05
  0.2522412E+00  0.8630158E-06  0.2650581E-05
  0.2556043E+00  0.9184678E-06  0.2802271E-05
  0.2589898E+00  0.9783581E-06  0.2965424E-05
  0.2623975E+00  0.1042816E-05  0.3140204E-05
  0.2658275E+00  0.1111923E-05  0.3326633E-05
  0.2692798E+00  0.1185730E-05  0.3524635E-05
  0.2727543E+00  0.1264316E-05  0.3734222E-05
  0.2762511E+00  0.1347772E-05  0.3955438E-05
  0.2797702E+00  0.1436149E-05  0.4188215E-05
  0.2833116E+00  0.1529411E-05  0.4432231E-05
  0.2868752E+00  0.1627406E-05  0.4686834E-05
  0.2904611E+00  0.1729801E-05  0.4950880E-05
  0.2940693E+00  0.1836055E-05  0.5222653E-05
  0.2976997E+00  0.1945339E-05  0.5499665E-05
  0.3013525E+00  0.2056554E-05  0.5778739E-05
  0.3050275E+00  0.2168269E-05  0.6055834E-05
  0.3087247E+00  0.2278668E-05  0.6325947E-05
  0.3124443E+00  0.2385640E-05  0.6583381E-05
  0.3161861E+00  0.2486884E-05  0.6822043E-05
  0.3199502E+00  0.2579985E-05  0.7035683E-05
  0.3237365E+00  0.2662519E-05  0.7218169E-05
  0.3275452E+00  0.2732168E-05  0.7363802E-05
  0.3313761E+00  0.2786868E-05  0.7467687E-05
  0.3352293E+00  0.2824862E-05  0.7525868E-05
  0.3391047E+00  0.2844785E-05  0.7535513E-05
  0.3430024E+00  0.2845752E-05  0.7495122E-05
  0.3469224E+00  0.2827448E-05  0.7404721E-05
  0.3508647E+00  0.2790225E-05  0.7266071E-05
  0.3548292E+00  0.2735186E-05  0.7082839E-05
  0.3588160E+00  0.2664201E-05  0.6860586E-05
  0.3628251E+00  0.2579817E-05  0.6606487E-05
  0.3668565E+00  0.2484983E-05  0.6328568E-05
  0.3709101E+00  0.2382589E-05  0.6034552E-05
  0.3749860E+00  0.2275274E-05  0.5731344E-05
  0.3790842E+00  0.2165234E-05  0.5424595E-05
  0.3832047E+00  0.2054072E-05  0.5118355E-05
  0.3873474E+00  0.1942771E-05  0.4815059E-05
  0.3915124E+00  0.1831916E-05  0.4516096E-05
  0.3956996E+00  0.1722390E-05  0.4223562E-05
  0.3999092E+00  0.1616154E-05  0.3942142E-05
  0.4041410E+00  0.1515253E-05  0.3676622E-05
  0.4083951E+00  0.1421507E-05  0.3431145E-05
  0.4126714E+00  0.1336680E-05  0.3209635E-05
  0.4169701E+00  0.1262938E-05  0.3016892E-05
  0.4212910E+00  0.1203562E-05  0.2860273E-05
  0.4256342E+00  0.1163390E-05  0.2750663E-05
  0.4299996E+00  0.1143305E-05  0.2689419E-05
  0.4343873E+00  0.1132838E-05  0.2651304E-05
  0.4387973E+00  0.1119555E-05  0.2607017E-05
  0.4432296E+00  0.1115122E-05  0.2583677E-05
