 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.6010424E-06  0.2447755E-05
  0.1460004E+00  0.6224088E-06  0.2512633E-05
  0.1485617E+00  0.6449468E-06  0.2581075E-05
  0.1511454E+00  0.6687296E-06  0.2653282E-05
  0.1537513E+00  0.6938375E-06  0.2729472E-05
  0.1563794E+00  0.7203561E-06  0.2809879E-05
  0.1590299E+00  0.7483765E-06  0.2894750E-05
  0.1617026E+00  0.7779981E-06  0.2984354E-05
  0.1643976E+00  0.8093343E-06  0.3079006E-05
  0.1671149E+00  0.8425083E-06  0.3179046E-05
  0.1698544E+00  0.8776499E-06  0.3284832E-05
  0.1726162E+00  0.9148978E-06  0.3396738E-05
  0.1754003E+00  0.9543960E-06  0.3515148E-05
  0.1782067E+00  0.9962924E-06  0.3640450E-05
  0.1810353E+00  0.1040742E-05  0.3773044E-05
  0.1838862E+00  0.1087907E-05  0.3913339E-05
  0.1867594E+00  0.1137952E-05  0.4061748E-05
  0.1896549E+00  0.1191053E-05  0.4218708E-05
  0.1925726E+00  0.1247412E-05  0.4384733E-05
  0.1955126E+00  0.1307258E-05  0.4560413E-05
  0.1984748E+00  0.1370842E-05  0.4746406E-05
  0.2014594E+00  0.1438435E-05  0.4943410E-05
  0.2044662E+00  0.1510333E-05  0.5152193E-05
  0.2074953E+00  0.1586845E-05  0.5373542E-05
  0.2105467E+00  0.1668313E-05  0.5608330E-05
  0.2136203E+00  0.1755095E-05  0.5857464E-05
  0.2167162E+00  0.1847549E-05  0.6121820E-05
  0.2198344E+00  0.1946053E-05  0.6402315E-05
  0.2229748E+00  0.2050991E-05  0.6699867E-05
  0.2261375E+00  0.2162736E-05  0.7015320E-05
  0.2293225E+00  0.2281656E-05  0.7349487E-05
  0.2325298E+00  0.2408160E-05  0.7703289E-05
  0.2357594E+00  0.2542683E-05  0.8077705E-05
  0.2390112E+00  0.2685656E-05  0.8473670E-05
  0.2422853E+00  0.2837499E-05  0.8892061E-05
  0.2455816E+00  0.2998588E-05  0.9333600E-05
  0.2489003E+00  0.3169289E-05  0.9798946E-05
  0.2522412E+00  0.3349917E-05  0.1028860E-04
  0.2556043E+00  0.3540688E-05  0.1080274E-04
  0.2589898E+00  0.3741732E-05  0.1134127E-04
  0.2623975E+00  0.3953049E-05  0.1190372E-04
  0.2658275E+00  0.4174463E-05  0.1248909E-04
  0.2692798E+00  0.4405730E-05  0.1309623E-04
  0.2727543E+00  0.4646686E-05  0.1372422E-04
  0.2762511E+00  0.4897134E-05  0.1437210E-04
  0.2797702E+00  0.5156742E-05  0.1503851E-04
  0.2833116E+00  0.5424878E-05  0.1572128E-04
  0.2868752E+00  0.5700609E-05  0.1641742E-04
  0.2904611E+00  0.5982601E-05  0.1712286E-04
  0.2940693E+00  0.6268937E-05  0.1783197E-04
  0.2976997E+00  0.6557161E-05  0.1853774E-04
  0.3013525E+00  0.6844261E-05  0.1923178E-04
  0.3050275E+00  0.7126473E-05  0.1990377E-04
  0.3087247E+00  0.7399240E-05  0.2054148E-04
  0.3124443E+00  0.7657360E-05  0.2113114E-04
  0.3161861E+00  0.7895255E-05  0.2165833E-04
  0.3199502E+00  0.8107187E-05  0.2210850E-04
  0.3237365E+00  0.8287448E-05  0.2246752E-04
  0.3275452E+00  0.8430561E-05  0.2272224E-04
  0.3313761E+00  0.8531525E-05  0.2286106E-04
  0.3352293E+00  0.8585995E-05  0.2287441E-04
  0.3391047E+00  0.8590487E-05  0.2275523E-04
  0.3430024E+00  0.8542578E-05  0.2249938E-04
  0.3469224E+00  0.8441108E-05  0.2210617E-04
  0.3508647E+00  0.8286371E-05  0.2157868E-04
  0.3548292E+00  0.8080272E-05  0.2092409E-04
  0.3588160E+00  0.7826425E-05  0.2015384E-04
  0.3628251E+00  0.7529977E-05  0.1928303E-04
  0.3668565E+00  0.7197138E-05  0.1832913E-04
  0.3709101E+00  0.6834484E-05  0.1731018E-04
  0.3749860E+00  0.6448572E-05  0.1624375E-04
  0.3790842E+00  0.6045448E-05  0.1514575E-04
  0.3832047E+00  0.5630445E-05  0.1403000E-04
  0.3873474E+00  0.5208107E-05  0.1290803E-04
  0.3915124E+00  0.4782408E-05  0.1178974E-04
  0.3956996E+00  0.4357702E-05  0.1068575E-04
  0.3999092E+00  0.3939066E-05  0.9608218E-05
  0.4041410E+00  0.3530783E-05  0.8567120E-05
  0.4083951E+00  0.3135789E-05  0.7568971E-05
  0.4126714E+00  0.2755704E-05  0.6616991E-05
  0.4169701E+00  0.2391378E-05  0.5712499E-05
  0.4212910E+00  0.2043481E-05  0.4856347E-05
  0.4256342E+00  0.1711336E-05  0.4046200E-05
  0.4299996E+00  0.1391831E-05  0.3274030E-05
  0.4343873E+00  0.1079248E-05  0.2525880E-05
  0.4387973E+00  0.7630260E-06  0.1776796E-05
  0.4432296E+00  0.3993787E-06  0.9253387E-06
