 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.6326932E-06  0.2576654E-05
  0.1460004E+00  0.6323532E-06  0.2552778E-05
  0.1485617E+00  0.6317914E-06  0.2528427E-05
  0.1511454E+00  0.6310061E-06  0.2503608E-05
  0.1537513E+00  0.6299967E-06  0.2478330E-05
  0.1563794E+00  0.6287659E-06  0.2452615E-05
  0.1590299E+00  0.6273231E-06  0.2426511E-05
  0.1617026E+00  0.6256772E-06  0.2400060E-05
  0.1643976E+00  0.6238234E-06  0.2373254E-05
  0.1671149E+00  0.6217570E-06  0.2346083E-05
  0.1698544E+00  0.6194766E-06  0.2318551E-05
  0.1726162E+00  0.6169844E-06  0.2290676E-05
  0.1754003E+00  0.6142855E-06  0.2262483E-05
  0.1782067E+00  0.6113859E-06  0.2234002E-05
  0.1810353E+00  0.6082936E-06  0.2205270E-05
  0.1838862E+00  0.6050167E-06  0.2176321E-05
  0.1867594E+00  0.6015627E-06  0.2147187E-05
  0.1896549E+00  0.5979372E-06  0.2117892E-05
  0.1925726E+00  0.5941401E-06  0.2088439E-05
  0.1955126E+00  0.5901676E-06  0.2058819E-05
  0.1984748E+00  0.5860099E-06  0.2029002E-05
  0.2014594E+00  0.5816512E-06  0.1998937E-05
  0.2044662E+00  0.5770700E-06  0.1968557E-05
  0.2074953E+00  0.5722394E-06  0.1937778E-05
  0.2105467E+00  0.5671321E-06  0.1906516E-05
  0.2136203E+00  0.5617273E-06  0.1874712E-05
  0.2167162E+00  0.5560068E-06  0.1842318E-05
  0.2198344E+00  0.5499558E-06  0.1809299E-05
  0.2229748E+00  0.5435619E-06  0.1775625E-05
  0.2261375E+00  0.5368165E-06  0.1741285E-05
  0.2293225E+00  0.5297162E-06  0.1706279E-05
  0.2325298E+00  0.5222675E-06  0.1670644E-05
  0.2357594E+00  0.5144860E-06  0.1634441E-05
  0.2390112E+00  0.5063943E-06  0.1597754E-05
  0.2422853E+00  0.4980209E-06  0.1560682E-05
  0.2455816E+00  0.4893999E-06  0.1523338E-05
  0.2489003E+00  0.4805704E-06  0.1485849E-05
  0.2522412E+00  0.4715758E-06  0.1448351E-05
  0.2556043E+00  0.4624632E-06  0.1410988E-05
  0.2589898E+00  0.4532839E-06  0.1373913E-05
  0.2623975E+00  0.4440923E-06  0.1337284E-05
  0.2658275E+00  0.4349380E-06  0.1301241E-05
  0.2692798E+00  0.4258331E-06  0.1265808E-05
  0.2727543E+00  0.4167733E-06  0.1230961E-05
  0.2762511E+00  0.4077498E-06  0.1196663E-05
  0.2797702E+00  0.3987526E-06  0.1162875E-05
  0.2833116E+00  0.3897760E-06  0.1129570E-05
  0.2868752E+00  0.3808211E-06  0.1096743E-05
  0.2904611E+00  0.3718981E-06  0.1064413E-05
  0.2940693E+00  0.3630252E-06  0.1032624E-05
  0.2976997E+00  0.3542270E-06  0.1001435E-05
  0.3013525E+00  0.3455294E-06  0.9709076E-06
  0.3050275E+00  0.3369569E-06  0.9410986E-06
  0.3087247E+00  0.3285256E-06  0.9120396E-06
  0.3124443E+00  0.3202393E-06  0.8837279E-06
  0.3161861E+00  0.3120893E-06  0.8561262E-06
  0.3199502E+00  0.3040569E-06  0.8291706E-06
  0.3237365E+00  0.2961165E-06  0.8027809E-06
  0.3275452E+00  0.2882492E-06  0.7768957E-06
  0.3313761E+00  0.2804732E-06  0.7515554E-06
  0.3352293E+00  0.2728246E-06  0.7268468E-06
  0.3391047E+00  0.2653526E-06  0.7028890E-06
  0.3430024E+00  0.2581256E-06  0.6798494E-06
  0.3469224E+00  0.2512326E-06  0.6579457E-06
  0.3508647E+00  0.2447780E-06  0.6374303E-06
  0.3548292E+00  0.2388713E-06  0.6185639E-06
  0.3588160E+00  0.2336144E-06  0.6015808E-06
  0.3628251E+00  0.2290846E-06  0.5866478E-06
  0.3668565E+00  0.2253213E-06  0.5738314E-06
  0.3709101E+00  0.2223279E-06  0.5631055E-06
  0.3749860E+00  0.2200895E-06  0.5543986E-06
  0.3790842E+00  0.2186019E-06  0.5476666E-06
  0.3832047E+00  0.2179022E-06  0.5429709E-06
  0.3873474E+00  0.2180870E-06  0.5405175E-06
  0.3915124E+00  0.2192930E-06  0.5406077E-06
  0.3956996E+00  0.2216246E-06  0.5434571E-06
  0.3999092E+00  0.2251085E-06  0.5490875E-06
  0.4041410E+00  0.2297466E-06  0.5574589E-06
  0.4083951E+00  0.2355508E-06  0.5685577E-06
  0.4126714E+00  0.2426116E-06  0.5825585E-06
  0.4169701E+00  0.2512744E-06  0.6002416E-06
  0.4212910E+00  0.2624691E-06  0.6237599E-06
  0.4256342E+00  0.2781066E-06  0.6575417E-06
  0.4299996E+00  0.3020031E-06  0.7104076E-06
  0.4343873E+00  0.3424262E-06  0.8014171E-06
  0.4387973E+00  0.4223730E-06  0.9835453E-06
  0.4432296E+00  0.6608341E-06  0.1531117E-05
