    1      180.00      0.5670E-01     0.4935E-03
    2      178.81      0.5692E-01     0.4952E-03
    3      177.61      0.5756E-01     0.5001E-03
    4      176.42      0.5864E-01     0.5082E-03
    5      175.22      0.6013E-01     0.5196E-03
    6      174.03      0.6205E-01     0.5342E-03
    7      172.84      0.6439E-01     0.5519E-03
    8      171.65      0.6713E-01     0.5728E-03
    9      170.45      0.7028E-01     0.5967E-03
   10      169.26      0.7381E-01     0.6236E-03
   11      168.07      0.7773E-01     0.6534E-03
   12      166.88      0.8203E-01     0.6860E-03
   13      165.69      0.8668E-01     0.7214E-03
   14      164.51      0.9168E-01     0.7595E-03
   15      163.32      0.9701E-01     0.8001E-03
   16      162.13      0.1027E+00     0.8431E-03
   17      160.95      0.1086E+00     0.8885E-03
   18      159.77      0.1149E+00     0.9362E-03
   19      158.59      0.1214E+00     0.9859E-03
   20      157.41      0.1281E+00     0.1038E-02
   21      156.23      0.1351E+00     0.1091E-02
   22      155.05      0.1424E+00     0.1146E-02
   23      153.88      0.1498E+00     0.1203E-02
   24      152.70      0.1574E+00     0.1261E-02
   25      151.53      0.1651E+00     0.1321E-02
   26      150.36      0.1730E+00     0.1381E-02
   27      149.19      0.1810E+00     0.1443E-02
   28      148.03      0.1891E+00     0.1505E-02
   29      146.87      0.1973E+00     0.1568E-02
   30      145.70      0.2055E+00     0.1632E-02
   31      144.55      0.2138E+00     0.1696E-02
   32      143.39      0.2220E+00     0.1760E-02
   33      142.23      0.2303E+00     0.1824E-02
   34      141.08      0.2386E+00     0.1888E-02
   35      139.93      0.2468E+00     0.1952E-02
   36      138.78      0.2549E+00     0.2015E-02
   37      137.64      0.2629E+00     0.2078E-02
   38      136.50      0.2709E+00     0.2141E-02
   39      135.36      0.2787E+00     0.2202E-02
   40      134.22      0.2864E+00     0.2263E-02
   41      133.09      0.2939E+00     0.2322E-02
   42      131.95      0.3012E+00     0.2381E-02
   43      130.83      0.3084E+00     0.2438E-02
   44      129.70      0.3153E+00     0.2494E-02
   45      128.58      0.3221E+00     0.2548E-02
   46      127.46      0.3286E+00     0.2600E-02
   47      126.34      0.3348E+00     0.2651E-02
   48      125.22      0.3408E+00     0.2700E-02
   49      124.11      0.3465E+00     0.2748E-02
   50      123.00      0.3520E+00     0.2793E-02
   51      121.90      0.3571E+00     0.2836E-02
   52      120.80      0.3620E+00     0.2878E-02
   53      119.70      0.3665E+00     0.2917E-02
   54      118.60      0.3708E+00     0.2953E-02
   55      117.51      0.3747E+00     0.2988E-02
   56      116.42      0.3783E+00     0.3020E-02
   57      115.33      0.3816E+00     0.3050E-02
   58      114.25      0.3845E+00     0.3078E-02
   59      113.16      0.3871E+00     0.3103E-02
   60      112.09      0.3894E+00     0.3126E-02
   61      111.01      0.3913E+00     0.3146E-02
   62      109.94      0.3929E+00     0.3164E-02
   63      108.87      0.3942E+00     0.3180E-02
   64      107.81      0.3951E+00     0.3193E-02
   65      106.75      0.3957E+00     0.3204E-02
   66      105.69      0.3960E+00     0.3212E-02
   67      104.63      0.3960E+00     0.3218E-02
   68      103.58      0.3956E+00     0.3222E-02
   69      102.53      0.3949E+00     0.3223E-02
   70      101.48      0.3940E+00     0.3222E-02
   71      100.44      0.3927E+00     0.3219E-02
   72       99.40      0.3911E+00     0.3214E-02
   73       98.36      0.3893E+00     0.3206E-02
   74       97.33      0.3871E+00     0.3196E-02
   75       96.30      0.3847E+00     0.3185E-02
   76       95.27      0.3821E+00     0.3171E-02
   77       94.25      0.3792E+00     0.3156E-02
   78       93.23      0.3760E+00     0.3138E-02
   79       92.21      0.3727E+00     0.3119E-02
   80       91.19      0.3691E+00     0.3098E-02
   81       90.18      0.3653E+00     0.3075E-02
   82       89.17      0.3613E+00     0.3051E-02
   83       88.17      0.3571E+00     0.3025E-02
   84       87.16      0.3527E+00     0.2998E-02
   85       86.16      0.3482E+00     0.2969E-02
   86       85.17      0.3435E+00     0.2939E-02
   87       84.17      0.3387E+00     0.2908E-02
   88       83.18      0.3337E+00     0.2876E-02
   89       82.20      0.3286E+00     0.2842E-02
   90       81.21      0.3235E+00     0.2807E-02
   91       80.23      0.3182E+00     0.2772E-02
   92       79.25      0.3128E+00     0.2735E-02
   93       78.27      0.3073E+00     0.2698E-02
   94       77.30      0.3018E+00     0.2660E-02
   95       76.33      0.2962E+00     0.2622E-02
   96       75.36      0.2906E+00     0.2582E-02
   97       74.39      0.2850E+00     0.2542E-02
   98       73.43      0.2793E+00     0.2502E-02
   99       72.47      0.2736E+00     0.2461E-02
  100       71.51      0.2679E+00     0.2420E-02
  101       70.56      0.2621E+00     0.2379E-02
  102       69.61      0.2564E+00     0.2338E-02
  103       68.66      0.2507E+00     0.2296E-02
  104       67.71      0.2451E+00     0.2254E-02
  105       66.77      0.2394E+00     0.2212E-02
  106       65.82      0.2338E+00     0.2170E-02
  107       64.88      0.2283E+00     0.2128E-02
  108       63.95      0.2228E+00     0.2086E-02
  109       63.01      0.2173E+00     0.2045E-02
  110       62.08      0.2119E+00     0.2003E-02
  111       61.15      0.2066E+00     0.1962E-02
  112       60.22      0.2014E+00     0.1921E-02
  113       59.30      0.1962E+00     0.1881E-02
  114       58.37      0.1911E+00     0.1840E-02
  115       57.45      0.1861E+00     0.1800E-02
  116       56.53      0.1812E+00     0.1761E-02
  117       55.62      0.1764E+00     0.1722E-02
  118       54.70      0.1717E+00     0.1683E-02
  119       53.79      0.1671E+00     0.1645E-02
  120       52.88      0.1625E+00     0.1608E-02
  121       51.97      0.1581E+00     0.1571E-02
