    1      180.00      0.5415E-01     0.2767E-03
    2      178.81      0.5433E-01     0.2781E-03
    3      177.61      0.5487E-01     0.2825E-03
    4      176.42      0.5576E-01     0.2897E-03
    5      175.22      0.5701E-01     0.2999E-03
    6      174.03      0.5860E-01     0.3129E-03
    7      172.84      0.6054E-01     0.3287E-03
    8      171.64      0.6283E-01     0.3473E-03
    9      170.45      0.6545E-01     0.3687E-03
   10      169.26      0.6840E-01     0.3927E-03
   11      168.07      0.7167E-01     0.4194E-03
   12      166.88      0.7526E-01     0.4486E-03
   13      165.69      0.7915E-01     0.4804E-03
   14      164.50      0.8334E-01     0.5145E-03
   15      163.32      0.8781E-01     0.5510E-03
   16      162.13      0.9255E-01     0.5897E-03
   17      160.95      0.9756E-01     0.6306E-03
   18      159.76      0.1028E+00     0.6736E-03
   19      158.58      0.1083E+00     0.7185E-03
   20      157.40      0.1140E+00     0.7652E-03
   21      156.22      0.1200E+00     0.8137E-03
   22      155.05      0.1261E+00     0.8638E-03
   23      153.87      0.1324E+00     0.9154E-03
   24      152.70      0.1389E+00     0.9684E-03
   25      151.53      0.1455E+00     0.1023E-02
   26      150.36      0.1522E+00     0.1078E-02
   27      149.19      0.1591E+00     0.1135E-02
   28      148.02      0.1661E+00     0.1192E-02
   29      146.86      0.1732E+00     0.1250E-02
   30      145.70      0.1803E+00     0.1309E-02
   31      144.54      0.1875E+00     0.1368E-02
   32      143.38      0.1947E+00     0.1427E-02
   33      142.23      0.2020E+00     0.1487E-02
   34      141.08      0.2092E+00     0.1547E-02
   35      139.93      0.2165E+00     0.1607E-02
   36      138.78      0.2237E+00     0.1667E-02
   37      137.63      0.2308E+00     0.1726E-02
   38      136.49      0.2380E+00     0.1785E-02
   39      135.35      0.2450E+00     0.1844E-02
   40      134.21      0.2519E+00     0.1902E-02
   41      133.08      0.2588E+00     0.1959E-02
   42      131.95      0.2655E+00     0.2015E-02
   43      130.82      0.2721E+00     0.2071E-02
   44      129.69      0.2786E+00     0.2125E-02
   45      128.57      0.2849E+00     0.2178E-02
   46      127.45      0.2910E+00     0.2230E-02
   47      126.33      0.2970E+00     0.2280E-02
   48      125.22      0.3028E+00     0.2329E-02
   49      124.11      0.3083E+00     0.2377E-02
   50      123.00      0.3137E+00     0.2423E-02
   51      121.89      0.3188E+00     0.2467E-02
   52      120.79      0.3237E+00     0.2509E-02
   53      119.69      0.3284E+00     0.2550E-02
   54      118.59      0.3328E+00     0.2588E-02
   55      117.50      0.3370E+00     0.2625E-02
   56      116.41      0.3409E+00     0.2660E-02
   57      115.32      0.3446E+00     0.2693E-02
   58      114.24      0.3480E+00     0.2723E-02
   59      113.16      0.3511E+00     0.2752E-02
   60      112.08      0.3540E+00     0.2778E-02
   61      111.00      0.3566E+00     0.2802E-02
   62      109.93      0.3589E+00     0.2824E-02
   63      108.86      0.3609E+00     0.2844E-02
   64      107.80      0.3626E+00     0.2862E-02
   65      106.74      0.3641E+00     0.2877E-02
   66      105.68      0.3653E+00     0.2891E-02
   67      104.62      0.3662E+00     0.2902E-02
   68      103.57      0.3669E+00     0.2910E-02
   69      102.52      0.3673E+00     0.2917E-02
   70      101.47      0.3674E+00     0.2922E-02
   71      100.43      0.3672E+00     0.2924E-02
   72       99.39      0.3668E+00     0.2924E-02
   73       98.35      0.3661E+00     0.2923E-02
   74       97.32      0.3652E+00     0.2919E-02
   75       96.29      0.3640E+00     0.2913E-02
   76       95.26      0.3626E+00     0.2905E-02
   77       94.24      0.3610E+00     0.2895E-02
   78       93.22      0.3591E+00     0.2884E-02
   79       92.20      0.3571E+00     0.2870E-02
   80       91.18      0.3548E+00     0.2855E-02
   81       90.17      0.3523E+00     0.2838E-02
   82       89.16      0.3496E+00     0.2820E-02
   83       88.16      0.3467E+00     0.2800E-02
   84       87.16      0.3436E+00     0.2778E-02
   85       86.16      0.3404E+00     0.2755E-02
   86       85.16      0.3370E+00     0.2730E-02
   87       84.16      0.3334E+00     0.2704E-02
   88       83.17      0.3297E+00     0.2677E-02
   89       82.19      0.3259E+00     0.2649E-02
   90       81.20      0.3219E+00     0.2619E-02
   91       80.22      0.3178E+00     0.2588E-02
   92       79.24      0.3136E+00     0.2556E-02
   93       78.26      0.3093E+00     0.2524E-02
   94       77.29      0.3049E+00     0.2490E-02
   95       76.32      0.3004E+00     0.2456E-02
   96       75.35      0.2958E+00     0.2420E-02
   97       74.38      0.2912E+00     0.2384E-02
   98       73.42      0.2865E+00     0.2348E-02
   99       72.46      0.2817E+00     0.2310E-02
  100       71.50      0.2769E+00     0.2273E-02
  101       70.55      0.2721E+00     0.2234E-02
  102       69.60      0.2672E+00     0.2196E-02
  103       68.65      0.2623E+00     0.2157E-02
  104       67.70      0.2574E+00     0.2117E-02
  105       66.76      0.2525E+00     0.2078E-02
  106       65.82      0.2476E+00     0.2038E-02
  107       64.88      0.2427E+00     0.1998E-02
  108       63.94      0.2378E+00     0.1958E-02
  109       63.00      0.2329E+00     0.1918E-02
  110       62.07      0.2281E+00     0.1878E-02
  111       61.14      0.2232E+00     0.1838E-02
  112       60.21      0.2184E+00     0.1799E-02
  113       59.29      0.2137E+00     0.1759E-02
  114       58.37      0.2090E+00     0.1719E-02
  115       57.45      0.2043E+00     0.1680E-02
  116       56.53      0.1997E+00     0.1641E-02
  117       55.61      0.1951E+00     0.1603E-02
  118       54.70      0.1906E+00     0.1564E-02
  119       53.78      0.1862E+00     0.1526E-02
  120       52.87      0.1818E+00     0.1489E-02
  121       51.97      0.1775E+00     0.1452E-02
