 p, p', V11, V12, V21, V22
   2.2482928370756174E-003   2.2482928370756174E-003 -0.98025314250552487        1.2696404230699090E-005   1.2696404230699090E-005   6.4414633254179412E-011
   2.2482928370756174E-003   1.1852434864195561E-002 -0.98009369049449790        3.5274655308868691E-004   1.2687761794846450E-005   1.7883173723116097E-009
   2.2482928370756174E-003   2.9156776530830330E-002 -0.97925933618653038        2.1313746395476246E-003   1.2642616133645013E-005   1.0783722205500761E-008
   2.2482928370756174E-003   5.4209255506995041E-002 -0.97681522913390051        7.3344975341949918E-003   1.2511111900165755E-005   3.6892018759932579E-008
   2.2482928370756174E-003   8.7073971531413774E-002 -0.97144192169259302        1.8735993502889233E-002   1.2225871403742615E-005   9.3030093053284923E-008
   2.2482928370756174E-003  0.12783410097898734      -0.96152520604899006        3.9640590928365332E-002   1.1713221388845662E-005   1.9215890713537431E-007
   2.2482928370756174E-003  0.17659204054679603      -0.94534392399625933        7.3356544472355747E-002   1.0914168196952169E-005   3.4179845162619954E-007
   2.2482928370756174E-003  0.23346925969581567      -0.92136674294466825       0.12237351318355763        9.8122107440685638E-006   5.3721127325620167E-007
   2.2482928370756174E-003  0.29860603402024699      -0.88860647090522471       0.18739898899943527        8.4558115525155322E-006   7.5700227446038232E-007
   2.2482928370756174E-003  0.37216106493238577      -0.84690577341623730       0.26661857354977198        6.9581621551439327E-006   9.6593890692334218E-007
   2.2482928370756174E-003  0.45431096283106803      -0.79700624974028600       0.35560655274566616        5.4663155733473345E-006   1.1262354589639000E-006
   2.2482928370756174E-003  0.54524956016774628      -0.74033884271732719       0.44806689485111967        4.1136105204857335E-006   1.2117199442183713E-006
   2.2482928370756174E-003  0.64518701272937085      -0.67862995077523802       0.53713663653847310        2.9829459631078699E-006   1.2161183543244941E-006
   2.2482928370756174E-003  0.75434863931936003      -0.61351992461464711       0.61668574409943622        2.0983700177832819E-006   1.1513441076374392E-006
   2.2482928370756174E-003  0.87297344116993048      -0.54635550957417567       0.68213688241030945        1.4403793295578062E-006   1.0391523204868769E-006
   2.2482928370756174E-003   1.0013122326554424      -0.47819185228846889       0.73067557528406812        9.6860497831577789E-007   9.0239746984910401E-007
   2.2482928370756174E-003   1.1396253041473725      -0.40993159643368632       0.76102160968569099        6.3938963305768882E-007   7.5969437854410352E-007
   2.2482928370756174E-003   1.2881795262052731      -0.34249548785437361       0.77302716458620369        4.1480399078877000E-007   6.2375545197494936E-007
   2.2482928370756174E-003   1.4472447918866254      -0.27694439319240860       0.76730341525761558        2.6521382758870456E-007   5.0195377497172503E-007
   2.2482928370756174E-003   1.6170896810666129      -0.21451598727309837       0.74496927214539610        1.6859758332580930E-007   3.9767037775955353E-007
   2.2482928370756174E-003   1.7979762177473531      -0.15657475246521191       0.70753342231400906        1.0884647858577113E-007   3.1161139424001832E-007
   2.2482928370756174E-003   1.9901535790969955      -0.10449512497954125       0.65687749108462012        7.4126141652398203E-008   2.4281655447443061E-007
   2.2482928370756174E-003   2.1938506043821571       -5.9507633074447175E-002  0.59529151316458551        5.5651157746732812E-008   1.8935740555113266E-007
   2.2482928370756174E-003   2.4092669444072921       -2.2540709434736544E-002  0.52550915979060542        4.6886070097126128E-008   1.4881224137684993E-007
   2.2482928370756174E-003   2.6365626893755616        5.9111940172014519E-003  0.45069282430661239        4.3067478057081581E-008   1.1860223433670984E-007
   2.2482928370756174E-003   2.8758463176059297        2.5868582658929665E-002  0.37432809669940031        4.0919348790641248E-008   9.6241406175179316E-008
   2.2482928370756174E-003   3.1271608222685270        3.7881701315527788E-002  0.30000675083385087        3.8448662085111135E-008   7.9521286959231679E-008
   2.2482928370756174E-003   3.3904679018907924        4.2975292182553131E-002  0.23110879965051292        3.4739745083715403E-008   6.6631136021383770E-008
   2.2482928370756174E-003   3.6656301471596073        4.2531328234285924E-002  0.17043307699935822        2.9705648183600369E-008   5.6209457739733216E-008
   2.2482928370756174E-003   3.9523912263882477        3.8127968492309518E-002  0.11985989833499730        2.3796902404311219E-008   4.7329698337466817E-008
   2.2482928370756174E-003   4.2503541701595280        3.1360035436553128E-002   8.0141486643011656E-002   1.7702060931111226E-008   3.9435591214419431E-008
   2.2482928370756174E-003   4.5589579872428647        2.3669190327075634E-002   5.0892674126495632E-002   1.2090292889791754E-008   3.2250922138770384E-008
   2.2482928370756174E-003   4.8774530132949403        1.6210206633392697E-002   3.0797006596599483E-002   7.4391662562875972E-009   2.5688317863261255E-008
   2.2482928370756174E-003   5.2048756037155552        9.7731728346309651E-003   1.7972266985513033E-002   3.9653909703396086E-009   1.9772213632305468E-008
   2.2482928370756174E-003   5.5400230318615318        4.7705179955398339E-003   1.0386965987871080E-002   1.6455813630135057E-009   1.4578960430427976E-008
   2.2482928370756174E-003   5.8814297383477552        1.2841364614177785E-003   6.2115010226655850E-003   2.9222353597409273E-010   1.0190005393713914E-008
   2.2482928370756174E-003   6.2273463843824359       -8.4503538359295824E-004   4.0269192172837859E-003  -3.5523444596949148E-010   6.6551910551532090E-009
   2.2482928370756174E-003   6.5757234713064090       -1.9106362312383014E-003   2.8773569703571815E-003  -5.5469117569823095E-010   3.9684265906276109E-009
   2.2482928370756174E-003   6.9242015687780931       -2.2434171592669765E-003   2.2061350967191289E-003  -5.1539399553218973E-010   2.0604583877113643E-009
   2.2482928370756174E-003   7.2701104035127910       -2.1408205763231471E-003   1.7382813248892266E-003  -3.8145868604776764E-010   8.0999298868833008E-010
   2.2482928370756174E-003   7.6104791474668696       -1.8300637625585767E-003   1.3636417334726928E-003  -2.3644310183478743E-010   6.7771342288113109E-011
   2.2482928370756174E-003   7.9420601509323410       -1.4604923225949873E-003   1.0500424021688589E-003  -1.1847472819301879E-010  -3.1625740457174644E-010
   2.2482928370756174E-003   8.2613680347895482       -1.1148782932066468E-003   7.9223171543440335E-004  -3.7407193554454219E-011  -4.7178227890966410E-010
   2.2482928370756174E-003   8.5647354405035649       -8.2859878632911721E-004   5.8863505649499651E-004   1.1026204052030614E-011  -4.9746376484773040E-010
   2.2482928370756174E-003   8.8483858134712552       -6.0853682246815035E-004   4.3442488910190683E-004   3.5840699643409998E-011  -4.6010009010577917E-010
   2.2482928370756174E-003   9.1085223801316051       -4.4757117751709067E-004   3.2173170409772095E-004   4.5829735599539410E-011  -4.0000096119355964E-010
   2.2482928370756174E-003   9.3414310374521659       -3.3378729213208967E-004   2.4169796889347337E-004   4.7671382489462664E-011  -3.3858750101386576E-010
   2.2482928370756174E-003   9.5435933289861286       -2.5534588418423649E-004   1.8616320363428791E-004   4.5730853110198282E-011  -2.8546161340235873E-010
   2.2482928370756174E-003   9.7118042216115583       -2.0248791964542584E-004   1.4849478875417376E-004   4.2551844667461480E-011  -2.4372258312145701E-010
