,order,cutoff,rate,spec,decay type,particle,type,force
185,N4LO+,3,1002356589674608.0,FULL,N-N-N,3H,DIRECT,3NF
186,N4LO,3,840223962223336.0,FULL,N-N-N,3H,DIRECT,3NF
187,N4LO+,4,56591941762294.016,1NC,N-N-N,3H,DIRECT,3NF
188,N2LO,1,2534007780342154.0,FULL,N-N-N,3H,DIRECT,3NF
189,N3LO,3,2202897198135482.0,PW,N-N-N,3H,DIRECT,3NF
190,N3LO,2,83853311521248.0,1NC,N-N-N,3H,DIRECT,3NF
191,N3LO,4,2164014824754262.0,PW,N-N-N,3H,DIRECT,3NF
192,N4LO+,4,1060860754791841.0,FULL,N-N-N,3H,DIRECT,3NF
193,N4LO+,2,1110205810060404.9,FULL,N-N-N,3H,DIRECT,3NF
194,N4LO+,2,73593956766906.0,1NC,N-N-N,3H,DIRECT,3NF
195,N3LO,4,70581550308317.0,1NC,N-N-N,3H,DIRECT,3NF
196,N2LO,4,1808397639015181.0,PW,N-N-N,3H,DIRECT,3NF
197,N4LO+,2,2264459318440365.0,PW,N-N-N,3H,DIRECT,3NF
198,N4LO+,1,86146568032114.0,1NC,N-N-N,3H,DIRECT,3NF
199,N4LO+,1,1374715222360421.0,FULL,N-N-N,3H,DIRECT,3NF
200,N2LO,1,59311605549388.0,1NC,N-N-N,3H,DIRECT,3NF
201,N4LO+,1,2351925681299494.5,PW,N-N-N,3H,DIRECT,3NF
202,N2LO,4,104060282911929.02,1NC,N-N-N,3H,DIRECT,3NF
203,N2LO,2,1773234481530485.2,FULL,N-N-N,3H,DIRECT,3NF
204,N2LO,2,2287459951420695.0,PW,N-N-N,3H,DIRECT,3NF
205,N3LO,1,85442105725790.0,1NC,N-N-N,3H,DIRECT,3NF
206,N4LO+,3,2179478952655350.2,PW,N-N-N,3H,DIRECT,3NF
207,N3LO,4,1111675743760854.2,FULL,N-N-N,3H,DIRECT,3NF
208,N4LO,1,91382659058339.98,1NC,N-N-N,3H,DIRECT,3NF
209,N4LO,2,83162159379086.0,1NC,N-N-N,3H,DIRECT,3NF
210,N4LO,3,77464396893340.0,1NC,N-N-N,3H,DIRECT,3NF
211,N2LO,1,2452798822333280.0,PW,N-N-N,3H,DIRECT,3NF
212,N3LO,2,2265459081014822.0,PW,N-N-N,3H,DIRECT,3NF
213,N3LO,2,1026300746276515.9,FULL,N-N-N,3H,DIRECT,3NF
214,N4LO,2,981858624661419.1,FULL,N-N-N,3H,DIRECT,3NF
215,N3LO,3,913860044202526.2,FULL,N-N-N,3H,DIRECT,3NF
216,N4LO+,3,64974738607995.01,1NC,N-N-N,3H,DIRECT,3NF
217,N2LO,3,1026856926791727.1,FULL,N-N-N,3H,DIRECT,3NF
218,N2LO,2,54443970601344.01,1NC,N-N-N,3H,DIRECT,3NF
219,N2LO,3,68092631341150.0,1NC,N-N-N,3H,DIRECT,3NF
220,N3LO,1,1287063266604760.0,FULL,N-N-N,3H,DIRECT,3NF
221,N4LO,4,845415940844096.2,FULL,N-N-N,3H,DIRECT,3NF
222,N2LO,4,561268033359937.1,FULL,N-N-N,3H,DIRECT,3NF
223,N4LO,1,1274480690416290.0,FULL,N-N-N,3H,DIRECT,3NF
224,N3LO,3,76879734620599.0,1NC,N-N-N,3H,DIRECT,3NF
225,N4LO+,4,2120052723642075.8,PW,N-N-N,3H,DIRECT,3NF
226,N2LO,3,2078224819472361.2,PW,N-N-N,3H,DIRECT,3NF
227,N4LO,4,70515827614244.0,1NC,N-N-N,3H,DIRECT,3NF
228,N4LO,2,2261366794556848.5,PW,N-N-N,3H,DIRECT,3NF
229,N3LO,1,2335517800117650.0,PW,N-N-N,3H,DIRECT,3NF
230,N4LO,3,2184657181589381.8,PW,N-N-N,3H,DIRECT,3NF
231,N4LO,4,2132515491256842.0,PW,N-N-N,3H,DIRECT,3NF
232,N4LO,1,2340612210612077.0,PW,N-N-N,3H,DIRECT,3NF
233,N4LO,3,79700972570050.02,1NC,N-N-N,3H,DIRECT,2NF
234,N4LO,4,843341925501325.9,FULL,N-N-N,3H,DIRECT,2NF
235,N4LO,1,1261079470518866.2,FULL,N-N-N,3H,DIRECT,2NF
236,N4LO+,1,106196400112417.0,1NC,N-N-N,3H,DIRECT,2NF
237,N4LO,1,112588052018264.02,1NC,N-N-N,3H,DIRECT,2NF
238,N4LO+,2,2259793924082822.0,PW,N-N-N,3H,DIRECT,2NF
239,N4LO,2,2256689593147713.0,PW,N-N-N,3H,DIRECT,2NF
240,N4LO+,1,1360012488567719.0,FULL,N-N-N,3H,DIRECT,2NF
241,N4LO+,2,82780828322288.0,1NC,N-N-N,3H,DIRECT,2NF
242,N4LO+,4,2091818421963170.2,PW,N-N-N,3H,DIRECT,2NF
243,N4LO,4,67205650484085.0,1NC,N-N-N,3H,DIRECT,2NF
244,N4LO+,4,1056021017476252.1,FULL,N-N-N,3H,DIRECT,2NF
