 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2586241E-08  0.2390880E-05
  0.2505679E-04  0.2322562E-07  0.7157062E-05
  0.6960220E-04  0.6423524E-07  0.1187660E-04
  0.1364203E-03  0.1250792E-06  0.1651869E-04
  0.2255111E-03  0.2049595E-06  0.2105301E-04
  0.3368746E-03  0.3028240E-06  0.2544992E-04
  0.4705109E-03  0.4173779E-06  0.2968075E-04
  0.6264198E-03  0.5470995E-06  0.3371816E-04
  0.8046014E-03  0.6902614E-06  0.3753647E-04
  0.1005056E-02  0.8449579E-06  0.4111216E-04
  0.1227783E-02  0.1009140E-05  0.4442434E-04
  0.1472783E-02  0.1180659E-05  0.4745536E-04
  0.1740055E-02  0.1357315E-05  0.5019142E-04
  0.2029600E-02  0.1536925E-05  0.5262325E-04
  0.2341418E-02  0.1717387E-05  0.5474683E-04
  0.2675509E-02  0.1896766E-05  0.5656411E-04
  0.3031872E-02  0.2073384E-05  0.5808374E-04
  0.3410508E-02  0.2245911E-05  0.5932166E-04
  0.3811416E-02  0.2413228E-05  0.6029556E-04
  0.4234598E-02  0.2574269E-05  0.6102083E-04
  0.4680052E-02  0.2728173E-05  0.6151441E-04
  0.5147779E-02  0.2874293E-05  0.6179472E-04
  0.5637778E-02  0.3012183E-05  0.6188104E-04
  0.6150050E-02  0.3141588E-05  0.6179312E-04
  0.6684595E-02  0.3262415E-05  0.6155054E-04
  0.7241413E-02  0.3374708E-05  0.6117231E-04
  0.7820503E-02  0.3478613E-05  0.6067628E-04
  0.8421866E-02  0.3574330E-05  0.6007873E-04
  0.9045502E-02  0.3662075E-05  0.5939381E-04
  0.9691410E-02  0.3742023E-05  0.5863315E-04
  0.1035959E-01  0.3814252E-05  0.5780538E-04
  0.1105005E-01  0.3878681E-05  0.5691573E-04
  0.1176277E-01  0.3935007E-05  0.5596557E-04
  0.1249777E-01  0.3982632E-05  0.5495208E-04
  0.1325504E-01  0.4020615E-05  0.5386816E-04
  0.1403459E-01  0.4048412E-05  0.5271269E-04
  0.1483640E-01  0.4066393E-05  0.5149620E-04
  0.1566049E-01  0.4075055E-05  0.5022974E-04
  0.1650686E-01  0.4074952E-05  0.4892384E-04
  0.1737549E-01  0.4066682E-05  0.4758849E-04
  0.1826640E-01  0.4050872E-05  0.4623302E-04
  0.1917958E-01  0.4028164E-05  0.4486605E-04
  0.2011504E-01  0.3999202E-05  0.4349539E-04
  0.2107276E-01  0.3964620E-05  0.4212802E-04
  0.2205276E-01  0.3925025E-05  0.4077004E-04
  0.2305503E-01  0.3880985E-05  0.3942660E-04
  0.2407958E-01  0.3833018E-05  0.3810190E-04
  0.2512639E-01  0.3781574E-05  0.3679915E-04
  0.2619548E-01  0.3727027E-05  0.3552054E-04
  0.2728685E-01  0.3669660E-05  0.3426727E-04
  0.2840048E-01  0.3609656E-05  0.3303948E-04
  0.2953639E-01  0.3547086E-05  0.3183635E-04
  0.3069457E-01  0.3482164E-05  0.3065835E-04
  0.3187502E-01  0.3415417E-05  0.2950861E-04
  0.3307775E-01  0.3347371E-05  0.2839004E-04
  0.3430275E-01  0.3278512E-05  0.2730502E-04
  0.3555002E-01  0.3209287E-05  0.2625541E-04
  0.3681956E-01  0.3140093E-05  0.2524257E-04
  0.3811138E-01  0.3071278E-05  0.2426733E-04
  0.3942547E-01  0.3003129E-05  0.2333005E-04
  0.4076183E-01  0.2935876E-05  0.2243061E-04
  0.4212047E-01  0.2869682E-05  0.2156838E-04
  0.4350137E-01  0.2804644E-05  0.2074228E-04
  0.4490456E-01  0.2740784E-05  0.1995078E-04
  0.4633001E-01  0.2678048E-05  0.1919188E-04
  0.4777773E-01  0.2616304E-05  0.1846314E-04
  0.4924773E-01  0.2555335E-05  0.1776172E-04
  0.5074000E-01  0.2494837E-05  0.1708430E-04
  0.5225455E-01  0.2434422E-05  0.1642722E-04
  0.5379136E-01  0.2373878E-05  0.1578819E-04
  0.5535045E-01  0.2313397E-05  0.1516770E-04
  0.5693182E-01  0.2253198E-05  0.1456640E-04
  0.5853545E-01  0.2193481E-05  0.1398475E-04
  0.6016136E-01  0.2134428E-05  0.1342311E-04
  0.6180954E-01  0.2076202E-05  0.1288167E-04
  0.6347999E-01  0.2018944E-05  0.1236050E-04
  0.6517272E-01  0.1962776E-05  0.1185954E-04
  0.6688771E-01  0.1907797E-05  0.1137861E-04
  0.6862498E-01  0.1854086E-05  0.1091739E-04
  0.7038453E-01  0.1801697E-05  0.1047547E-04
  0.7216634E-01  0.1750663E-05  0.1005230E-04
  0.7397043E-01  0.1700992E-05  0.9647249E-05
  0.7579680E-01  0.1652672E-05  0.9259584E-05
  0.7764543E-01  0.1605664E-05  0.8888468E-05
  0.7951634E-01  0.1559906E-05  0.8532978E-05
  0.8140952E-01  0.1515315E-05  0.8192105E-05
  0.8332497E-01  0.1471841E-05  0.7865089E-05
  0.8526269E-01  0.1429539E-05  0.7551736E-05
  0.8722269E-01  0.1388464E-05  0.7251875E-05
  0.8920496E-01  0.1348662E-05  0.6965283E-05
  0.9120951E-01  0.1310167E-05  0.6691704E-05
  0.9323632E-01  0.1273004E-05  0.6430837E-05
  0.9528541E-01  0.1237188E-05  0.6182340E-05
  0.9735677E-01  0.1202718E-05  0.5945810E-05
  0.9945041E-01  0.1169578E-05  0.5720790E-05
  0.1015663E+00  0.1137738E-05  0.5506782E-05
  0.1037045E+00  0.1107164E-05  0.5303266E-05
  0.1058649E+00  0.1077812E-05  0.5109721E-05
  0.1080477E+00  0.1049637E-05  0.4925630E-05
  0.1102527E+00  0.1022589E-05  0.4750473E-05
  0.1124799E+00  0.9966096E-06  0.4583717E-05
  0.1147295E+00  0.9716318E-06  0.4424808E-05
  0.1170013E+00  0.9475741E-06  0.4273149E-05
  0.1192954E+00  0.9243795E-06  0.4128276E-05
  0.1216117E+00  0.9020654E-06  0.3990070E-05
  0.1239504E+00  0.8806496E-06  0.3858420E-05
  0.1263113E+00  0.8601403E-06  0.3733176E-05
  0.1286945E+00  0.8405392E-06  0.3614168E-05
  0.1310999E+00  0.8218453E-06  0.3501218E-05
  0.1335276E+00  0.8040570E-06  0.3394154E-05
  0.1359776E+00  0.7871705E-06  0.3292800E-05
  0.1384499E+00  0.7711776E-06  0.3196968E-05
  0.1409445E+00  0.7560639E-06  0.3106453E-05
  0.1434613E+00  0.7418089E-06  0.3021029E-05
  0.1460004E+00  0.7283874E-06  0.2940463E-05
  0.1485617E+00  0.7157701E-06  0.2864510E-05
  0.1511454E+00  0.7039246E-06  0.2792923E-05
  0.1537513E+00  0.6928150E-06  0.2725450E-05
  0.1563794E+00  0.6824029E-06  0.2661836E-05
  0.1590299E+00  0.6726467E-06  0.2601824E-05
  0.1617026E+00  0.6635142E-06  0.2545200E-05
  0.1643976E+00  0.6550026E-06  0.2491871E-05
  0.1671149E+00  0.6471131E-06  0.2441759E-05
  0.1698544E+00  0.6398452E-06  0.2394786E-05
  0.1726162E+00  0.6331987E-06  0.2350875E-05
  0.1754003E+00  0.6271722E-06  0.2309946E-05
  0.1782067E+00  0.6217629E-06  0.2271920E-05
  0.1810353E+00  0.6169683E-06  0.2236719E-05
  0.1838862E+00  0.6127858E-06  0.2204268E-05
  0.1867594E+00  0.6092105E-06  0.2174485E-05
  0.1896549E+00  0.6062342E-06  0.2147280E-05
  0.1925726E+00  0.6038446E-06  0.2122551E-05
  0.1955126E+00  0.6020247E-06  0.2100183E-05
  0.1984748E+00  0.6007507E-06  0.2080040E-05
  0.2014594E+00  0.5999931E-06  0.2061972E-05
  0.2044662E+00  0.5997146E-06  0.2045804E-05
  0.2074953E+00  0.5998748E-06  0.2031359E-05
  0.2105467E+00  0.6004342E-06  0.2018466E-05
  0.2136203E+00  0.6013704E-06  0.2007017E-05
  0.2167162E+00  0.6026641E-06  0.1996916E-05
  0.2198344E+00  0.6042895E-06  0.1988051E-05
  0.2229748E+00  0.6062177E-06  0.1980300E-05
  0.2261375E+00  0.6084199E-06  0.1973546E-05
  0.2293225E+00  0.6108741E-06  0.1967699E-05
  0.2325298E+00  0.6135671E-06  0.1962696E-05
  0.2357594E+00  0.6164959E-06  0.1958511E-05
  0.2390112E+00  0.6196669E-06  0.1955147E-05
  0.2422853E+00  0.6230962E-06  0.1952638E-05
  0.2455816E+00  0.6267999E-06  0.1951018E-05
  0.2489003E+00  0.6307968E-06  0.1950325E-05
  0.2522412E+00  0.6350990E-06  0.1950580E-05
  0.2556043E+00  0.6397101E-06  0.1951773E-05
  0.2589898E+00  0.6446389E-06  0.1953914E-05
  0.2623975E+00  0.6498846E-06  0.1956981E-05
  0.2658275E+00  0.6554299E-06  0.1960905E-05
  0.2692798E+00  0.6612297E-06  0.1965535E-05
  0.2727543E+00  0.6671892E-06  0.1970577E-05
  0.2762511E+00  0.6731644E-06  0.1975601E-05
  0.2797702E+00  0.6789665E-06  0.1980058E-05
  0.2833116E+00  0.6843919E-06  0.1983367E-05
  0.2868752E+00  0.6892231E-06  0.1984923E-05
  0.2904611E+00  0.6932527E-06  0.1984165E-05
  0.2940693E+00  0.6963183E-06  0.1980675E-05
  0.2976997E+00  0.6982744E-06  0.1974091E-05
  0.3013525E+00  0.6989858E-06  0.1964089E-05
  0.3050275E+00  0.6983491E-06  0.1950444E-05
  0.3087247E+00  0.6962866E-06  0.1933003E-05
  0.3124443E+00  0.6927297E-06  0.1911647E-05
  0.3161861E+00  0.6876026E-06  0.1886237E-05
  0.3199502E+00  0.6808139E-06  0.1856596E-05
  0.3237365E+00  0.6722640E-06  0.1822528E-05
  0.3275452E+00  0.6618540E-06  0.1783844E-05
  0.3313761E+00  0.6494952E-06  0.1740386E-05
  0.3352293E+00  0.6351036E-06  0.1692014E-05
  0.3391047E+00  0.6186067E-06  0.1638619E-05
  0.3430024E+00  0.5999837E-06  0.1580233E-05
  0.3469224E+00  0.5792908E-06  0.1517088E-05
  0.3508647E+00  0.5566661E-06  0.1449623E-05
  0.3548292E+00  0.5323270E-06  0.1378475E-05
  0.3588160E+00  0.5065554E-06  0.1304431E-05
  0.3628251E+00  0.4796654E-06  0.1228344E-05
  0.3668565E+00  0.4519595E-06  0.1151017E-05
  0.3709101E+00  0.4236855E-06  0.1073098E-05
  0.3749860E+00  0.3950417E-06  0.9950976E-06
  0.3790842E+00  0.3662076E-06  0.9174654E-06
  0.3832047E+00  0.3373647E-06  0.8406485E-06
  0.3873474E+00  0.3087020E-06  0.7651021E-06
  0.3915124E+00  0.2803941E-06  0.6912359E-06
  0.3956996E+00  0.2525725E-06  0.6193461E-06
  0.3999092E+00  0.2253479E-06  0.5496713E-06
  0.4041410E+00  0.1988122E-06  0.4823994E-06
  0.4083951E+00  0.1730247E-06  0.4176362E-06
  0.4126714E+00  0.1480124E-06  0.3554071E-06
  0.4169701E+00  0.1238063E-06  0.2957470E-06
  0.4212910E+00  0.1005591E-06  0.2389794E-06
  0.4256342E+00  0.7856058E-07  0.1857448E-06
  0.4299996E+00  0.5820880E-07  0.1369257E-06
  0.4343873E+00  0.3991806E-07  0.9342456E-07
  0.4387973E+00  0.2398778E-07  0.5585838E-07
  0.4432296E+00  0.1033687E-07  0.2394997E-07
