 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.1586495E-07  0.6461029E-07
  0.1460004E+00  0.1617107E-07  0.6528180E-07
  0.1485617E+00  0.1649209E-07  0.6600128E-07
  0.1511454E+00  0.1682788E-07  0.6676706E-07
  0.1537513E+00  0.1717755E-07  0.6757440E-07
  0.1563794E+00  0.1753950E-07  0.6841597E-07
  0.1590299E+00  0.1791155E-07  0.6928259E-07
  0.1617026E+00  0.1829062E-07  0.7016169E-07
  0.1643976E+00  0.1867194E-07  0.7103494E-07
  0.1671149E+00  0.1905063E-07  0.7188396E-07
  0.1698544E+00  0.1942191E-07  0.7269152E-07
  0.1726162E+00  0.1978122E-07  0.7344167E-07
  0.1754003E+00  0.2012422E-07  0.7411979E-07
  0.1782067E+00  0.2044687E-07  0.7471280E-07
  0.1810353E+00  0.2074549E-07  0.7520942E-07
  0.1838862E+00  0.2101682E-07  0.7560016E-07
  0.1867594E+00  0.2125793E-07  0.7587696E-07
  0.1896549E+00  0.2146614E-07  0.7603301E-07
  0.1925726E+00  0.2163900E-07  0.7606242E-07
  0.1955126E+00  0.2177415E-07  0.7595986E-07
  0.1984748E+00  0.2186934E-07  0.7572044E-07
  0.2014594E+00  0.2192244E-07  0.7533996E-07
  0.2044662E+00  0.2193150E-07  0.7481486E-07
  0.2074953E+00  0.2189509E-07  0.7414345E-07
  0.2105467E+00  0.2181252E-07  0.7332667E-07
  0.2136203E+00  0.2168455E-07  0.7237014E-07
  0.2167162E+00  0.2151334E-07  0.7128405E-07
  0.2198344E+00  0.2130226E-07  0.7008227E-07
  0.2229748E+00  0.2105607E-07  0.6878278E-07
  0.2261375E+00  0.2078125E-07  0.6740864E-07
  0.2293225E+00  0.2048618E-07  0.6598845E-07
  0.2325298E+00  0.2018088E-07  0.6455516E-07
  0.2357594E+00  0.1987654E-07  0.6314465E-07
  0.2390112E+00  0.1958515E-07  0.6179426E-07
  0.2422853E+00  0.1931901E-07  0.6054128E-07
  0.2455816E+00  0.1908998E-07  0.5942072E-07
  0.2489003E+00  0.1890933E-07  0.5846470E-07
  0.2522412E+00  0.1878729E-07  0.5770140E-07
  0.2556043E+00  0.1873319E-07  0.5715550E-07
  0.2589898E+00  0.1875565E-07  0.5684877E-07
  0.2623975E+00  0.1886228E-07  0.5679952E-07
  0.2658275E+00  0.1905994E-07  0.5702324E-07
  0.2692798E+00  0.1935569E-07  0.5753565E-07
  0.2727543E+00  0.1975818E-07  0.5835679E-07
  0.2762511E+00  0.2027788E-07  0.5951149E-07
  0.2797702E+00  0.2092785E-07  0.6103153E-07
  0.2833116E+00  0.2172374E-07  0.6295536E-07
  0.2868752E+00  0.2268510E-07  0.6533176E-07
  0.2904611E+00  0.2383495E-07  0.6821823E-07
  0.2940693E+00  0.2519772E-07  0.7167484E-07
  0.2976997E+00  0.2679860E-07  0.7576231E-07
  0.3013525E+00  0.2866098E-07  0.8053487E-07
  0.3050275E+00  0.3080148E-07  0.8602652E-07
  0.3087247E+00  0.3322600E-07  0.9224070E-07
  0.3124443E+00  0.3592905E-07  0.9914932E-07
  0.3161861E+00  0.3889628E-07  0.1067006E-06
  0.3199502E+00  0.4210796E-07  0.1148295E-06
  0.3237365E+00  0.4554375E-07  0.1234705E-06
  0.3275452E+00  0.4918671E-07  0.1325691E-06
  0.3313761E+00  0.5302466E-07  0.1420848E-06
  0.3352293E+00  0.5705576E-07  0.1520053E-06
  0.3391047E+00  0.6128934E-07  0.1623485E-06
  0.3430024E+00  0.6573106E-07  0.1731220E-06
  0.3469224E+00  0.7037349E-07  0.1842991E-06
  0.3508647E+00  0.7519229E-07  0.1958095E-06
  0.3548292E+00  0.8013903E-07  0.2075222E-06
  0.3588160E+00  0.8513403E-07  0.2192288E-06
  0.3628251E+00  0.9006458E-07  0.2306405E-06
  0.3668565E+00  0.9479517E-07  0.2414173E-06
  0.3709101E+00  0.9919296E-07  0.2512330E-06
  0.3749860E+00  0.1031556E-06  0.2598458E-06
  0.3790842E+00  0.1066503E-06  0.2671927E-06
  0.3832047E+00  0.1097403E-06  0.2734520E-06
  0.3873474E+00  0.1125863E-06  0.2790395E-06
  0.3915124E+00  0.1154001E-06  0.2844878E-06
  0.3956996E+00  0.1183256E-06  0.2901524E-06
  0.3999092E+00  0.1213885E-06  0.2960924E-06
  0.4041410E+00  0.1245794E-06  0.3022804E-06
  0.4083951E+00  0.1278876E-06  0.3086872E-06
  0.4126714E+00  0.1313568E-06  0.3154137E-06
  0.4169701E+00  0.1352224E-06  0.3230178E-06
  0.4212910E+00  0.1401629E-06  0.3330981E-06
  0.4256342E+00  0.1474681E-06  0.3486663E-06
  0.4299996E+00  0.1594788E-06  0.3751451E-06
  0.4343873E+00  0.1808681E-06  0.4233051E-06
  0.4387973E+00  0.2240422E-06  0.5217087E-06
  0.4432296E+00  0.3534660E-06  0.8189616E-06
