 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.3475312E-06  0.1415327E-05
  0.1460004E+00  0.3441307E-06  0.1389238E-05
  0.1485617E+00  0.3411396E-06  0.1365240E-05
  0.1511454E+00  0.3385731E-06  0.1343338E-05
  0.1537513E+00  0.3364470E-06  0.1323542E-05
  0.1563794E+00  0.3347784E-06  0.1305864E-05
  0.1590299E+00  0.3335865E-06  0.1290326E-05
  0.1617026E+00  0.3328926E-06  0.1276956E-05
  0.1643976E+00  0.3327191E-06  0.1265786E-05
  0.1671149E+00  0.3330926E-06  0.1256862E-05
  0.1698544E+00  0.3340446E-06  0.1250248E-05
  0.1726162E+00  0.3356113E-06  0.1246023E-05
  0.1754003E+00  0.3378327E-06  0.1244276E-05
  0.1782067E+00  0.3407526E-06  0.1245109E-05
  0.1810353E+00  0.3444195E-06  0.1248637E-05
  0.1838862E+00  0.3488856E-06  0.1254986E-05
  0.1867594E+00  0.3542050E-06  0.1264281E-05
  0.1896549E+00  0.3604356E-06  0.1276662E-05
  0.1925726E+00  0.3676420E-06  0.1292284E-05
  0.1955126E+00  0.3758961E-06  0.1311326E-05
  0.1984748E+00  0.3852784E-06  0.1333989E-05
  0.2014594E+00  0.3958765E-06  0.1360493E-05
  0.2044662E+00  0.4077878E-06  0.1391085E-05
  0.2074953E+00  0.4211170E-06  0.1426031E-05
  0.2105467E+00  0.4359814E-06  0.1465629E-05
  0.2136203E+00  0.4525103E-06  0.1510210E-05
  0.2167162E+00  0.4708402E-06  0.1560120E-05
  0.2198344E+00  0.4911188E-06  0.1615731E-05
  0.2229748E+00  0.5135024E-06  0.1677432E-05
  0.2261375E+00  0.5381508E-06  0.1745613E-05
  0.2293225E+00  0.5652292E-06  0.1820671E-05
  0.2325298E+00  0.5949223E-06  0.1903054E-05
  0.2357594E+00  0.6274316E-06  0.1993252E-05
  0.2390112E+00  0.6629670E-06  0.2091766E-05
  0.2422853E+00  0.7017448E-06  0.2199105E-05
  0.2455816E+00  0.7439760E-06  0.2315748E-05
  0.2489003E+00  0.7898746E-06  0.2442169E-05
  0.2522412E+00  0.8396457E-06  0.2578804E-05
  0.2556043E+00  0.8934666E-06  0.2725991E-05
  0.2589898E+00  0.9514937E-06  0.2883997E-05
  0.2623975E+00  0.1013845E-05  0.3052965E-05
  0.2658275E+00  0.1080578E-05  0.3232858E-05
  0.2692798E+00  0.1151716E-05  0.3423527E-05
  0.2727543E+00  0.1227309E-05  0.3624918E-05
  0.2762511E+00  0.1307407E-05  0.3836976E-05
  0.2797702E+00  0.1392025E-05  0.4059537E-05
  0.2833116E+00  0.1481072E-05  0.4292145E-05
  0.2868752E+00  0.1574353E-05  0.4534046E-05
  0.2904611E+00  0.1671518E-05  0.4784069E-05
  0.2940693E+00  0.1771990E-05  0.5040421E-05
  0.2976997E+00  0.1874978E-05  0.5300747E-05
  0.3013525E+00  0.1979463E-05  0.5562118E-05
  0.3050275E+00  0.2084119E-05  0.5820809E-05
  0.3087247E+00  0.2187286E-05  0.6072258E-05
  0.3124443E+00  0.2287028E-05  0.6311251E-05
  0.3161861E+00  0.2381246E-05  0.6532254E-05
  0.3199502E+00  0.2467762E-05  0.6729649E-05
  0.3237365E+00  0.2544407E-05  0.6897965E-05
  0.3275452E+00  0.2609101E-05  0.7032108E-05
  0.3313761E+00  0.2659977E-05  0.7127669E-05
  0.3352293E+00  0.2695433E-05  0.7181049E-05
  0.3391047E+00  0.2714211E-05  0.7189638E-05
  0.3430024E+00  0.2715474E-05  0.7151996E-05
  0.3469224E+00  0.2698885E-05  0.7068031E-05
  0.3508647E+00  0.2664690E-05  0.6939165E-05
  0.3548292E+00  0.2613790E-05  0.6768482E-05
  0.3588160E+00  0.2547773E-05  0.6560773E-05
  0.3628251E+00  0.2468818E-05  0.6322234E-05
  0.3668565E+00  0.2379473E-05  0.6059864E-05
  0.3709101E+00  0.2282312E-05  0.5780574E-05
  0.3749860E+00  0.2179751E-05  0.5490725E-05
  0.3790842E+00  0.2073830E-05  0.5195598E-05
  0.3832047E+00  0.1966124E-05  0.4899207E-05
  0.3873474E+00  0.1857733E-05  0.4604295E-05
  0.3915124E+00  0.1749410E-05  0.4312699E-05
  0.3956996E+00  0.1642139E-05  0.4026774E-05
  0.3999092E+00  0.1537808E-05  0.3751041E-05
  0.4041410E+00  0.1438355E-05  0.3490035E-05
  0.4083951E+00  0.1345488E-05  0.3247655E-05
  0.4126714E+00  0.1260854E-05  0.3027559E-05
  0.4169701E+00  0.1186466E-05  0.2834218E-05
  0.4212910E+00  0.1125374E-05  0.2674460E-05
  0.4256342E+00  0.1082073E-05  0.2558400E-05
  0.4299996E+00  0.1057952E-05  0.2488640E-05
  0.4343873E+00  0.1045591E-05  0.2447109E-05
  0.4387973E+00  0.1038898E-05  0.2419196E-05
  0.4432296E+00  0.1071935E-05  0.2483615E-05
