 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.4958324E-07  0.2019286E-06
  0.1460004E+00  0.4857995E-07  0.1961148E-06
  0.1485617E+00  0.4763509E-07  0.1906355E-06
  0.1511454E+00  0.4674919E-07  0.1854842E-06
  0.1537513E+00  0.4592348E-07  0.1806574E-06
  0.1563794E+00  0.4515993E-07  0.1761545E-06
  0.1590299E+00  0.4446128E-07  0.1719780E-06
  0.1617026E+00  0.4382971E-07  0.1681281E-06
  0.1643976E+00  0.4326462E-07  0.1645945E-06
  0.1671149E+00  0.4276540E-07  0.1613672E-06
  0.1698544E+00  0.4233192E-07  0.1584381E-06
  0.1726162E+00  0.4196454E-07  0.1558016E-06
  0.1754003E+00  0.4166393E-07  0.1534530E-06
  0.1782067E+00  0.4143097E-07  0.1513887E-06
  0.1810353E+00  0.4126684E-07  0.1496063E-06
  0.1838862E+00  0.4117280E-07  0.1481037E-06
  0.1867594E+00  0.4114980E-07  0.1468780E-06
  0.1896549E+00  0.4119820E-07  0.1459239E-06
  0.1925726E+00  0.4131727E-07  0.1452328E-06
  0.1955126E+00  0.4150482E-07  0.1447909E-06
  0.1984748E+00  0.4175688E-07  0.1445791E-06
  0.2014594E+00  0.4206753E-07  0.1445718E-06
  0.2044662E+00  0.4242845E-07  0.1447360E-06
  0.2074953E+00  0.4282920E-07  0.1450328E-06
  0.2105467E+00  0.4325890E-07  0.1454225E-06
  0.2136203E+00  0.4371059E-07  0.1458800E-06
  0.2167162E+00  0.4417768E-07  0.1463819E-06
  0.2198344E+00  0.4465232E-07  0.1469016E-06
  0.2229748E+00  0.4512573E-07  0.1474099E-06
  0.2261375E+00  0.4558886E-07  0.1478777E-06
  0.2293225E+00  0.4603317E-07  0.1482783E-06
  0.2325298E+00  0.4645116E-07  0.1485893E-06
  0.2357594E+00  0.4683659E-07  0.1487925E-06
  0.2390112E+00  0.4718447E-07  0.1488745E-06
  0.2422853E+00  0.4749116E-07  0.1488263E-06
  0.2455816E+00  0.4775325E-07  0.1486398E-06
  0.2489003E+00  0.4796793E-07  0.1483094E-06
  0.2522412E+00  0.4813229E-07  0.1478287E-06
