 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.5767057E-06  0.2348644E-05
  0.1460004E+00  0.5768646E-06  0.2328773E-05
  0.1485617E+00  0.5768305E-06  0.2308474E-05
  0.1511454E+00  0.5765991E-06  0.2287741E-05
  0.1537513E+00  0.5761682E-06  0.2266576E-05
  0.1563794E+00  0.5755385E-06  0.2244992E-05
  0.1590299E+00  0.5747174E-06  0.2223029E-05
  0.1617026E+00  0.5737114E-06  0.2200722E-05
  0.1643976E+00  0.5725128E-06  0.2178049E-05
  0.1671149E+00  0.5711148E-06  0.2154994E-05
  0.1698544E+00  0.5695138E-06  0.2131553E-05
  0.1726162E+00  0.5677095E-06  0.2107733E-05
  0.1754003E+00  0.5657024E-06  0.2083546E-05
  0.1782067E+00  0.5634947E-06  0.2059008E-05
  0.1810353E+00  0.5610914E-06  0.2034146E-05
  0.1838862E+00  0.5584986E-06  0.2008990E-05
  0.1867594E+00  0.5557203E-06  0.1983560E-05
  0.1896549E+00  0.5527592E-06  0.1957872E-05
  0.1925726E+00  0.5496154E-06  0.1931932E-05
  0.1955126E+00  0.5462835E-06  0.1905728E-05
  0.1984748E+00  0.5427541E-06  0.1879233E-05
  0.2014594E+00  0.5390124E-06  0.1852402E-05
  0.2044662E+00  0.5350379E-06  0.1825173E-05
  0.2074953E+00  0.5308059E-06  0.1797471E-05
  0.2105467E+00  0.5262914E-06  0.1769222E-05
  0.2136203E+00  0.5214761E-06  0.1740377E-05
  0.2167162E+00  0.5163452E-06  0.1710900E-05
  0.2198344E+00  0.5108848E-06  0.1680759E-05
  0.2229748E+00  0.5050831E-06  0.1649929E-05
  0.2261375E+00  0.4989335E-06  0.1618403E-05
  0.2293225E+00  0.4924375E-06  0.1586200E-05
  0.2325298E+00  0.4856040E-06  0.1553364E-05
  0.2357594E+00  0.4784491E-06  0.1519958E-05
  0.2390112E+00  0.4709967E-06  0.1486069E-05
  0.2422853E+00  0.4632779E-06  0.1451805E-05
  0.2455816E+00  0.4553271E-06  0.1417281E-05
  0.2489003E+00  0.4471841E-06  0.1382623E-05
  0.2522412E+00  0.4388913E-06  0.1347967E-05
  0.2556043E+00  0.4304945E-06  0.1313451E-05
  0.2589898E+00  0.4220461E-06  0.1279231E-05
  0.2623975E+00  0.4136021E-06  0.1245469E-05
  0.2658275E+00  0.4052110E-06  0.1212304E-05
  0.2692798E+00  0.3968861E-06  0.1179762E-05
  0.2727543E+00  0.3886263E-06  0.1147828E-05
  0.2762511E+00  0.3804263E-06  0.1116474E-05
  0.2797702E+00  0.3722796E-06  0.1085672E-05
  0.2833116E+00  0.3641852E-06  0.1055408E-05
  0.2868752E+00  0.3561475E-06  0.1025684E-05
  0.2904611E+00  0.3481791E-06  0.9965267E-06
  0.2940693E+00  0.3403032E-06  0.9679912E-06
  0.2976997E+00  0.3325480E-06  0.9401460E-06
  0.3013525E+00  0.3249425E-06  0.9130603E-06
  0.3050275E+00  0.3175133E-06  0.8867940E-06
  0.3087247E+00  0.3102787E-06  0.8613833E-06
  0.3124443E+00  0.3032445E-06  0.8368295E-06
  0.3161861E+00  0.2964030E-06  0.8130954E-06
  0.3199502E+00  0.2897360E-06  0.7901172E-06
  0.3237365E+00  0.2832189E-06  0.7678151E-06
  0.3275452E+00  0.2768330E-06  0.7461266E-06
  0.3313761E+00  0.2705951E-06  0.7250860E-06
  0.3352293E+00  0.2645388E-06  0.7047720E-06
  0.3391047E+00  0.2587105E-06  0.6852947E-06
  0.3430024E+00  0.2531728E-06  0.6668049E-06
  0.3469224E+00  0.2480050E-06  0.6494930E-06
  0.3508647E+00  0.2432976E-06  0.6335753E-06
  0.3548292E+00  0.2391430E-06  0.6192674E-06
  0.3588160E+00  0.2356225E-06  0.6067518E-06
  0.3628251E+00  0.2327915E-06  0.5961406E-06
  0.3668565E+00  0.2306697E-06  0.5874525E-06
  0.3709101E+00  0.2292457E-06  0.5806267E-06
  0.3749860E+00  0.2284949E-06  0.5755713E-06
  0.3790842E+00  0.2284115E-06  0.5722428E-06
  0.3832047E+00  0.2290396E-06  0.5707232E-06
