 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.4193354E-06  0.1707751E-05
  0.1460004E+00  0.4150796E-06  0.1675655E-05
  0.1485617E+00  0.4113217E-06  0.1646108E-05
  0.1511454E+00  0.4080840E-06  0.1619133E-05
  0.1537513E+00  0.4053894E-06  0.1594753E-05
  0.1563794E+00  0.4032625E-06  0.1572999E-05
  0.1590299E+00  0.4017310E-06  0.1553911E-05
  0.1617026E+00  0.4008247E-06  0.1537539E-05
  0.1643976E+00  0.4005760E-06  0.1523938E-05
  0.1671149E+00  0.4010224E-06  0.1513183E-05
  0.1698544E+00  0.4022075E-06  0.1505366E-05
  0.1726162E+00  0.4041809E-06  0.1500601E-05
  0.1754003E+00  0.4069970E-06  0.1499016E-05
  0.1782067E+00  0.4107154E-06  0.1500753E-05
  0.1810353E+00  0.4154016E-06  0.1505971E-05
  0.1838862E+00  0.4211261E-06  0.1514844E-05
  0.1867594E+00  0.4279622E-06  0.1527546E-05
  0.1896549E+00  0.4359887E-06  0.1544271E-05
  0.1925726E+00  0.4452950E-06  0.1565240E-05
  0.1955126E+00  0.4559817E-06  0.1590707E-05
  0.1984748E+00  0.4681620E-06  0.1620965E-05
  0.2014594E+00  0.4819607E-06  0.1656335E-05
  0.2044662E+00  0.4975174E-06  0.1697179E-05
  0.2074953E+00  0.5149831E-06  0.1743890E-05
  0.2105467E+00  0.5345264E-06  0.1796905E-05
  0.2136203E+00  0.5563311E-06  0.1856702E-05
  0.2167162E+00  0.5805899E-06  0.1923774E-05
  0.2198344E+00  0.6075120E-06  0.1998652E-05
  0.2229748E+00  0.6373182E-06  0.2081894E-05
  0.2261375E+00  0.6702339E-06  0.2174054E-05
  0.2293225E+00  0.7064918E-06  0.2275695E-05
  0.2325298E+00  0.7463500E-06  0.2387446E-05
  0.2357594E+00  0.7900892E-06  0.2509989E-05
  0.2390112E+00  0.8379995E-06  0.2644021E-05
  0.2422853E+00  0.8903789E-06  0.2790240E-05
  0.2455816E+00  0.9475169E-06  0.2949302E-05
  0.2489003E+00  0.1009706E-05  0.3121853E-05
  0.2522412E+00  0.1077225E-05  0.3308481E-05
  0.2556043E+00  0.1150314E-05  0.3509641E-05
  0.2589898E+00  0.1229184E-05  0.3725683E-05
  0.2623975E+00  0.1313990E-05  0.3956785E-05
  0.2658275E+00  0.1404808E-05  0.4202881E-05
  0.2692798E+00  0.1501668E-05  0.4463776E-05
  0.2727543E+00  0.1604652E-05  0.4739422E-05
  0.2762511E+00  0.1713841E-05  0.5029777E-05
  0.2797702E+00  0.1829268E-05  0.5334660E-05
  0.2833116E+00  0.1950822E-05  0.5653478E-05
  0.2868752E+00  0.2078247E-05  0.5985232E-05
  0.2904611E+00  0.2211074E-05  0.6328336E-05
  0.2940693E+00  0.2348511E-05  0.6680331E-05
  0.2976997E+00  0.2489466E-05  0.7037966E-05
  0.3013525E+00  0.2632533E-05  0.7397189E-05
  0.3050275E+00  0.2775871E-05  0.7752827E-05
  0.3087247E+00  0.2917172E-05  0.8098537E-05
  0.3124443E+00  0.3053742E-05  0.8427064E-05
  0.3161861E+00  0.3182664E-05  0.8730712E-05
  0.3199502E+00  0.3300915E-05  0.9001676E-05
  0.3237365E+00  0.3405484E-05  0.9232371E-05
  0.3275452E+00  0.3493493E-05  0.9415742E-05
  0.3313761E+00  0.3562344E-05  0.9545649E-05
  0.3352293E+00  0.3609805E-05  0.9617075E-05
  0.3391047E+00  0.3634121E-05  0.9626373E-05
  0.3430024E+00  0.3634119E-05  0.9571517E-05
  0.3469224E+00  0.3609318E-05  0.9452337E-05
  0.3508647E+00  0.3560038E-05  0.9270754E-05
  0.3548292E+00  0.3487509E-05  0.9031000E-05
  0.3588160E+00  0.3393916E-05  0.8739677E-05
  0.3628251E+00  0.3282270E-05  0.8405351E-05
  0.3668565E+00  0.3156103E-05  0.8037728E-05
  0.3709101E+00  0.3018994E-05  0.7646421E-05
  0.3749860E+00  0.2874321E-05  0.7240325E-05
  0.3790842E+00  0.2724954E-05  0.6826870E-05
  0.3832047E+00  0.2573139E-05  0.6411771E-05
  0.3873474E+00  0.2420470E-05  0.5999010E-05
  0.3915124E+00  0.2268075E-05  0.5591328E-05
  0.3956996E+00  0.2117391E-05  0.5192166E-05
  0.3999092E+00  0.1971070E-05  0.4807857E-05
  0.4041410E+00  0.1831783E-05  0.4444653E-05
  0.4083951E+00  0.1701845E-05  0.4107806E-05
  0.4126714E+00  0.1583414E-05  0.3802091E-05
  0.4169701E+00  0.1479084E-05  0.3533221E-05
  0.4212910E+00  0.1392745E-05  0.3309869E-05
  0.4256342E+00  0.1330105E-05  0.3144835E-05
  0.4299996E+00  0.1293917E-05  0.3043705E-05
  0.4343873E+00  0.1278656E-05  0.2992578E-05
  0.4387973E+00  0.1285524E-05  0.2993494E-05
  0.4432296E+00  0.1392057E-05  0.3225321E-05
