 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.1013633E-05  0.4128037E-05
  0.1460004E+00  0.9949098E-06  0.4016400E-05
  0.1485617E+00  0.9771890E-06  0.3910708E-05
  0.1511454E+00  0.9604290E-06  0.3810642E-05
  0.1537513E+00  0.9445838E-06  0.3715878E-05
  0.1563794E+00  0.9296033E-06  0.3626086E-05
  0.1590299E+00  0.9154333E-06  0.3540932E-05
  0.1617026E+00  0.9020310E-06  0.3460136E-05
  0.1643976E+00  0.8893915E-06  0.3383572E-05
  0.1671149E+00  0.8775140E-06  0.3311134E-05
  0.1698544E+00  0.8663957E-06  0.3242710E-05
  0.1726162E+00  0.8560334E-06  0.3178192E-05
  0.1754003E+00  0.8464223E-06  0.3117469E-05
  0.1782067E+00  0.8375556E-06  0.3060426E-05
  0.1810353E+00  0.8294262E-06  0.3006951E-05
  0.1838862E+00  0.8220262E-06  0.2956932E-05
  0.1867594E+00  0.8153446E-06  0.2910250E-05
  0.1896549E+00  0.8093657E-06  0.2866772E-05
  0.1925726E+00  0.8040677E-06  0.2826348E-05
  0.1955126E+00  0.7994219E-06  0.2788810E-05
  0.1984748E+00  0.7953908E-06  0.2753963E-05
  0.2014594E+00  0.7919293E-06  0.2721591E-05
  0.2044662E+00  0.7889821E-06  0.2691452E-05
  0.2074953E+00  0.7864893E-06  0.2663293E-05
  0.2105467E+00  0.7843925E-06  0.2636875E-05
  0.2136203E+00  0.7826555E-06  0.2612039E-05
  0.2167162E+00  0.7812465E-06  0.2588646E-05
  0.2198344E+00  0.7801266E-06  0.2566537E-05
  0.2229748E+00  0.7792528E-06  0.2545545E-05
  0.2261375E+00  0.7785831E-06  0.2525509E-05
  0.2293225E+00  0.7780838E-06  0.2506301E-05
  0.2325298E+00  0.7777311E-06  0.2487828E-05
  0.2357594E+00  0.7775134E-06  0.2470038E-05
  0.2390112E+00  0.7774304E-06  0.2452916E-05
  0.2422853E+00  0.7774938E-06  0.2436485E-05
  0.2455816E+00  0.7777160E-06  0.2420769E-05
  0.2489003E+00  0.7781126E-06  0.2405803E-05
  0.2522412E+00  0.7786923E-06  0.2391598E-05
  0.2556043E+00  0.7794553E-06  0.2378140E-05
  0.2589898E+00  0.7804070E-06  0.2365430E-05
  0.2623975E+00  0.7815433E-06  0.2353442E-05
  0.2658275E+00  0.7828428E-06  0.2342097E-05
  0.2692798E+00  0.7842540E-06  0.2331230E-05
  0.2727543E+00  0.7856675E-06  0.2320509E-05
  0.2762511E+00  0.7869194E-06  0.2309450E-05
  0.2797702E+00  0.7877999E-06  0.2297447E-05
  0.2833116E+00  0.7880897E-06  0.2283883E-05
  0.2868752E+00  0.7875608E-06  0.2268129E-05
  0.2904611E+00  0.7860040E-06  0.2249629E-05
  0.2940693E+00  0.7832686E-06  0.2228005E-05
  0.2976997E+00  0.7792312E-06  0.2202964E-05
  0.3013525E+00  0.7737898E-06  0.2174282E-05
  0.3050275E+00  0.7668893E-06  0.2141872E-05
  0.3087247E+00  0.7585155E-06  0.2105761E-05
  0.3124443E+00  0.7486740E-06  0.2066031E-05
  0.3161861E+00  0.7373663E-06  0.2022750E-05
  0.3199502E+00  0.7245782E-06  0.1975943E-05
  0.3237365E+00  0.7102819E-06  0.1925596E-05
  0.3275452E+00  0.6944422E-06  0.1871676E-05
  0.3313761E+00  0.6770267E-06  0.1814160E-05
  0.3352293E+00  0.6579942E-06  0.1752998E-05
  0.3391047E+00  0.6373003E-06  0.1688136E-05
  0.3430024E+00  0.6149445E-06  0.1619636E-05
  0.3469224E+00  0.5909998E-06  0.1547752E-05
  0.3508647E+00  0.5656175E-06  0.1472934E-05
  0.3548292E+00  0.5390193E-06  0.1395805E-05
  0.3588160E+00  0.5114832E-06  0.1317121E-05
  0.3628251E+00  0.4833124E-06  0.1237683E-05
  0.3668565E+00  0.4547911E-06  0.1158228E-05
  0.3709101E+00  0.4261370E-06  0.1079307E-05
  0.3749860E+00  0.3974995E-06  0.1001289E-05
  0.3790842E+00  0.3689767E-06  0.9244031E-06
  0.3832047E+00  0.3406294E-06  0.8487835E-06
  0.3873474E+00  0.3124895E-06  0.7744892E-06
  0.3915124E+00  0.2845617E-06  0.7015100E-06
  0.3956996E+00  0.2568540E-06  0.6298451E-06
  0.3999092E+00  0.2294399E-06  0.5596526E-06
  0.4041410E+00  0.2024342E-06  0.4911878E-06
  0.4083951E+00  0.1759724E-06  0.4247510E-06
  0.4126714E+00  0.1501924E-06  0.3606418E-06
  0.4169701E+00  0.1252168E-06  0.2991166E-06
  0.4212910E+00  0.1011854E-06  0.2404677E-06
  0.4256342E+00  0.7830922E-07  0.1851505E-06
  0.4299996E+00  0.5689694E-07  0.1338397E-06
  0.4343873E+00  0.3736747E-07  0.8745514E-07
  0.4387973E+00  0.2034698E-07  0.4738035E-07
  0.4432296E+00  0.6798606E-08  0.1575200E-07
