DEG	Chiral	Cutoff	Chiral(smoothed)	Cutoff(smoothed)	N3LO-N4LO	N3LO-N4LO(smoothed)
125.00225	0.2780566711	0.122734515	0.2780407095	0.122685511	0.051	0.05051229223
125.99919	0.2830929802	0.1243432574	0.2830762231	0.1244271829	0.049	0.04946949299
127.00187	0.2881088098	0.1261877231	0.2881055028	0.1262088415	0.049	0.04846117364
127.99882	0.293082903	0.1280238372	0.2930180828	0.1280071865	0.047	0.04749543377
129.00149	0.2977752424	0.1298371963	0.2979377028	0.1298398128	0.046	0.04655459864
129.99844	0.3030042426	0.1316325491	0.3028866685	0.1316826721	0.046	0.04563371612
131.00112	0.3079271806	0.1336775381	0.3079088339	0.1335536773	0.045	0.044700082
131.99806	0.3128074541	0.1354332324	0.3129009234	0.1354281234	0.044	0.04374922219
133.00074	0.3179677963	0.1374446618	0.3178869157	0.137324212	0.043	0.04276815281
133.99769	0.3227689255	0.1391686032	0.322785684	0.139216857	0.042	0.04178011172
135.00036	0.3275710519	0.1411258998	0.3276517996	0.1411243527	0.04	0.04079632607
135.99731	0.3326079285	0.1430722892	0.3324348763	0.1430215169	0.04	0.03985284884
136.99999	0.3370123355	0.1450067687	0.337195744	0.1449267104	0.039	0.03895434937
138.00266	0.3419992894	0.1466520537	0.341920047	0.1468255999	0.038	0.03811499025
138.99961	0.3465993466	0.1485277967	0.3465636088	0.1487041067	0.037	0.03734055887
140.00229	0.3511436741	0.1506655487	0.3511760973	0.150580542	0.037	0.03661574198
140.99923	0.3556922709	0.1522389627	0.3557176332	0.152430295	0.036	0.0359357872
142.00191	0.3602012097	0.1543355945	0.3602099747	0.154271609	0.035	0.03528043016
142.99886	0.3646020886	0.1561348078	0.3645344328	0.1560805154	0.035	0.03464596662
144.00153	0.3687218045	0.1579308163	0.3687273284	0.1578750085	0.034	0.03401413563
144.99848	0.3727250814	0.1596811655	0.3728179877	0.1596320112	0.033	0.03338592436
146.00116	0.3769996982	0.1614352145	0.376920406	0.161369247	0.033	0.03275038055
146.9981	0.3809638991	0.1631584514	0.3809592663	0.1630645775	0.032	0.03211173403
148.00078	0.3848483013	0.1648671536	0.3849072044	0.1647354135	0.032	0.03146546009
148.99773	0.3887204366	0.1662959432	0.3886636332	0.1663607119	0.031	0.03082821461
150.0004	0.39225211	0.1676910035	0.3922642853	0.167957354	0.03	0.03021124087
150.99735	0.3956965718	0.169617301	0.3957157961	0.1695054961	0.029	0.02964202324
152.00003	0.3990995924	0.1709968187	0.3991098627	0.1710214107	0.029	0.02912640376
153.0027	0.4025088296	0.1723497905	0.4024368362	0.1724946729	0.029	0.02866552323
153.99965	0.4055453991	0.1739683887	0.4056584209	0.1739159752	0.028	0.02825001443
155.00233	0.4088663943	0.1753036652	0.4087891863	0.1753004374	0.028	0.02786197454
155.99927	0.4118364857	0.1766203458	0.4117670829	0.1766311015	0.028	0.02749284556
157.00195	0.4144287109	0.1779368868	0.414607448	0.1779222229	0.027	0.02713143766
157.9989	0.4173281231	0.1792342772	0.4172385333	0.1791580261	0.027	0.02678470649
159.00157	0.4196444933	0.180531255	0.4196686317	0.1803517405	0.026	0.02645557616
159.99852	0.4222167909	0.1812880997	0.4220548835	0.1814888341	0.026	0.02615540798
161.0012	0.4246868317	0.1825649179	0.4248350495	0.182581491	0.026	0.02588193053
161.99814	0.4281784841	0.1835664336	0.4282960033	0.18361639	0.026	0.02563410525
163.00082	0.4324836481	0.1845673128	0.4323351415	0.1846046673	0.025	0.0254034842
163.99777	0.4364836777	0.1855872075	0.4364148452	0.1855342937	0.025	0.02518757945
165.00044	0.4401516078	0.1865869151	0.4402115523	0.1864152745	0.025	0.02497422123
165.99739	0.4435409916	0.1870469337	0.4436415092	0.1872369522	0.025	0.02475424644
167.00007	0.4468761462	0.1880355443	0.4468319744	0.1880082176	0.025	0.02451737116
168.00274	0.4499052509	0.1887690355	0.4497818417	0.1887237056	0.024	0.02426647959
168.99969	0.4523227384	0.1895020615	0.4524698959	0.1893794166	0.024	0.0240151146
170.00237	0.4550455351	0.1899904873	0.4549602969	0.1899825484	0.024	0.02377488683
170.99932	0.4571847687	0.1904384575	0.4572358814	0.1905259498	0.023	0.02356233307
172.00199	0.4592959296	0.1909364601	0.4592883618	0.1910156739	0.023	0.02338561367
172.99894	0.4610730873	0.1914140881	0.4610448186	0.1914460133	0.024	0.02324716131
174.00162	0.4625442992	0.1919015943	0.4625344743	0.1918218542	0.023	0.0231390987
174.99856	0.4637663449	0.1921148467	0.4638179449	0.1921389035	0.023	0.02306021551
176.00124	0.4649883906	0.1923584358	0.4649594813	0.1924008744	0.023	0.02300765142
176.99819	0.4658764587	0.1926019735	0.4658812175	0.1926048831	0.023	0.02297986383
178.00086	0.4664874442	0.1928454598	0.4664761711	0.1927534357	0.023	0.02297453153
178.99781	0.4667359032	0.1928454598	0.4667479322	0.1928450414	0.023	0.02299040368
180.00049	0.4670698925	0.1928454598	0.4670665037	0.1928809954	0.023	0.02302716183
