DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
105	-0.08464000000000001	-0.205	-0.2197	-0.2167	-0.2148	-0.214	-0.2115	-0.2093	-0.2148	-0.2041
106	-0.08740000000000001	-0.2115	-0.2258	-0.2227	-0.2209	-0.22	-0.2175	-0.2151	-0.2208	-0.2097
107	-0.09018	-0.218	-0.2319	-0.2286	-0.227	-0.226	-0.2233	-0.2209	-0.2267	-0.2151
108	-0.09297	-0.2244	-0.2379	-0.2345	-0.2329	-0.2318	-0.229	-0.2265	-0.2324	-0.2205
109	-0.09576	-0.2306	-0.2438	-0.2402	-0.2388	-0.2375	-0.2346	-0.232	-0.2381	-0.2257
110	-0.09855	-0.2368	-0.2495	-0.2458	-0.2445	-0.2431	-0.2401	-0.2373	-0.2436	-0.2308
111	-0.1013	-0.2428	-0.2551	-0.2512	-0.25	-0.2485	-0.2454	-0.2426	-0.2489	-0.2357
112	-0.1041	-0.2486	-0.2605	-0.2564	-0.2554	-0.2538	-0.2505	-0.2476	-0.2541	-0.2404
113	-0.1069	-0.2543	-0.2658	-0.2616	-0.2607	-0.2589	-0.2555	-0.2525	-0.2592	-0.245
114	-0.1097	-0.2598	-0.2709	-0.2665	-0.2657	-0.2639	-0.2603	-0.2572	-0.264	-0.2494
115	-0.1124	-0.2651	-0.2758	-0.2712	-0.2706	-0.2686	-0.2649	-0.2616	-0.2687	-0.2536
116	-0.1151	-0.2702	-0.2805	-0.2757	-0.2753	-0.2731	-0.2693	-0.2659	-0.2731	-0.2576
117	-0.1178	-0.2751	-0.285	-0.2801	-0.2798	-0.2775	-0.2735	-0.27	-0.2774	-0.2614
118	-0.1204	-0.2798	-0.2893	-0.2842	-0.284	-0.2816	-0.2774	-0.2739	-0.2814	-0.265
119	-0.1231	-0.2842	-0.2933	-0.2881	-0.2881	-0.2855	-0.2812	-0.2775	-0.2852	-0.2683
120	-0.1256	-0.2883	-0.2971	-0.2917	-0.2919	-0.2891	-0.2847	-0.2809	-0.2887	-0.2714
121	-0.1281	-0.2922	-0.3007	-0.2951	-0.2954	-0.2925	-0.2879	-0.284	-0.292	-0.2743
122	-0.1305	-0.2958	-0.3039	-0.2982	-0.2987	-0.2956	-0.2909	-0.2869	-0.2951	-0.2769
123	-0.1329	-0.2991	-0.3069	-0.3011	-0.3017	-0.2984	-0.2936	-0.2895	-0.2979	-0.2792
124	-0.1352	-0.3021	-0.3097	-0.3037	-0.3045	-0.301	-0.296	-0.2919	-0.3003	-0.2813
125	-0.1374	-0.3048	-0.3121	-0.306	-0.3069	-0.3033	-0.2982	-0.2939	-0.3026	-0.2831
126	-0.1395	-0.3072	-0.3142	-0.308	-0.3091	-0.3053	-0.3001	-0.2957	-0.3045	-0.2846
127	-0.1415	-0.3093	-0.3161	-0.3098	-0.3109	-0.307	-0.3016	-0.2972	-0.3061	-0.2858
128	-0.1434	-0.311	-0.3176	-0.3112	-0.3125	-0.3084	-0.3029	-0.2984	-0.3074	-0.2867
129	-0.1452	-0.3123	-0.3188	-0.3123	-0.3138	-0.3095	-0.3039	-0.2993	-0.3084	-0.2874
130	-0.1469	-0.3134	-0.3196	-0.3131	-0.3147	-0.3103	-0.3046	-0.2998	-0.3091	-0.2877
131	-0.1484	-0.314	-0.3202	-0.3136	-0.3153	-0.3107	-0.3049	-0.3001	-0.3095	-0.2878
132	-0.1498	-0.3144	-0.3204	-0.3138	-0.3156	-0.3109	-0.3049	-0.3001	-0.3095	-0.2876
133	-0.1511	-0.3143	-0.3202	-0.3137	-0.3155	-0.3107	-0.3047	-0.2997	-0.3093	-0.287
134	-0.1522	-0.3139	-0.3198	-0.3132	-0.3151	-0.3102	-0.3041	-0.2991	-0.3087	-0.2862
135	-0.1531	-0.3131	-0.319	-0.3124	-0.3144	-0.3093	-0.3031	-0.2981	-0.3077	-0.285
136	-0.1539	-0.312	-0.3178	-0.3112	-0.3133	-0.3082	-0.3019	-0.2968	-0.3065	-0.2836
137	-0.1545	-0.3105	-0.3163	-0.3098	-0.3119	-0.3066	-0.3003	-0.2952	-0.3049	-0.2819
138	-0.1549	-0.3087	-0.3144	-0.308	-0.3102	-0.3048	-0.2984	-0.2933	-0.303	-0.2798
139	-0.1552	-0.3065	-0.3122	-0.3059	-0.3081	-0.3026	-0.2962	-0.291	-0.3008	-0.2775
140	-0.1552	-0.3039	-0.3097	-0.3034	-0.3057	-0.3001	-0.2937	-0.2885	-0.2982	-0.2749
141	-0.1551	-0.301	-0.3068	-0.3006	-0.3029	-0.2973	-0.2908	-0.2856	-0.2953	-0.272
142	-0.1547	-0.2978	-0.3036	-0.2975	-0.2998	-0.2942	-0.2877	-0.2825	-0.2921	-0.2688
143	-0.1542	-0.2942	-0.3001	-0.2941	-0.2964	-0.2907	-0.2842	-0.279	-0.2886	-0.2653
144	-0.1534	-0.2903	-0.2962	-0.2903	-0.2927	-0.2869	-0.2805	-0.2752	-0.2848	-0.2615
145	-0.1525	-0.286	-0.292	-0.2863	-0.2886	-0.2828	-0.2764	-0.2712	-0.2806	-0.2575
146	-0.1513	-0.2815	-0.2875	-0.2819	-0.2842	-0.2784	-0.272	-0.2668	-0.2762	-0.2532
147	-0.1499	-0.2766	-0.2827	-0.2772	-0.2795	-0.2737	-0.2673	-0.2622	-0.2715	-0.2487
