DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
0	0	0	0	0	0	0	0	0	0	0
1	-0.0006548	-0.0003336	-0.0002789	-0.0002671	-0.0002911	-0.0002745	-0.0002617	-0.0002526	-0.0002739	-0.0002496
2	-0.002613	-0.001332	-0.001114	-0.001067	-0.001163	-0.001097	-0.001045	-0.001009	-0.001094	-0.0009969
3	-0.005856	-0.00299	-0.002501	-0.002395	-0.00261	-0.002462	-0.002347	-0.002266	-0.002456	-0.002238
4	-0.01035	-0.005296	-0.004431	-0.004245	-0.004625	-0.004363	-0.00416	-0.004015	-0.004353	-0.003967
5	-0.01606	-0.008237	-0.006895	-0.006607	-0.007197	-0.006789	-0.006474	-0.00625	-0.006774	-0.006173
6	-0.02294	-0.01179	-0.009879000000000001	-0.009468000000000001	-0.01031	-0.009728000000000001	-0.009277000000000001	-0.008957	-0.009707	-0.008846
7	-0.03091	-0.01595	-0.01337	-0.01281	-0.01395	-0.01317	-0.01256	-0.01212	-0.01314	-0.01197
8	-0.03992	-0.02067	-0.01734	-0.01663	-0.0181	-0.01708	-0.01629	-0.01573	-0.01704	-0.01554
9	-0.04988	-0.02594	-0.02178	-0.02089	-0.02274	-0.02146	-0.02047	-0.01977	-0.02141	-0.01952
10	-0.06072	-0.03173	-0.02666	-0.02558	-0.02783	-0.02627	-0.02507	-0.02421	-0.02621	-0.0239
11	-0.07235999999999999	-0.038	-0.03196	-0.03068	-0.03337	-0.0315	-0.03006	-0.02904	-0.03142	-0.02866
12	-0.0847	-0.04471	-0.03766	-0.03616	-0.03931	-0.03712	-0.03543	-0.03422	-0.03703	-0.03378
13	-0.09767000000000001	-0.05185	-0.04371	-0.042	-0.04564	-0.04311	-0.04114	-0.03975	-0.04299	-0.03923
14	-0.1112	-0.05936	-0.05011	-0.04816	-0.05232	-0.04943	-0.04719	-0.04559	-0.04929	-0.04499
15	-0.1251	-0.06721000000000001	-0.05681	-0.05464	-0.05933	-0.05606	-0.05352	-0.05173	-0.0559	-0.05103
16	-0.1394	-0.07537000000000001	-0.0638	-0.06139	-0.06662999999999999	-0.06297	-0.06013	-0.05812	-0.06278	-0.05733
17	-0.154	-0.0838	-0.07104000000000001	-0.06839000000000001	-0.07419000000000001	-0.07013	-0.06698999999999999	-0.06476	-0.06992	-0.06386
18	-0.1688	-0.09247	-0.0785	-0.07561	-0.08198999999999999	-0.07752000000000001	-0.07406	-0.0716	-0.07727000000000001	-0.07059
19	-0.1838	-0.1013	-0.08615	-0.08303000000000001	-0.09	-0.08511000000000001	-0.08132	-0.07864	-0.08483	-0.07751
20	-0.1988	-0.1104	-0.09396	-0.09062000000000001	-0.09816999999999999	-0.09286	-0.08875	-0.08584	-0.09254	-0.08458
21	-0.2139	-0.1195	-0.1019	-0.09835000000000001	-0.1065	-0.1008	-0.09632	-0.09317	-0.1004	-0.09179
22	-0.2289	-0.1288	-0.11	-0.1062	-0.1149	-0.1088	-0.104	-0.1006	-0.1084	-0.09909999999999999
23	-0.2438	-0.1381	-0.1181	-0.1141	-0.1235	-0.1169	-0.1118	-0.1081	-0.1164	-0.1065
24	-0.2585	-0.1474	-0.1263	-0.1221	-0.1321	-0.125	-0.1196	-0.1157	-0.1245	-0.1139
25	-0.2731	-0.1568	-0.1346	-0.1302	-0.1407	-0.1332	-0.1275	-0.1234	-0.1327	-0.1214
26	-0.2875	-0.1662	-0.1428	-0.1383	-0.1494	-0.1415	-0.1354	-0.1311	-0.1409	-0.1289
27	-0.3016	-0.1755	-0.1511	-0.1464	-0.158	-0.1497	-0.1433	-0.1387	-0.149	-0.1364
28	-0.3155	-0.1847	-0.1593	-0.1544	-0.1666	-0.1579	-0.1512	-0.1464	-0.1572	-0.1439
29	-0.329	-0.1939	-0.1675	-0.1625	-0.1752	-0.1661	-0.159	-0.154	-0.1653	-0.1514
30	-0.3423	-0.2029	-0.1756	-0.1704	-0.1837	-0.1742	-0.1668	-0.1616	-0.1733	-0.1587
31	-0.3552	-0.2118	-0.1836	-0.1783	-0.1922	-0.1822	-0.1745	-0.1691	-0.1813	-0.1661
32	-0.3677	-0.2206	-0.1915	-0.1862	-0.2005	-0.1901	-0.1821	-0.1765	-0.1892	-0.1733
33	-0.3799	-0.2293	-0.1993	-0.1939	-0.2087	-0.198	-0.1897	-0.1838	-0.1969	-0.1804
34	-0.3917	-0.2377	-0.207	-0.2015	-0.2168	-0.2057	-0.1971	-0.191	-0.2046	-0.1874
35	-0.4032	-0.246	-0.2145	-0.209	-0.2248	-0.2133	-0.2044	-0.1981	-0.2121	-0.1943
36	-0.4143	-0.2541	-0.2219	-0.2163	-0.2326	-0.2207	-0.2116	-0.2051	-0.2194	-0.2011
