E,TOTCROSS,ERR
5.97,2162,99
7.25,1882,11
7.6,1803,16
7.64,1810,28
8.8,1586,11
9.0,1570,36
11.39,1257,36
# Total cross-setion. Deuteron photodisintegration
# Y. Birenbaum, S. Kahane, and R. Moreh, Phys. Rev. C 32, 1825 (1985).
