E,TOTCROSS,ERR
20.8,582,44
23.4,511,35
25.9,385,16
28.5,367,19
31.0,306,21
33.5,264,20
38.6,234,18
# Total cross-setion. Deuteron photodisintegration
# M. Bosman, A. Bol, J. F. Gilot, P. Leleux, P. Lipnik, and P. Macq, Phys. Lett. B 82, 212 (1979).
