 #     E1  dGamma/dq   dGamma/dE1 
  0.1434613E+00  0.7542914E-06  0.3071864E-05
  0.1460004E+00  0.7538965E-06  0.3043442E-05
  0.1485617E+00  0.7532064E-06  0.3014330E-05
  0.1511454E+00  0.7522180E-06  0.2984534E-05
  0.1537513E+00  0.7509301E-06  0.2954068E-05
  0.1563794E+00  0.7493453E-06  0.2922957E-05
  0.1590299E+00  0.7474745E-06  0.2891261E-05
  0.1617026E+00  0.7453280E-06  0.2859033E-05
  0.1643976E+00  0.7428991E-06  0.2826262E-05
  0.1671149E+00  0.7401825E-06  0.2792939E-05
  0.1698544E+00  0.7371771E-06  0.2759076E-05
  0.1726162E+00  0.7338856E-06  0.2724694E-05
  0.1754003E+00  0.7303111E-06  0.2689819E-05
  0.1782067E+00  0.7264594E-06  0.2654481E-05
  0.1810353E+00  0.7223392E-06  0.2618724E-05
  0.1838862E+00  0.7179607E-06  0.2582595E-05
  0.1867594E+00  0.7133310E-06  0.2546127E-05
  0.1896549E+00  0.7084557E-06  0.2509349E-05
  0.1925726E+00  0.7033377E-06  0.2472276E-05
  0.1955126E+00  0.6979730E-06  0.2434902E-05
  0.1984748E+00  0.6923525E-06  0.2397203E-05
  0.2014594E+00  0.6864604E-06  0.2359130E-05
  0.2044662E+00  0.6802735E-06  0.2320615E-05
  0.2074953E+00  0.6737633E-06  0.2281568E-05
  0.2105467E+00  0.6669008E-06  0.2241905E-05
  0.2136203E+00  0.6596659E-06  0.2201573E-05
  0.2167162E+00  0.6520433E-06  0.2160533E-05
  0.2198344E+00  0.6440183E-06  0.2118755E-05
  0.2229748E+00  0.6355793E-06  0.2076214E-05
  0.2261375E+00  0.6267202E-06  0.2032907E-05
  0.2293225E+00  0.6174446E-06  0.1988863E-05
  0.2325298E+00  0.6077640E-06  0.1944133E-05
  0.2357594E+00  0.5976977E-06  0.1898792E-05
  0.2390112E+00  0.5872733E-06  0.1852940E-05
  0.2422853E+00  0.5765264E-06  0.1806700E-05
  0.2455816E+00  0.5654966E-06  0.1760201E-05
  0.2489003E+00  0.5542293E-06  0.1713591E-05
  0.2522412E+00  0.5427734E-06  0.1667020E-05
  0.2556043E+00  0.5311822E-06  0.1620652E-05
  0.2589898E+00  0.5195166E-06  0.1574666E-05
  0.2623975E+00  0.5078422E-06  0.1529253E-05
  0.2658275E+00  0.4962165E-06  0.1484573E-05
  0.2692798E+00  0.4846558E-06  0.1440661E-05
  0.2727543E+00  0.4731605E-06  0.1397504E-05
  0.2762511E+00  0.4617265E-06  0.1355074E-05
  0.2797702E+00  0.4503492E-06  0.1313345E-05
  0.2833116E+00  0.4390296E-06  0.1272307E-05
  0.2868752E+00  0.4277751E-06  0.1231967E-05
  0.2904611E+00  0.4166019E-06  0.1192360E-05
  0.2940693E+00  0.4055380E-06  0.1153551E-05
  0.2976997E+00  0.3946175E-06  0.1115623E-05
  0.3013525E+00  0.3838762E-06  0.1078659E-05
  0.3050275E+00  0.3733484E-06  0.1042738E-05
  0.3087247E+00  0.3630618E-06  0.1007918E-05
  0.3124443E+00  0.3530327E-06  0.9742241E-06
  0.3161861E+00  0.3432633E-06  0.9416429E-06
  0.3199502E+00  0.3337450E-06  0.9101307E-06
  0.3237365E+00  0.3244612E-06  0.8796243E-06
  0.3275452E+00  0.3154004E-06  0.8500744E-06
  0.3313761E+00  0.3065887E-06  0.8215347E-06
  0.3352293E+00  0.2980675E-06  0.7940977E-06
  0.3391047E+00  0.2898872E-06  0.7678784E-06
  0.3430024E+00  0.2821113E-06  0.7430228E-06
  0.3469224E+00  0.2748162E-06  0.7197082E-06
  0.3508647E+00  0.2680863E-06  0.6981281E-06
  0.3548292E+00  0.2620028E-06  0.6784635E-06
  0.3588160E+00  0.2566315E-06  0.6608522E-06
  0.3628251E+00  0.2520096E-06  0.6453549E-06
  0.3668565E+00  0.2481375E-06  0.6319380E-06
  0.3709101E+00  0.2449870E-06  0.6204960E-06
  0.3749860E+00  0.2425208E-06  0.6109022E-06
  0.3790842E+00  0.2407244E-06  0.6030905E-06
  0.3832047E+00  0.2396372E-06  0.5971303E-06
  0.3873474E+00  0.2393688E-06  0.5932633E-06
  0.3915124E+00  0.2400777E-06  0.5918467E-06
  0.3956996E+00  0.2418916E-06  0.5931551E-06
  0.3999092E+00  0.2448593E-06  0.5972638E-06
  0.4041410E+00  0.2490158E-06  0.6042138E-06
  0.4083951E+00  0.2544250E-06  0.6141152E-06
  0.4126714E+00  0.2612511E-06  0.6273157E-06
  0.4169701E+00  0.2699301E-06  0.6448061E-06
  0.4212910E+00  0.2815033E-06  0.6689947E-06
  0.4256342E+00  0.2980251E-06  0.7046360E-06
  0.4299996E+00  0.3235680E-06  0.7611351E-06
  0.4343873E+00  0.3670079E-06  0.8589485E-06
  0.4387973E+00  0.4531361E-06  0.1055181E-05
  0.4432296E+00  0.7099839E-06  0.1644994E-05
